pathway	removed_leading_edge_gene	NGenes	deletion_direction	deletion_p	deletion_q
R-OSA-9645850.1|Activation of pre-replication complex	LITCHI016282	17	Up	0.0689985271474166	0.18654310019577
R-OSA-9640882.1|Assembly of pre-replication complex	LITCHI026066	10	Up	0.342380696480023	0.468685781049155
R-OSA-9675824.1|DNA replication Initiation	LITCHI016282	11	Up	0.0746172400783081	0.18654310019577
R-OSA-6787011.1|Jasmonic acid signaling	LITCHI008177	14	Up	0.468685781049155	0.468685781049155
R-OSA-8933811.1|Circadian rhythm	LITCHI011520	11	Down	0.44623492071944	0.468685781049155
