study	geo_series	biosample	experiment	run	cultivar_genotype	tree_orchard_source	harvest	pooled_material	extraction	library	technical_replicate_relationship	treatment	tissue	time_h	batch	independence_status	eligibility_role	evidence_source
PRJNA1090613	GSE262200	SAMN40570940	SRX24017889	SRR28413510	Guiwei	unreported	unreported	unreported	one deposited library; independence details unreported	SRX24017889	none reported	infected	leaf	unreported	Illumina NovaSeq 6000	unresolved	exploratory	GEO family SOFT plus ENA run manifest; time/phenotype/source units not reported
PRJNA1090613	GSE262200	SAMN40570941	SRX24017888	SRR28413511	Guiwei	unreported	unreported	unreported	one deposited library; independence details unreported	SRX24017888	none reported	infected	leaf	unreported	Illumina NovaSeq 6000	unresolved	exploratory	GEO family SOFT plus ENA run manifest; time/phenotype/source units not reported
PRJNA1090613	GSE262200	SAMN40570942	SRX24017887	SRR28413513	Guiwei	unreported	unreported	unreported	one deposited library; independence details unreported	SRX24017887	none reported	infected	leaf	unreported	Illumina NovaSeq 6000	unresolved	exploratory	GEO family SOFT plus ENA run manifest; time/phenotype/source units not reported
PRJNA1090613	GSE262200	SAMN40570943	SRX24017886	SRR28413514	Guiwei	unreported	unreported	unreported	one deposited library; independence details unreported	SRX24017886	none reported	mock	leaf	unreported	Illumina NovaSeq 6000	unresolved	exploratory	GEO family SOFT plus ENA run manifest; time/phenotype/source units not reported
PRJNA1090613	GSE262200	SAMN40570944	SRX24017885	SRR28413515	Guiwei	unreported	unreported	unreported	one deposited library; independence details unreported	SRX24017885	none reported	mock	leaf	unreported	Illumina NovaSeq 6000	unresolved	exploratory	GEO family SOFT plus ENA run manifest; time/phenotype/source units not reported
PRJNA1090613	GSE262200	SAMN40570945	SRX24017884	SRR28413516	Guiwei	unreported	unreported	unreported	one deposited library; independence details unreported	SRX24017884	none reported	mock	leaf	unreported	Illumina NovaSeq 6000	unresolved	exploratory	GEO family SOFT plus ENA run manifest; time/phenotype/source units not reported
PRJNA1090613	GSE262200	SAMN40570934	SRX24017895	SRR28413505	SFZ_unresolved	unreported	unreported	unreported	one deposited library; independence details unreported	SRX24017895	none reported	infected	leaf	unreported	Illumina NovaSeq 6000	unresolved	exploratory	GEO family SOFT plus ENA run manifest; time/phenotype/source units not reported
PRJNA1090613	GSE262200	SAMN40570935	SRX24017894	SRR28413506	SFZ_unresolved	unreported	unreported	unreported	one deposited library; independence details unreported	SRX24017894	none reported	infected	leaf	unreported	Illumina NovaSeq 6000	unresolved	exploratory	GEO family SOFT plus ENA run manifest; time/phenotype/source units not reported
PRJNA1090613	GSE262200	SAMN40570936	SRX24017893	SRR28413507	SFZ_unresolved	unreported	unreported	unreported	one deposited library; independence details unreported	SRX24017893	none reported	infected	leaf	unreported	Illumina NovaSeq 6000	unresolved	exploratory	GEO family SOFT plus ENA run manifest; time/phenotype/source units not reported
PRJNA1090613	GSE262200	SAMN40570937	SRX24017892	SRR28413508	SFZ_unresolved	unreported	unreported	unreported	one deposited library; independence details unreported	SRX24017892	none reported	mock	leaf	unreported	Illumina NovaSeq 6000	unresolved	exploratory	GEO family SOFT plus ENA run manifest; time/phenotype/source units not reported
PRJNA1090613	GSE262200	SAMN40570939	SRX24017890	SRR28413509	SFZ_unresolved	unreported	unreported	unreported	one deposited library; independence details unreported	SRX24017890	none reported	mock	leaf	unreported	Illumina NovaSeq 6000	unresolved	exploratory	GEO family SOFT plus ENA run manifest; time/phenotype/source units not reported
