gene_id	baseMean	external_log2fc	external_lfc_se	external_signed_stat	external_p	genomewide_q	contrast	estimand
LITCHI020301	378.454204296485	-0.136389437106359	0.13440266477969	-1.01478223910163	0.310209641866501	0.4364729335292	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI009526	15.4033664249499	-0.793121059706256	0.781573202994172	-1.01477514411682	0.310213024683926	0.4364729335292	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI018191	4.0028984529215	6.20874703430643	6.12368503323205	1.01389065580819	0.310634930594218	0.437033330087889	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI017017	185.571649463702	0.196618757123368	0.193945220490636	1.01378500911736	0.310685349967596	0.43707103551394	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI028810	46.7705845044468	-0.341532506772155	0.336927456301418	-1.01366778036224	0.31074130314614	0.437116519552969	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI020723	163.04510216599	0.434120617111267	0.428306603196773	1.01357442045278	0.31078586850268	0.437145978765741	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI028261	409.349444166862	0.166068033328029	0.163864088945945	1.01344983148084	0.310845347622724	0.437196409345482	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI014705	371.611611873989	-0.146203315426505	0.14430957153639	-1.01312278783696	0.311001514897082	0.437382811458467	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI003265	420.933672844931	-0.141504051038369	0.139718829071131	-1.01277724684	0.311166571105777	0.437581685410168	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI024574	92.4398356648163	0.259947622336202	0.256847662122059	1.01206925610509	0.311504940856678	0.43802423484444	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI011622	39.5254364653838	-0.464634707430373	0.459123386736124	-1.01200400775362	0.311536137183449	0.438034816395389	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI023840	182.352165288651	0.185623757512621	0.183464490689935	1.01176939916039	0.311648324490852	0.438146139964235	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI029221	458.224493269095	0.122470893395919	0.121049839552308	1.01173941121167	0.311662666325276	0.438146139964235	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI001471	16.667847503698	0.668115745826475	0.660417621194203	1.01165644947261	0.311702345315043	0.438168634157921	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI022030	93.4228115353107	-1.47453608514183	1.4577362158825	-1.01152462913131	0.311765399275974	0.438223981283851	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI024963	21.7528368729959	0.768607148609519	0.75996775947525	1.01136809953653	0.311840283397288	0.438295947460642	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI018871	183.183569767328	0.180248730849748	0.17831729708421	1.01083144370804	0.312097110793009	0.43862360714093	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI001270	11.3018866316656	0.704963172100208	0.697743335374063	1.01034741051632	0.312328874102866	0.438898639681588	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI016650	96.1112799051481	0.282811375025985	0.279921556107821	1.01032367409765	0.312340242419175	0.438898639681588	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI015206	46.8468829776159	0.888638825834019	0.87961490683837	1.01025894277768	0.312371246212047	0.438908877080784	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI005284	12.9546967584869	-0.708101079875335	0.701046736086816	-1.01006258702222	0.312465305410492	0.439001228338045	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI027327	381.938846548026	-0.294035011380102	0.291117233588092	-1.01002269002095	0.312484419328221	0.439001228338045	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI022611	1526.27476205194	-0.0818585981085144	0.0810801810190257	-1.00960058401086	0.312686689718409	0.439252045338128	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI022411	32.5948014130577	-0.474369644850654	0.470065146336009	-1.00915723820027	0.312899230913908	0.439517251257163	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI008453	206.891006179213	-0.183821739049154	0.182196411196589	-1.00892074570454	0.313012644963832	0.43964318748051	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI023172	124.454626420735	0.233324973687774	0.231309451787751	1.00871353022734	0.313112040961006	0.43974941696899	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI000016	16.33369196632	0.622001606981549	0.616887606652286	1.00829000335574	0.313315260669981	0.439968211291378	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI010100	152.863716349747	-0.303597035822674	0.301100981910855	-1.00828975679846	0.31331537900015	0.439968211291378	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI017382	541.738862729864	0.10760816732451	0.106742918649086	1.00810591172112	0.313403619906196	0.440034750829844	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI007910	176.819562780347	-0.195920433714317	0.19434778140913	-1.00809194884441	0.313410322395966	0.440034750829844	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI019579	21.7983916484254	0.630962632397032	0.625962858511944	1.00798733314142	0.313460543249677	0.440041186642463	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI010570	161.782418541906	-0.202717337153556	0.201111795465427	-1.0079833292941	0.313462465405077	0.440041186642463	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI025093	21.1857251703121	-0.564479740392058	0.560084653283353	-1.00784718360508	0.313527830449095	0.440099560226086	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI017675	166.579667465817	0.206195038705301	0.204654713908641	1.00752645647511	0.313681850529016	0.440249878706963	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI004115	9.20900986521163	1.41608638021892	1.40550977080536	1.0075251055761	0.313682499365107	0.440249878706963	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
