gene_id	GW_P1	GW_P2	GW_P3	GW_M1	GW_M2	GW_M3	YR_P1	YR_P2	YR_P3	YR_M1	YR_M2	YR_M3
LITCHI014204	101.627115392282	128.327393640744	100.622208574216	144.542416169364	73.9638312585915	141.469459071011	174.767403897374	232.610111079895	173.155220269109	144.020418893053	176.467283117092	165.835823884836
LITCHI014205	5.25657493408358	18.3324848058206	7.04355460019509	15.6262071534447	16.4364069463537	11.1460785934736	26.4799096814204	23.2610111079895	34.1753724215347	29.6212209070818	32.4537532169365	46.1821281704606
LITCHI014206	59.5745159196139	29.9108962621283	65.4044355732402	69.3412942434109	64.7183523512676	81.452112798461	24.3615169069067	37.4198874345917	36.4537305829704	37.792592191794	29.4112138528487	37.7853775940132
LITCHI014207	43.8047911173631	37.6298372330001	49.3048822013657	49.808535301605	66.7729032195618	51.4434396621859	12.7103566470818	35.3971908165057	29.6186560986634	29.6212209070818	19.2694159725561	34.6365961278455
LITCHI014208	2101.75387781108	1470.45825495108	2377.70278860872	2047.03313710126	1811.08659040135	2142.61926193004	1303.87075271314	1677.82684470237	1786.23279856555	1738.45924082252	1629.78691936303	1723.43305581583
LITCHI014209	2045.68374518086	1745.44552703839	2201.61392360384	1823.38304721758	1447.43108671327	2067.16888375884	1595.14975920876	1624.22538432309	1711.04697923817	1237.9627496339	1289.0225105852	1213.33045829665
LITCHI014210	127.9099900627	140.870672718411	139.86486991816	139.659226433912	773.53840191277	136.325115104793	202.306509966052	189.122133791045	242.645144192896	229.819817382531	164.297125660741	270.795206090428
LITCHI014213	0	0.964867621358977	0	0	0	2.57217198310929	6.35517832354089	12.1361797085162	3.41753724215347	14.2998997482464	8.11343830423413	20.9918764411185
LITCHI014214	1096.87196957877	822.067213397849	1049.48963542907	1203.21795081524	1213.21228772773	1155.76261107711	889.724965295724	881.895725485513	879.44625031416	857.993984894783	877.265516645315	908.94824990043
LITCHI014216	377.59729943167	227.708758640719	436.700385212096	542.034060635113	524.93774684917	499.001364723203	499.940694785217	457.129435687445	603.764912780447	535.22481914865	631.834007942233	674.888827581959
LITCHI014218	954.068350536169	640.672100582361	849.25144036638	887.763893905078	896.811454010422	1069.16615431243	696.951222814984	806.044602307287	782.616028453145	875.358148874796	785.989335722681	809.236836805117
LITCHI014219	74.4681448995173	65.6109982524104	69.4293239162088	94.7338808677586	421.182928000313	67.7338622218781	13.7695530343386	14.1588763266023	34.1753724215347	34.7283279600269	42.5955510972292	27.289439373454
LITCHI014220	680.726453963823	713.037172184284	693.287017076346	580.122940571635	597.874302673615	606.175197352757	541.249353888232	563.321008136962	547.945137825273	512.753548115692	549.685445111862	567.830257732255
LITCHI014221	21.9023955586816	34.7352343689232	16.0995533718745	31.2524143068894	8.21820347317683	18.0052038817651	7.4143747107977	9.10213478138718	13.6701489686139	11.2356355164793	5.07089894014633	8.39675057644739
LITCHI014225	1107.38511944694	1059.42464825216	1097.78829554469	1089.92794895277	1135.13935473255	1343.53116584409	1254.08852251207	1441.1713403863	1239.42683982099	1232.85564258096	1137.90972216884	1190.23939421142
LITCHI014226	531.790164164788	292.35488927177	442.737717726549	375.028971682673	145.873111648889	301.801512684824	363.304360829088	465.220222159789	402.130215493392	320.726322924954	595.323535573179	464.970063170774
LITCHI014227	807.760348204176	671.547864465848	770.766117678492	946.362170730495	853.665885776244	873.681083596124	672.589705908078	790.874377671642	756.414909596635	763.001793710003	777.875897418447	834.427088534459
LITCHI014229	38.5482161832796	33.7703667475642	34.2115509152333	42.972069671973	7.19092803902973	42.8695330518216	14.8287494215954	29.3291009622476	51.2630586323021	72.5209201518209	97.3612596508096	89.2154748747535
LITCHI014230	98.1227321028934	146.659878446565	120.746650289059	172.864916634982	97.5911662439749	45.4417050349309	142.99151227967	166.872470992098	38.732088744406	199.17717506486	45.638090461317	250.852923471366
LITCHI014231	326.783741735529	317.441447427104	355.196396266981	415.071127513375	345.164545873427	344.671045736645	216.07606300039	176.985954082528	279.098874775867	336.04764408379	363.076364114477	352.66352421079
LITCHI014232	36.796024538585	45.3487782038719	79.4915447736303	207.047244783142	328.728138927073	220.349399886363	13.7695530343386	6.06808985425812	25.0619397757921	212.455653402518	102.432158590956	134.348009223158
LITCHI014233	9.63705404581989	17.3676171844616	43.2675496869127	126.962933121738	164.364069463537	112.318176595773	7.4143747107977	1.01134830904302	23.9227606950743	76.606605794177	44.6239106732877	75.5707551880265
LITCHI014234	763.955557086813	849.0835067959	743.598121363453	807.679582243673	738.611037151768	815.378518645646	900.316929168293	915.270219683933	874.889533991289	778.323114868839	867.123718765023	773.550646855216
LITCHI014235	541.427218210608	569.271896601796	529.272817100374	464.87966281498	611.228883317527	598.458681403429	492.526320074419	587.593367553995	659.58468773562	686.395187915826	640.961626034496	641.301825276169
LITCHI014236	233.041488744372	194.903259514513	192.188418376752	250.019314455115	172.582272936714	222.064181208436	210.780081064106	206.315055044776	242.645144192896	216.541339044874	201.821777817824	185.778106503898
LITCHI014237	216.395668119774	192.008656650436	262.623964378703	207.047244783142	321.537210888044	262.361542277148	212.89847383862	176.985954082528	198.217160044901	233.905503024887	227.176272518556	175.282168283339
LITCHI014238	29.7872579598069	43.419042961154	33.2053288294912	37.1122419894312	31.8455384585602	45.4417050349309	36.0126771667317	31.3517975803336	44.4279841479951	41.8782778341501	36.5104723690536	43.0333467042929
LITCHI014241	49.937461873794	37.6298372330001	41.2551055154284	32.2290522539797	32.8728138927073	24.0069385090201	9.53276748531133	14.1588763266023	13.6701489686139	31.6640637282598	16.2268766084683	13.644719686727
LITCHI014242	502.879002027329	377.26323995136	537.322593786311	471.716128444612	476.655801444256	474.994426214183	394.021056059535	428.81168303424	462.506706771436	392.225821666186	383.359959875063	384.151338872468
LITCHI014243	368.836341208198	516.204177427053	492.042599927914	520.548025799127	550.619632702848	461.2761756376	220.312848549418	286.211571459175	215.304846255669	212.455653402518	150.098608628331	131.19922775699
LITCHI014247	623.780225511251	694.704687378464	581.596365558966	577.193026730364	618.419811356557	559.018710995753	779.568541021016	627.035951606672	809.956326390373	628.174167512252	708.911671832457	812.385618271285
LITCHI014249	1138.04847322909	920.483710776464	1094.76962928747	1121.18036325966	1193.69405447894	1062.30702902414	1410.84958782608	1524.10190172783	1392.07683663718	1316.61219824926	1258.59711694432	1383.36465746971
LITCHI014252	4673.0951164003	3432.99899679524	4318.70519200533	4518.90378118679	2702.76166724103	4112.90300099176	4894.54650551374	4920.20952349429	4941.75885215392	4792.50925848371	6055.66751432275	6757.28502639603
LITCHI014253	1329.91345832314	1710.71029266947	1311.10737772203	1242.28346869885	825.929449054272	1563.02317506941	2106.7416142538	1858.85819202107	1998.12010757906	1897.80098087441	2111.52231867693	2367.88366255816
LITCHI014254	523.029205941316	679.26680543672	524.241706671663	446.323541820265	313.319007414867	452.702269027236	782.746130182786	661.421794114135	682.368269349977	531.139133506294	498.976455710399	594.070103283653
LITCHI014255	3057.57441999195	3781.31620810583	3023.69736765518	3059.80668823389	2582.57044144582	3004.29687627166	3192.41791119204	2603.21054747673	2554.03949896936	2466.7327065725	2567.9032232901	2990.29279903733
LITCHI014256	559.825230479901	395.595724757181	593.671030587872	668.996993756852	597.874302673615	692.771654117437	563.492478020626	651.308311023705	602.625733699729	396.311507308542	387.41667902718	383.101745050412
