gene_id	legacy_annotation	baseMean	interaction_log2fc	interaction_lfc_se	stat	interaction_p	interaction_q	signed_wald_stat	shrunken_interaction_log2fc	statistical_discovery	mappability_status	unique_gene_model_status	primary_gene_status	present_in_filtered_universe
LITCHI017995	metalloendoproteinase; calcium-related	821.260987212198	0.480570452982329	0.731568835178004	0.656903943790057	0.511242682227413	0.812116163378159	0.656903943790057	0.0217305476258293	FALSE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC	TRUE
LITCHI028104	jacalin-like lectin	2400.13866417796	1.39104381990588	1.89356645124714	0.734615792854649	0.462573517067325	0.785155555112966	0.734615792854649	0.0104590227439976	FALSE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC	TRUE
LITCHI001512	poorly characterized responsive gene	431.74057938416	-1.0064361406232	0.628043097059021	-1.60249534679404	0.109046115687325	0.456631233314873	-1.60249534679404	-0.070486678623619	FALSE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC	TRUE
LITCHI009301	osmotin/thaumatin-like protein	599.699720508406	-0.700079983372214	1.07913592746569	-0.648741243391203	0.516505641302629	0.81607639515151	-0.648741243391203	-0.0160088202450196	FALSE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC	TRUE
LITCHI025738	cyclase-like stress-related protein	4478.23249134562	-0.223849945434098	0.621892172253237	-0.359949771715322	0.718884695680265	0.907591415817585	-0.359949771715322	-0.0162628453430033	FALSE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC	TRUE
LITCHI018043	plant lipid-transfer protein	3569.02481767733	-0.0976809494770191	0.517473075487261	-0.188765279014838	0.850276785894092	0.95443237901695	-0.188765279014838	-0.00775459533553394	FALSE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC	TRUE
LITCHI011394	pathogenesis-related protein	4329.22666687872	-0.245842035564475	0.980632478753714	-0.250697423235375	0.802048053035825	0.939572692621971	-0.250697423235375	-0.0068153373120079	FALSE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC	TRUE
LITCHI001552	cyclase-like stress-related protein	964.397945824176	0.921270246902924	0.54824128324334	1.68041020452306	0.0928775319702822	0.43049738520922	1.68041020452306	0.0859418543589648	FALSE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC	TRUE
LITCHI002550	cytochrome P450	757.573067203219	0.761239099062736	0.956733328394006	0.795664869687951	0.426226851002449	0.761854137848258	0.795664869687951	0.022125732978673	FALSE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC	TRUE
LITCHI002793	osmotin/thaumatin-like protein	2179.60453745089	0.405144488073853	0.552868146997217	0.732804901628548	0.46367743130509	0.785647931457932	0.732804901628548	0.033914453370426	FALSE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC	TRUE
LITCHI019183	plant lipid-transfer protein	1273.90600162477	0.985700088104031	0.453628131674883	2.17292539698681	0.0297859326469651	0.272591134478165	2.17292539698681	0.159989149008146	FALSE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC	TRUE
LITCHI019299	S-adenosylmethionine-related protein	2884.69858923259	-1.21396508530267	0.469608472093388	-2.58505788852391	0.00973626490795854	0.175135680976183	-2.58505788852391	-0.278703871812552	FALSE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC	TRUE
LITCHI012388	heat-shock protein 70	25674.8503301264	-0.898465332424572	0.492348696581865	-1.82485571437921	0.0680228056483063	0.381402380574197	-1.82485571437921	-0.107728081687406	FALSE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC	TRUE
LITCHI007102	phytosulfokine precursor	1406.97859844327	-0.735000683857121	0.319427904230096	-2.30099084683495	0.0213921484575266	0.238148895749747	-2.30099084683495	-0.316262274621383	FALSE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC	TRUE
LITCHI019519	EF-hand calcium-binding protein	924.460296820245	-3.33080442021433	1.14213723857771	-2.91629088669077	0.00354220082182429	0.106293356451193	-2.91629088669077	-0.0674513119162933	FALSE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC	TRUE
LITCHI028401	legacy selected interaction candidate	1573.07694089988	-2.41419846493069	1.12570013003188	-2.14461951324668	0.0319832808429228	0.280647516241261	-2.14461951324668	-0.0522526221303193	FALSE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC	TRUE
LITCHI001510	poorly characterized responsive gene	1518.43688080667	-2.8349579161038	0.913914161724469	-3.10199582721697	0.00192220667891615	0.0796957545235065	-3.10199582721697	-0.0996196495381886	FALSE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC	TRUE
LITCHI017676	S-adenosylmethionine-related protein	604.31448459829	-2.36010125007451	1.52816985246186	-1.54439720576376	0.122492136557634	0.477732579452519	-1.54439720576376	-0.0262631527956695	FALSE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC	TRUE
