sample_id	GW_P1	GW_P2	GW_P3	GW_M1	GW_M2	GW_M3	YR_P1	YR_P2	YR_P3	YR_M1	YR_M2	YR_M3
GW_P1	0	49.4407383136643	24.7111343576631	43.9112340480131	81.2774459277008	46.2775576677282	84.9070119473268	79.833728616314	79.9955946941629	78.3518238288815	84.6389691492846	90.3036482275656
GW_P2	49.4407383136643	0	57.3201448518508	71.7946885140755	99.8414304585536	69.3742692320101	77.1496127227357	80.8162035317529	77.9511985031046	85.4517386639741	87.8650378459603	93.0979500826418
GW_P3	24.7111343576631	57.3201448518508	0	39.2824094010662	80.1426344033655	42.0862939572156	88.7888917214387	82.2941515613578	84.5472686026489	78.9178017601023	86.6354886971874	92.8828149895666
GW_M1	43.9112340480131	71.7946885140755	39.2824094010662	0	69.550249539056	36.3907554798214	97.7445426684017	90.5741346730385	93.9243218780298	80.8646228572358	88.3051683829389	93.3741731221039
GW_M2	81.2774459277008	99.8414304585536	80.1426344033655	69.550249539056	0	88.2658223881281	124.178545292508	118.058063995798	116.772406173631	111.250559185217	116.208286770367	121.441208916466
GW_M3	46.2775576677282	69.3742692320101	42.0862939572156	36.3907554798214	88.2658223881281	0	92.8653082207509	85.4024254606662	90.7966840844749	75.6595412432195	83.921962770425	88.470152978919
YR_P1	84.9070119473268	77.1496127227357	88.7888917214387	97.7445426684017	124.178545292508	92.8653082207509	0	34.4508193268953	39.9037537445081	55.7930892011756	60.600468503124	64.8972780339363
YR_P2	79.833728616314	80.8162035317529	82.2941515613578	90.5741346730385	118.058063995798	85.4024254606662	34.4508193268953	0	42.6683554706296	49.8184255582826	58.3923973054693	65.9649637794788
YR_P3	79.9955946941629	77.9511985031046	84.5472686026489	93.9243218780298	116.772406173631	90.7966840844749	39.9037537445081	42.6683554706296	0	49.7962200376801	49.8817028489075	53.7288517673589
YR_M1	78.3518238288815	85.4517386639741	78.9178017601023	80.8646228572358	111.250559185217	75.6595412432195	55.7930892011756	49.8184255582826	49.7962200376801	0	36.1445753336956	41.681379102585
YR_M2	84.6389691492846	87.8650378459603	86.6354886971874	88.3051683829389	116.208286770367	83.921962770425	60.600468503124	58.3923973054693	49.8817028489075	36.1445753336956	0	31.952642166006
YR_M3	90.3036482275656	93.0979500826418	92.8828149895666	93.3741731221039	121.441208916466	88.470152978919	64.8972780339363	65.9649637794788	53.7288517673589	41.681379102585	31.952642166006	0
