gene_id	baseMean	lrt_model_log2fc	lrt_lfc_se	stat	lrt_p	lrt_q
LITCHI014204	146.450723770631	0.382804009562538	0.372062790880686	1.05873691071902	0.303503443172737	0.675861710088626
LITCHI014205	22.1678918782329	0.127497638653422	0.679529641355815	0.0351374867952217	0.851307855803525	0.956141700231013
LITCHI014206	47.8021604759372	0.382350710644699	0.484919367869908	0.621624545836681	0.430444234519724	0.763963868221616
LITCHI014207	38.3348187754013	0.259341293795887	0.539751531910883	0.23074832466807	0.630969511364162	0.871050183264202
LITCHI014208	1817.52196023216	-0.0824294432080947	0.262576996657455	0.0985453001801204	0.75358236387464	0.922912943232019
LITCHI014209	1666.78867123321	0.232076645020129	0.205526758038534	1.27484037827713	0.258860588456416	0.638936804079081
LITCHI014210	229.76285110287	1.29136320335848	0.740634692622696	3.01621909719512	0.0824354497093097	0.410329051448055
LITCHI014213	5.73759578102315	0.458657009807156	1.89303498256999	0.0716949324553795	0.78888475948981	0.936517946311633
LITCHI014214	986.324696713475	0.270385967705066	0.168542675502757	2.57303081906125	0.108699293285923	0.455431535863987
LITCHI014216	500.896859451493	0.348313705803637	0.313242184292524	1.2356902432474	0.266303268559096	0.646509193276554
LITCHI014218	837.827464057571	0.111416726164281	0.227039241152872	0.240848768965833	0.623593760132143	0.867552455159872
LITCHI014219	79.989688197606	0.718377609901648	0.850841759613601	0.710627333617737	0.399235630983553	0.744372775141238
LITCHI014220	596.167319552728	-0.205770388047586	0.128924585477399	2.54738844650929	0.110476732304436	0.457002693317134
LITCHI014221	15.4252457045985	-0.0534838356522953	0.861225919801783	0.00385475338570984	0.950493820051559	0.985716938355093
LITCHI014225	1194.07399953781	0.273521029864164	0.160156864659425	2.91644678611644	0.0876807443461913	0.421336693021099
LITCHI014226	391.771757277556	-0.788602821518262	0.480187225339287	2.690060624593	0.100975972147384	0.442823134507418
LITCHI014227	793.24727027422	0.151044571487058	0.16258994227462	0.863010557630247	0.352897577607461	0.711161324801821
LITCHI014229	46.1734356918692	-1.63479232358947	0.773983078126694	4.42535887692284	0.0354086662573673	0.293737847856018
LITCHI014230	127.14094248051	-0.717845952868683	0.872103393564491	0.675891663055495	0.411005015152035	0.752754310975918
LITCHI014231	319.023060735075	-0.503968938289173	0.244240592441848	4.25313846461481	0.0391778641457711	0.306205433010897
LITCHI014232	117.658044582807	-1.10841723654117	0.62226421672379	3.16627208761648	0.0751738507340559	0.396165443730408
LITCHI014233	58.5889296223873	-0.0944016867424737	0.934723349613615	0.0101641479541144	0.919695414757662	0.97615679687619
LITCHI014234	818.98170721832	0.157251140638179	0.142416117345874	1.21927412358141	0.269503152597518	0.64953928935117
LITCHI014235	585.241847836603	-0.148619881483155	0.210220810390027	0.499750284329764	0.479609865631791	0.794176431679313
LITCHI014236	210.72336990869	0.181608883419548	0.252575385293975	0.517109860866867	0.47207714362934	0.789162659720815
LITCHI014237	223.869984907507	0.122629908804821	0.298868250791099	0.168315189701119	0.681613513035039	0.894945037221742
