sample_id	GW_P1	GW_P2	GW_P3	GW_M1	GW_M2	GW_M3	YR_P1	YR_P2	YR_P3	YR_M1	YR_M2	YR_M3
GW_P1	1	0.979584986566928	0.994888656007163	0.983805473086655	0.94604428395118	0.982020263323467	0.939861398064466	0.94653497774276	0.946705950411078	0.948348561724969	0.939881943382521	0.933068974226423
GW_P2	0.979584986566928	1	0.972508671092715	0.956663378822675	0.918276652215888	0.959586037371398	0.950267910442223	0.945137268084856	0.949262534174287	0.938464661613131	0.934965280085501	0.928658993610945
GW_P3	0.994888656007163	0.972508671092715	1	0.98698784552922	0.947510434074334	0.98507040185085	0.934109664775525	0.943063635605668	0.940366382999069	0.947478532693075	0.936897207367767	0.929096337231526
GW_M1	0.983805473086655	0.956663378822675	0.98698784552922	1	0.960541453044312	0.98875241052448	0.919770871195429	0.930679438523041	0.926075734338685	0.944569615054885	0.934150877292116	0.928135386430262
GW_M2	0.94604428395118	0.918276652215888	0.947510434074334	0.960541453044312	1	0.93614801888908	0.873878082737337	0.885519788995707	0.888548828123468	0.898110714940935	0.888810452604657	0.880816730233417
GW_M3	0.982020263323467	0.959586037371398	0.98507040185085	0.98875241052448	0.93614801888908	1	0.927641575631379	0.93841902169023	0.930982220615374	0.951520918050842	0.940610535982229	0.935584686839703
YR_P1	0.939861398064466	0.950267910442223	0.934109664775525	0.919770871195429	0.873878082737337	0.927641575631379	1	0.990080348550273	0.986762320875598	0.973889194644491	0.969252696779192	0.96551172850715
YR_P2	0.94653497774276	0.945137268084856	0.943063635605668	0.930679438523041	0.885519788995707	0.93841902169023	0.990080348550273	1	0.984815060754793	0.979040245017463	0.97130275417732	0.964280534587583
YR_P3	0.946705950411078	0.949262534174287	0.940366382999069	0.926075734338685	0.888548828123468	0.930982220615374	0.986762320875598	0.984815060754793	1	0.979255529238829	0.979180749749569	0.976378489685278
YR_M1	0.948348561724969	0.938464661613131	0.947478532693075	0.944569615054885	0.898110714940935	0.951520918050842	0.973889194644491	0.979040245017463	0.979255529238829	1	0.989015397318186	0.985897856200828
YR_M2	0.939881943382521	0.934965280085501	0.936897207367767	0.934150877292116	0.888810452604657	0.940610535982229	0.969252696779192	0.97130275417732	0.979180749749569	0.989015397318186	1	0.991771569101432
YR_M3	0.933068974226423	0.928658993610945	0.929096337231526	0.928135386430262	0.880816730233417	0.935584686839703	0.96551172850715	0.964280534587583	0.976378489685278	0.985897856200828	0.991771569101432	1
