gene_id	baseMean	log2fc	lfc_se	stat	p	q	contrast
LITCHI014204	146.450723770631	-0.126412504107389	0.266146669506482	-0.474973082856143	0.63480615899656	0.848801825363157	infection_in_Guiwei
LITCHI014205	22.1678918782329	-0.497098236520845	0.512922384537097	-0.969149039906821	0.33247083275654	0.640779093597225	infection_in_Guiwei
LITCHI014206	47.8021604759372	-0.478062663645526	0.327131112856386	-1.46137938232552	0.143911355638948	0.425670263218641	infection_in_Guiwei
LITCHI014207	38.3348187754013	-0.360731480242802	0.363317253171894	-0.992882878788393	0.320767034354787	0.631028937427956	infection_in_Guiwei
LITCHI014208	1817.52196023216	-0.012428296954381	0.185367173102711	-0.0670469142208608	0.946544355050263	0.987846446111656	infection_in_Guiwei
LITCHI014209	1666.78867123321	0.166375698554656	0.144773339759984	1.14921503386249	0.250467323205803	0.561852141883384	infection_in_Guiwei
LITCHI014210	229.76285110287	-1.3599813693153	0.52370535264294	-2.5968445089438	0.0094084503868002	0.0868954613634518	infection_in_Guiwei
LITCHI014213	5.73759578102315	-1.43628774554648	1.66407040080546	-0.863117176323355	0.388073045062163	0.686082818551629	infection_in_Guiwei
LITCHI014214	986.324696713475	-0.266585525324527	0.118275133958866	-2.25394397284928	0.024199692868654	0.15362815143029	infection_in_Guiwei
LITCHI014216	500.896859451493	-0.58765716456886	0.222142280245606	-2.64540889703271	0.00815922546413267	0.0795268867920099	infection_in_Guiwei
LITCHI014218	837.827464057571	-0.223672753894195	0.160014625594728	-1.39782693652451	0.162165043393776	0.452022700956377	infection_in_Guiwei
LITCHI014219	79.989688197606	-1.47651909967245	0.583236951999878	-2.5315938823999	0.011354541655779	0.0972639041835346	infection_in_Guiwei
LITCHI014220	596.167319552728	0.225705074897756	0.0894951448668	2.52198122293319	0.0116695937217128	0.09895998688125	infection_in_Guiwei
LITCHI014221	15.4252457045985	0.337959170405158	0.566847409499236	0.596208370615502	0.551036034360753	0.801440475447514	infection_in_Guiwei
