gene_id	baseMean	interaction_log2fc	interaction_lfc_se	stat	interaction_p	interaction_q	signed_wald_stat	shrunken_interaction_log2fc	statistical_discovery	mappability_status	unique_gene_model_status	primary_gene_status
LITCHI030862	1571.29173629241	7.38186016098182	2.03164449194672	3.63344088507756	0.000279666543808089	0.0286622782654542	3.63344088507756	0.0338041402241099	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
LITCHI012980	21.5734394228219	2.35750071039401	0.648899516445628	3.63307515361903	0.000280063402953782	0.0286622782654542	3.63307515361903	1.92750433755886	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
LITCHI010779	115.662757842103	-1.57461977524295	0.433591749481054	-3.63157227305995	0.000281699741142967	0.0286788034896597	-3.63157227305995	-1.29335204221548	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
LITCHI016911	4061.39890787047	0.622077699791301	0.171440713683263	3.62852957402283	0.000285040101634116	0.0288677332097676	3.62852957402283	0.529834891593896	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
LITCHI029789	5353.56937178584	-0.702223969804124	0.19367086838434	-3.62586265896511	0.000287998399597289	0.0290162118143486	-3.62586265896511	-0.592927387080697	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
LITCHI002015	84.0463098239693	1.29967922262935	0.35883105865421	3.62198084943866	0.000292355768974199	0.0293033913799139	3.62198084943866	1.06994252748791	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
LITCHI023078	127.617315105096	-2.33502259632456	0.646045584071096	-3.61433102229454	0.000301124133219667	0.029974437210403	-3.61433102229454	-1.90969914144881	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
LITCHI017634	572.495757374935	0.823683127651957	0.227986221897608	3.61286362305651	0.000302833997178292	0.029974437210403	3.61286362305651	0.687908063570713	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
LITCHI028716	193.579556606758	0.992473409466396	0.274760158080347	3.6121445569127	0.000303675193131879	0.029974437210403	3.6121445569127	0.822226174618662	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
LITCHI013895	800.416809192306	-0.757894468723173	0.209936096609985	-3.610119845808	0.000306055561187932	0.0300568201378754	-3.610119845808	-0.636538366074228	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
