gene_id	legacy_annotation	cultivar	baseMean	log2fc	lfc_se	stat	p	q	q_lt_0_05	absolute_log2fc_ge_log2_1_5	q_and_effect_pass
LITCHI001510	poorly characterized responsive gene	Guiwei	1214.4327975033	4.13945256025614	0.8342004746277	4.96217957931942	6.97065008611754e-07	0.000116307700359315	TRUE	TRUE	TRUE
LITCHI001510	poorly characterized responsive gene	Yurong1	1797.27897862661	1.29831551304557	0.231631159761039	5.60509870254491	2.08136320516404e-08	1.2624544406495e-06	TRUE	TRUE	TRUE
LITCHI001512	poorly characterized responsive gene	Guiwei	515.442089613254	3.9906321271792	0.510671056472301	7.8144865987635	5.51875052786941e-15	8.2165704974548e-12	TRUE	TRUE	TRUE
LITCHI001512	poorly characterized responsive gene	Yurong1	357.581131875962	2.98290625199872	0.23458214044397	12.7158284358446	4.82963730660059e-37	1.55747753742358e-33	TRUE	TRUE	TRUE
LITCHI001552	cyclase-like stress-related protein	Guiwei	987.373611931369	1.49892595764564	0.445909094771554	3.36150568629591	0.000775187604850143	0.0243567469023937	TRUE	TRUE	TRUE
LITCHI001552	cyclase-like stress-related protein	Yurong1	944.888086742212	2.41528979028424	0.207389413711977	11.6461575692509	2.40040032020761e-31	5.16059397729966e-28	TRUE	TRUE	TRUE
LITCHI002550	cytochrome P450	Guiwei	236.0362082521	1.11600094612935	0.635685195081709	1.75558744291018	0.0791588778833942	0.409001623447169	FALSE	TRUE	FALSE
LITCHI002550	cytochrome P450	Yurong1	1227.93575685099	1.87576784963626	0.287122825446265	6.53298060410496	6.44734962647129e-11	6.77987869144527e-09	TRUE	TRUE	TRUE
LITCHI002793	osmotin/thaumatin-like protein	Guiwei	613.776396443527	1.39370935160502	0.46360686696351	3.00623103521613	0.00264507941725203	0.0559033494096841	FALSE	TRUE	FALSE
LITCHI002793	osmotin/thaumatin-like protein	Yurong1	3591.09433062069	1.79947374790086	0.195922155052609	9.1846363542585	4.12920104370304e-20	1.99739777486525e-17	TRUE	TRUE	TRUE
LITCHI007102	phytosulfokine precursor	Guiwei	1369.52959469403	1.55378993904425	0.251314343681623	6.18265522087615	6.30322819277135e-10	2.5957230142785e-07	TRUE	TRUE	TRUE
LITCHI007102	phytosulfokine precursor	Yurong1	1439.23931898483	0.818671147596012	0.176609829267631	4.63547895941518	3.56111948212037e-06	0.000106333488980782	TRUE	TRUE	TRUE
LITCHI009301	osmotin/thaumatin-like protein	Guiwei	288.370653734661	3.21947903278814	0.957312341587806	3.36303930590541	0.000770893867776655	0.024266740984772	TRUE	TRUE	TRUE
LITCHI009301	osmotin/thaumatin-like protein	Yurong1	881.611287141818	2.51441930381138	0.48654358259889	5.16792203974928	2.3671100249207e-07	1.02234847928997e-05	TRUE	TRUE	TRUE
LITCHI011394	pathogenesis-related protein	Guiwei	3535.88878589831	2.30389722480324	0.885682526989336	2.60126755874341	0.00928799831347571	0.126423135653808	FALSE	TRUE	FALSE
LITCHI011394	pathogenesis-related protein	Yurong1	5053.89632258645	2.05024297477412	0.210413089588521	9.7438946349941	1.95899150721834e-22	1.11483901979905e-19	TRUE	TRUE	TRUE
LITCHI012388	heat-shock protein 70	Guiwei	15344.2612793684	1.59198943419715	0.295942497357148	5.37938771353921	7.47395931232173e-08	1.78590719123441e-05	TRUE	TRUE	TRUE
LITCHI012388	heat-shock protein 70	Yurong1	34998.8554076125	0.693949334244528	0.487847302451899	1.42247242273713	0.154889151715073	0.401966625585393	FALSE	TRUE	FALSE
LITCHI017676	S-adenosylmethionine-related protein	Guiwei	251.11388348933	4.19326225100444	1.41411339725882	2.96529419715057	0.0030239359596684	0.0607770306327953	FALSE	TRUE	FALSE
LITCHI017676	S-adenosylmethionine-related protein	Yurong1	924.216912452903	1.82911200189186	0.594358816322636	3.07745414328802	0.00208776958201295	0.0195056753463875	TRUE	TRUE	TRUE
LITCHI017995	metalloendoproteinase; calcium-related	Guiwei	938.835691661073	5.07555791790356	0.505172678995864	10.0471742216786	9.45394720844061e-24	6.09937160731227e-20	TRUE	TRUE	TRUE
LITCHI017995	metalloendoproteinase; calcium-related	Yurong1	717.345536031417	5.55161065951378	0.57159042904244	9.71256756138158	2.66536851432763e-22	1.47349186810644e-19	TRUE	TRUE	TRUE
LITCHI018043	plant lipid-transfer protein	Guiwei	2690.29773715258	2.21193863853435	0.398009293998172	5.55750499269625	2.73658159018077e-08	7.1576400916147e-06	TRUE	TRUE	TRUE
LITCHI018043	plant lipid-transfer protein	Yurong1	4363.93893521364	2.11370818714207	0.232729205677686	9.08226443255002	1.06339048405369e-19	5.01842499413532e-17	TRUE	TRUE	TRUE
LITCHI019183	plant lipid-transfer protein	Guiwei	1681.77871464372	0.595361172936317	0.161578812185512	3.68464877841019	0.000229018221555839	0.00989646712173209	TRUE	TRUE	TRUE
LITCHI019183	plant lipid-transfer protein	Yurong1	905.358965322843	1.58147596141426	0.508066355066661	3.11273507021886	0.00185362330742774	0.0178370567582328	TRUE	TRUE	TRUE
LITCHI019299	S-adenosylmethionine-related protein	Guiwei	2464.2147029936	1.70091125254481	0.406380226349399	4.18551677040113	2.84518060218008e-05	0.00216644917018205	TRUE	TRUE	TRUE
LITCHI019299	S-adenosylmethionine-related protein	Yurong1	3266.63600443612	0.482813375420395	0.133190509526783	3.62498332002631	0.00028898010258929	0.00409032626554511	TRUE	FALSE	FALSE
LITCHI019519	EF-hand calcium-binding protein	Guiwei	333.626312283898	3.75334197694619	1.08339244046463	3.46443434231138	0.0005313478303824	0.0190096806969526	TRUE	TRUE	TRUE
LITCHI019519	EF-hand calcium-binding protein	Yurong1	1458.16781528158	0.413904986590634	0.260224932874924	1.59056621522725	0.111707232804003	0.330796334178859	FALSE	FALSE	FALSE
LITCHI025738	cyclase-like stress-related protein	Guiwei	3900.59112878423	1.94066220308618	0.511610609969934	3.79324072892122	0.000148693876705729	0.00726760096878634	TRUE	TRUE	TRUE
LITCHI025738	cyclase-like stress-related protein	Yurong1	5007.81351790575	1.71096314767737	0.19200755800847	8.91091561927939	5.06128262930192e-19	2.27745947893867e-16	TRUE	TRUE	TRUE
LITCHI028104	jacalin-like lectin	Guiwei	541.144139352797	2.62040980713398	1.46769625150216	1.78538972519146	0.0741981240942413	0.396087192315732	FALSE	TRUE	FALSE
LITCHI028104	jacalin-like lectin	Yurong1	4077.18420491727	4.0098459858267	1.16900920334631	3.4301235391034	0.000603306499711511	0.00732792056680353	TRUE	TRUE	TRUE
LITCHI028401	legacy selected interaction candidate	Guiwei	725.522866922663	4.78313680434243	0.548535207855261	8.71983554719158	2.786061462478e-18	1.07848439212523e-14	TRUE	TRUE	TRUE
LITCHI028401	legacy selected interaction candidate	Yurong1	2338.21283649761	2.3621794815658	0.832952650532248	2.83591087687444	0.00456951954980922	0.0353662535077034	TRUE	TRUE	TRUE
