Module	Section	Sample Name	Source
featureCounts	all_sections	results/alignment/PRJNA830488/GW_P1/Aligned.sortedByCoord.out.bam	/home/ericzhuang2010/VscodeProjects/lychee/results/quantification/PRJNA830488/featureCounts.txt.summary
featureCounts	all_sections	results/alignment/PRJNA830488/GW_P2/Aligned.sortedByCoord.out.bam	/home/ericzhuang2010/VscodeProjects/lychee/results/quantification/PRJNA830488/featureCounts.txt.summary
featureCounts	all_sections	results/alignment/PRJNA830488/GW_P3/Aligned.sortedByCoord.out.bam	/home/ericzhuang2010/VscodeProjects/lychee/results/quantification/PRJNA830488/featureCounts.txt.summary
featureCounts	all_sections	results/alignment/PRJNA830488/GW_M1/Aligned.sortedByCoord.out.bam	/home/ericzhuang2010/VscodeProjects/lychee/results/quantification/PRJNA830488/featureCounts.txt.summary
featureCounts	all_sections	results/alignment/PRJNA830488/GW_M2/Aligned.sortedByCoord.out.bam	/home/ericzhuang2010/VscodeProjects/lychee/results/quantification/PRJNA830488/featureCounts.txt.summary
featureCounts	all_sections	results/alignment/PRJNA830488/GW_M3/Aligned.sortedByCoord.out.bam	/home/ericzhuang2010/VscodeProjects/lychee/results/quantification/PRJNA830488/featureCounts.txt.summary
featureCounts	all_sections	results/alignment/PRJNA830488/YR_P1/Aligned.sortedByCoord.out.bam	/home/ericzhuang2010/VscodeProjects/lychee/results/quantification/PRJNA830488/featureCounts.txt.summary
featureCounts	all_sections	results/alignment/PRJNA830488/YR_P2/Aligned.sortedByCoord.out.bam	/home/ericzhuang2010/VscodeProjects/lychee/results/quantification/PRJNA830488/featureCounts.txt.summary
featureCounts	all_sections	results/alignment/PRJNA830488/YR_P3/Aligned.sortedByCoord.out.bam	/home/ericzhuang2010/VscodeProjects/lychee/results/quantification/PRJNA830488/featureCounts.txt.summary
featureCounts	all_sections	results/alignment/PRJNA830488/YR_M1/Aligned.sortedByCoord.out.bam	/home/ericzhuang2010/VscodeProjects/lychee/results/quantification/PRJNA830488/featureCounts.txt.summary
featureCounts	all_sections	results/alignment/PRJNA830488/YR_M2/Aligned.sortedByCoord.out.bam	/home/ericzhuang2010/VscodeProjects/lychee/results/quantification/PRJNA830488/featureCounts.txt.summary
featureCounts	all_sections	results/alignment/PRJNA830488/YR_M3/Aligned.sortedByCoord.out.bam	/home/ericzhuang2010/VscodeProjects/lychee/results/quantification/PRJNA830488/featureCounts.txt.summary
Samtools	idxstats	idxstats	/home/ericzhuang2010/VscodeProjects/lychee/results/alignment/PRJNA830488/GW_P2/idxstats.tsv
Salmon	all_sections	YR_P3	/home/ericzhuang2010/VscodeProjects/lychee/results/quantification/PRJNA830488/salmon/YR_P3/libParams/flenDist.txt
Salmon	all_sections	GW_P3	/home/ericzhuang2010/VscodeProjects/lychee/results/quantification/PRJNA830488/salmon/GW_P3/libParams/flenDist.txt
Salmon	all_sections	YR_M3	/home/ericzhuang2010/VscodeProjects/lychee/results/quantification/PRJNA830488/salmon/YR_M3/libParams/flenDist.txt
Salmon	all_sections	YR_M2	/home/ericzhuang2010/VscodeProjects/lychee/results/quantification/PRJNA830488/salmon/YR_M2/libParams/flenDist.txt
Salmon	all_sections	YR_P1	/home/ericzhuang2010/VscodeProjects/lychee/results/quantification/PRJNA830488/salmon/YR_P1/libParams/flenDist.txt
Salmon	all_sections	GW_M1	/home/ericzhuang2010/VscodeProjects/lychee/results/quantification/PRJNA830488/salmon/GW_M1/libParams/flenDist.txt
Salmon	all_sections	GW_P1	/home/ericzhuang2010/VscodeProjects/lychee/results/quantification/PRJNA830488/salmon/GW_P1/libParams/flenDist.txt
Salmon	all_sections	GW_M2	/home/ericzhuang2010/VscodeProjects/lychee/results/quantification/PRJNA830488/salmon/GW_M2/libParams/flenDist.txt
Salmon	all_sections	YR_P2	/home/ericzhuang2010/VscodeProjects/lychee/results/quantification/PRJNA830488/salmon/YR_P2/libParams/flenDist.txt
Salmon	all_sections	GW_M3	/home/ericzhuang2010/VscodeProjects/lychee/results/quantification/PRJNA830488/salmon/GW_M3/libParams/flenDist.txt
Salmon	all_sections	YR_M1	/home/ericzhuang2010/VscodeProjects/lychee/results/quantification/PRJNA830488/salmon/YR_M1/libParams/flenDist.txt
Salmon	all_sections	GW_P2	/home/ericzhuang2010/VscodeProjects/lychee/results/quantification/PRJNA830488/salmon/GW_P2/libParams/flenDist.txt
STAR	SummaryLog	Log.final.out	/home/ericzhuang2010/VscodeProjects/lychee/results/alignment/PRJNA830488/GW_P2/Log.final.out
STAR	ReadsPerGene	ReadsPerGene.out.tab	/home/ericzhuang2010/VscodeProjects/lychee/results/alignment/PRJNA830488/GW_P2/ReadsPerGene.out.tab
fastp	all_sections	SRR18856600	/home/ericzhuang2010/VscodeProjects/lychee/results/qc/PRJNA830488/fastp/GW_M1.json
fastp	all_sections	SRR18856599	/home/ericzhuang2010/VscodeProjects/lychee/results/qc/PRJNA830488/fastp/GW_M2.json
fastp	all_sections	SRR18856598	/home/ericzhuang2010/VscodeProjects/lychee/results/qc/PRJNA830488/fastp/GW_M3.json
fastp	all_sections	SRR18856609	/home/ericzhuang2010/VscodeProjects/lychee/results/qc/PRJNA830488/fastp/GW_P1.json
fastp	all_sections	SRR18856608	/home/ericzhuang2010/VscodeProjects/lychee/results/qc/PRJNA830488/fastp/GW_P2.json
fastp	all_sections	SRR18856607	/home/ericzhuang2010/VscodeProjects/lychee/results/qc/PRJNA830488/fastp/GW_P3.json
fastp	all_sections	SRR18856606	/home/ericzhuang2010/VscodeProjects/lychee/results/qc/PRJNA830488/fastp/YR_M1.json
fastp	all_sections	SRR18856605	/home/ericzhuang2010/VscodeProjects/lychee/results/qc/PRJNA830488/fastp/YR_M2.json
fastp	all_sections	SRR18856604	/home/ericzhuang2010/VscodeProjects/lychee/results/qc/PRJNA830488/fastp/YR_M3.json
fastp	all_sections	SRR18856603	/home/ericzhuang2010/VscodeProjects/lychee/results/qc/PRJNA830488/fastp/YR_P1.json
fastp	all_sections	SRR18856602	/home/ericzhuang2010/VscodeProjects/lychee/results/qc/PRJNA830488/fastp/YR_P2.json
fastp	all_sections	SRR18856601	/home/ericzhuang2010/VscodeProjects/lychee/results/qc/PRJNA830488/fastp/YR_P3.json
FastQC	all_sections	GW_M1_R1	/home/ericzhuang2010/VscodeProjects/lychee/results/qc/PRJNA830488/trimmed/GW_M1_R1_fastqc.zip
FastQC	all_sections	GW_M1_R2	/home/ericzhuang2010/VscodeProjects/lychee/results/qc/PRJNA830488/trimmed/GW_M1_R2_fastqc.zip
FastQC	all_sections	GW_M2_R1	/home/ericzhuang2010/VscodeProjects/lychee/results/qc/PRJNA830488/trimmed/GW_M2_R1_fastqc.zip
FastQC	all_sections	GW_M2_R2	/home/ericzhuang2010/VscodeProjects/lychee/results/qc/PRJNA830488/trimmed/GW_M2_R2_fastqc.zip
FastQC	all_sections	GW_M3_R1	/home/ericzhuang2010/VscodeProjects/lychee/results/qc/PRJNA830488/trimmed/GW_M3_R1_fastqc.zip
FastQC	all_sections	GW_M3_R2	/home/ericzhuang2010/VscodeProjects/lychee/results/qc/PRJNA830488/trimmed/GW_M3_R2_fastqc.zip
FastQC	all_sections	GW_P1_R1	/home/ericzhuang2010/VscodeProjects/lychee/results/qc/PRJNA830488/trimmed/GW_P1_R1_fastqc.zip
FastQC	all_sections	GW_P1_R2	/home/ericzhuang2010/VscodeProjects/lychee/results/qc/PRJNA830488/trimmed/GW_P1_R2_fastqc.zip
FastQC	all_sections	GW_P2_R1	/home/ericzhuang2010/VscodeProjects/lychee/results/qc/PRJNA830488/trimmed/GW_P2_R1_fastqc.zip
FastQC	all_sections	GW_P2_R2	/home/ericzhuang2010/VscodeProjects/lychee/results/qc/PRJNA830488/trimmed/GW_P2_R2_fastqc.zip
FastQC	all_sections	GW_P3_R1	/home/ericzhuang2010/VscodeProjects/lychee/results/qc/PRJNA830488/trimmed/GW_P3_R1_fastqc.zip
FastQC	all_sections	GW_P3_R2	/home/ericzhuang2010/VscodeProjects/lychee/results/qc/PRJNA830488/trimmed/GW_P3_R2_fastqc.zip
FastQC	all_sections	YR_M1_R1	/home/ericzhuang2010/VscodeProjects/lychee/results/qc/PRJNA830488/trimmed/YR_M1_R1_fastqc.zip
FastQC	all_sections	YR_M1_R2	/home/ericzhuang2010/VscodeProjects/lychee/results/qc/PRJNA830488/trimmed/YR_M1_R2_fastqc.zip
FastQC	all_sections	YR_M2_R1	/home/ericzhuang2010/VscodeProjects/lychee/results/qc/PRJNA830488/trimmed/YR_M2_R1_fastqc.zip
FastQC	all_sections	YR_M2_R2	/home/ericzhuang2010/VscodeProjects/lychee/results/qc/PRJNA830488/trimmed/YR_M2_R2_fastqc.zip
FastQC	all_sections	YR_M3_R1	/home/ericzhuang2010/VscodeProjects/lychee/results/qc/PRJNA830488/trimmed/YR_M3_R1_fastqc.zip
FastQC	all_sections	YR_M3_R2	/home/ericzhuang2010/VscodeProjects/lychee/results/qc/PRJNA830488/trimmed/YR_M3_R2_fastqc.zip
FastQC	all_sections	YR_P1_R1	/home/ericzhuang2010/VscodeProjects/lychee/results/qc/PRJNA830488/trimmed/YR_P1_R1_fastqc.zip
FastQC	all_sections	YR_P1_R2	/home/ericzhuang2010/VscodeProjects/lychee/results/qc/PRJNA830488/trimmed/YR_P1_R2_fastqc.zip
