Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
GW_P3_R1	(30, 3551.0)	(35, 3838.0)	(40, 3886.0)	(45, 3963.0)	(50, 3545.0)	(55, 3230.0)	(60, 3144.0)	(65, 2725.0)	(70, 2541.0)	(75, 2547.0)	(80, 2543.0)	(85, 2586.0)	(90, 2370.0)	(95, 2412.0)	(100, 2377.0)	(105, 2531.0)	(110, 2553.0)	(115, 2564.0)	(120, 2428.0)	(125, 2582.0)	(130, 18770.0)	(135, 88853.0)	(140, 116533.0)	(145, 149275.0)	(150, 22931598.0)
GW_P3_R2	(30, 3549.0)	(35, 3839.0)	(40, 3886.0)	(45, 3964.0)	(50, 3545.0)	(55, 3232.0)	(60, 3145.0)	(65, 2726.0)	(70, 2542.0)	(75, 2550.0)	(80, 2554.0)	(85, 2594.0)	(90, 2378.0)	(95, 2412.0)	(100, 2387.0)	(105, 2547.0)	(110, 2569.0)	(115, 2584.0)	(120, 2455.0)	(125, 2593.0)	(130, 18692.0)	(135, 88674.0)	(140, 116250.0)	(145, 149470.0)	(150, 22931808.0)
YR_M1_R1	(30, 3977.0)	(35, 4383.0)	(40, 4409.0)	(45, 4451.0)	(50, 3988.0)	(55, 3882.0)	(60, 3466.0)	(65, 3104.0)	(70, 2725.0)	(75, 2635.0)	(80, 2620.0)	(85, 2596.0)	(90, 2473.0)	(95, 2463.0)	(100, 2415.0)	(105, 2578.0)	(110, 2445.0)	(115, 2442.0)	(120, 2422.0)	(125, 2532.0)	(130, 19414.0)	(135, 91259.0)	(140, 124497.0)	(145, 139117.0)	(150, 22377031.0)
YR_M1_R2	(30, 3976.0)	(35, 4383.0)	(40, 4408.0)	(45, 4451.0)	(50, 3989.0)	(55, 3882.0)	(60, 3468.0)	(65, 3107.0)	(70, 2725.0)	(75, 2639.0)	(80, 2625.0)	(85, 2605.0)	(90, 2485.0)	(95, 2467.0)	(100, 2427.0)	(105, 2587.0)	(110, 2458.0)	(115, 2465.0)	(120, 2441.0)	(125, 2527.0)	(130, 19317.0)	(135, 91105.0)	(140, 124952.0)	(145, 139352.0)	(150, 22376483.0)
YR_M2_R1	(30, 3888.0)	(35, 4415.0)	(40, 4668.0)	(45, 4751.0)	(50, 4283.0)	(55, 4071.0)	(60, 3559.0)	(65, 2941.0)	(70, 2827.0)	(75, 2674.0)	(80, 2686.0)	(85, 2706.0)	(90, 2490.0)	(95, 2384.0)	(100, 2516.0)	(105, 2608.0)	(110, 2498.0)	(115, 2462.0)	(120, 2414.0)	(125, 2638.0)	(130, 25369.0)	(135, 123087.0)	(140, 158601.0)	(145, 179079.0)	(150, 22855832.0)
YR_M2_R2	(30, 3894.0)	(35, 4415.0)	(40, 4669.0)	(45, 4749.0)	(50, 4283.0)	(55, 4074.0)	(60, 3562.0)	(65, 2939.0)	(70, 2831.0)	(75, 2686.0)	(80, 2694.0)	(85, 2723.0)	(90, 2499.0)	(95, 2392.0)	(100, 2527.0)	(105, 2618.0)	(110, 2509.0)	(115, 2481.0)	(120, 2441.0)	(125, 2647.0)	(130, 25278.0)	(135, 122831.0)	(140, 158423.0)	(145, 178520.0)	(150, 22856762.0)
YR_M3_R1	(30, 4117.0)	(35, 4629.0)	(40, 4728.0)	(45, 5172.0)	(50, 4719.0)	(55, 4273.0)	(60, 3993.0)	(65, 3457.0)	(70, 3259.0)	(75, 3015.0)	(80, 3070.0)	(85, 3005.0)	(90, 2886.0)	(95, 2695.0)	(100, 2741.0)	(105, 2853.0)	(110, 2785.0)	(115, 2556.0)	(120, 2585.0)	(125, 2742.0)	(130, 20876.0)	(135, 98351.0)	(140, 132662.0)	(145, 150953.0)	(150, 22976649.0)
YR_M3_R2	(30, 4120.0)	(35, 4628.0)	(40, 4728.0)	(45, 5172.0)	(50, 4717.0)	(55, 4275.0)	(60, 3994.0)	(65, 3453.0)	(70, 3260.0)	(75, 3017.0)	(80, 3079.0)	(85, 3013.0)	(90, 2888.0)	(95, 2704.0)	(100, 2757.0)	(105, 2859.0)	(110, 2796.0)	(115, 2566.0)	(120, 2597.0)	(125, 2753.0)	(130, 20784.0)	(135, 98089.0)	(140, 132959.0)	(145, 151177.0)	(150, 22976386.0)
YR_P1_R1	(30, 2072.0)	(35, 1996.0)	(40, 2419.0)	(45, 2612.0)	(50, 2612.0)	(55, 2754.0)	(60, 2569.0)	(65, 2600.0)	(70, 2476.0)	(75, 2584.0)	(80, 2720.0)	(85, 2840.0)	(90, 2782.0)	(95, 2872.0)	(100, 2812.0)	(105, 3102.0)	(110, 3166.0)	(115, 2974.0)	(120, 3030.0)	(125, 3286.0)	(130, 19585.0)	(135, 91301.0)	(140, 118420.0)	(145, 139179.0)	(150, 22063568.0)
YR_P1_R2	(30, 2071.0)	(35, 1996.0)	(40, 2419.0)	(45, 2614.0)	(50, 2614.0)	(55, 2759.0)	(60, 2570.0)	(65, 2593.0)	(70, 2480.0)	(75, 2588.0)	(80, 2728.0)	(85, 2850.0)	(90, 2794.0)	(95, 2874.0)	(100, 2831.0)	(105, 3112.0)	(110, 3189.0)	(115, 3013.0)	(120, 3053.0)	(125, 3309.0)	(130, 19567.0)	(135, 91107.0)	(140, 118431.0)	(145, 139651.0)	(150, 22063118.0)
YR_P2_R1	(30, 3569.0)	(35, 3939.0)	(40, 4231.0)	(45, 3991.0)	(50, 3831.0)	(55, 3537.0)	(60, 3101.0)	(65, 2662.0)	(70, 2599.0)	(75, 2588.0)	(80, 2470.0)	(85, 2485.0)	(90, 2487.0)	(95, 2422.0)	(100, 2410.0)	(105, 2600.0)	(110, 2541.0)	(115, 2434.0)	(120, 2292.0)	(125, 2594.0)	(130, 18891.0)	(135, 90192.0)	(140, 124750.0)	(145, 139733.0)	(150, 22669571.0)
YR_P2_R2	(30, 3569.0)	(35, 3939.0)	(40, 4231.0)	(45, 3991.0)	(50, 3833.0)	(55, 3541.0)	(60, 3104.0)	(65, 2663.0)	(70, 2603.0)	(75, 2602.0)	(80, 2479.0)	(85, 2494.0)	(90, 2505.0)	(95, 2427.0)	(100, 2420.0)	(105, 2615.0)	(110, 2572.0)	(115, 2439.0)	(120, 2308.0)	(125, 2612.0)	(130, 18858.0)	(135, 90041.0)	(140, 124603.0)	(145, 139444.0)	(150, 22670027.0)
YR_P3_R1	(30, 3463.0)	(35, 3822.0)	(40, 3837.0)	(45, 3927.0)	(50, 3531.0)	(55, 3310.0)	(60, 2876.0)	(65, 2566.0)	(70, 2292.0)	(75, 2378.0)	(80, 2292.0)	(85, 2275.0)	(90, 2279.0)	(95, 2201.0)	(100, 2157.0)	(105, 2286.0)	(110, 2281.0)	(115, 2309.0)	(120, 2216.0)	(125, 2501.0)	(130, 16852.0)	(135, 78627.0)	(140, 107264.0)	(145, 120501.0)	(150, 20874046.0)
YR_P3_R2	(30, 3465.0)	(35, 3822.0)	(40, 3837.0)	(45, 3927.0)	(50, 3532.0)	(55, 3310.0)	(60, 2878.0)	(65, 2572.0)	(70, 2295.0)	(75, 2379.0)	(80, 2299.0)	(85, 2280.0)	(90, 2288.0)	(95, 2210.0)	(100, 2162.0)	(105, 2305.0)	(110, 2293.0)	(115, 2309.0)	(120, 2223.0)	(125, 2507.0)	(130, 16766.0)	(135, 78421.0)	(140, 107451.0)	(145, 120654.0)	(150, 20873904.0)
