Sample	featurecounts-Assigned	featurecounts-percent_assigned	salmon-percent_mapped	salmon-num_mapped	salmon-library_types	salmon-compatible_fragment_ratio	salmon-strand_mapping_bias	star-total_reads	star-mapped	star-mapped_percent	star-uniquely_mapped	star-uniquely_mapped_percent	star-multimapped	fastp-pct_duplication	fastp-after_filtering_q30_rate	fastp-after_filtering_q30_bases	fastp-filtering_result_passed_filter_reads	fastp-after_filtering_gc_content	fastp-pct_surviving_reads	fastp-pct_surviving_bases	fastp-pct_adapter	fastp-before_filtering_read1_mean_length	fastp-before_filtering_read2_mean_length	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
GW_M1			82.56241041453353	19.502312999999997	IU	100.0	0.0	23.621298	21.856343	92.53	20.262562	85.78	1.593781																
GW_M1_R1																								59.505337026107675	44.0	150.15366651316114	150	18.181818181818183	23.621298
GW_M1_R2																								58.61789506376534	44.0	150.15349361834393	150	18.181818181818183	23.621298
GW_M2			81.14191185279817	21.889699	IU	100.0	0.0	26.977055999999997	24.993185	92.65	23.155766	85.84	1.837419																
GW_M2_R1																								63.90063690335165	44.0	150.16194083594593	150	18.181818181818183	26.977055999999997
GW_M2_R2																								62.98017727794021	44.0	150.16191042121127	150	18.181818181818183	26.977055999999997
GW_M3			82.26135542578864	22.138468	IU	100.0	0.0	26.912354999999998	24.996342	92.88	23.08383	85.77	1.912512																
GW_M3_R1																								61.71481374519607	44.0	150.14866216650307	150	18.181818181818183	26.912354999999998
GW_M3_R2																								60.865054079240025	44.0	150.14894456468042	150	18.181818181818183	26.912354999999998
GW_P1			82.13824004147752	22.572335	IU	100.0	0.0	27.480909	25.348247999999998	92.24000000000001	23.467492999999997	85.4	1.880755																
GW_P1_R1																								63.115037289494815	44.0	150.15570312830627	150	18.181818181818183	27.480909
GW_P1_R2																								62.049786355023265	44.0	150.1558734465443	150	18.181818181818183	27.480909
GW_P2			81.08762110365701	19.960528	IU	100.0	0.0	24.615999	22.716876	92.28999999999999	20.908331999999998	84.94	1.808544																
GW_P2_R1																								60.685569567215396	44.0	150.14762977931548	150	18.181818181818183	24.615999
GW_P2_R2																								59.417118424628704	44.0	150.14742336884234	150	18.181818181818183	24.615999
GW_P3			82.42960808237146	19.257984	IU	100.0	0.0	23.362945	21.706654999999998	92.91	20.138469	86.2	1.5681859999999999																
GW_P3_R1																								61.21274317069058	44.0	150.18166943422585	150	18.181818181818183	23.362945
GW_P3_R2																								59.645994209014006	44.0	150.18165744943542	150	18.181818181818183	23.362945
SRR18856598														31.5413	94.8871	7643.558841	53.824709999999996	44.7036	99.58714361440835	99.36163561239408	2.370040621412323	150.0	150.0						
SRR18856599														32.0258	94.768	7653.001305	53.954111999999995	44.6973	99.62643396197777	99.40970711346722	2.281596446678106	150.0	150.0						
SRR18856600														29.329	94.75200000000001	6699.379913	47.242596	44.5797	99.60938987456612	99.38509752799132	1.9089162246303617	150.0	150.0						
