Sample	Overlapping Genes	No Feature	Ambiguous Features	Multimapping	Unmapped
GW_M1	16459067.0	1298222.0	2505273.0	1593781.0	1764955.0
GW_M2	18708645.0	1520609.0	2926512.0	1837419.0	1983871.0
GW_M3	18741959.0	1522597.0	2819274.0	1912512.0	1916013.0
GW_P1	19008278.0	1528214.0	2931001.0	1880755.0	2132661.0
GW_P2	16853198.0	1485109.0	2570025.0	1808544.0	1899123.0
GW_P3	16328140.0	1301695.0	2508634.0	1568186.0	1656290.0
YR_M1	15875270.0	1310835.0	2381355.0	1541035.0	1704829.0
YR_M2	16380183.0	1342785.0	2457551.0	1525532.0	1699396.0
YR_M3	16411912.0	1296216.0	2499444.0	1519709.0	1721490.0
YR_P1	15292886.0	1359708.0	2333931.0	1561149.0	1938657.0
YR_P2	15898465.0	1352132.0	2452925.0	1595748.0	1802650.0
YR_P3	14658995.0	1142395.0	2286323.0	1407544.0	1756832.0
