Sample	Total reads	Aligned	Uniq aligned	Multimapped	Avg. read len	Avg. mapped len	Splices	Annotated splices	GT/AG splices	GC/AG splices	AT/AC splices	Non-canonical splices	Mismatch rate	Del rate	Del len	Ins rate	Ins len
GW_M1	23.621298	92.53	85.78	1.593781	299.0	295.13	19.641113999999998	19.516372	19.218221	0.250515	0.01712	0.15525799999999998	1.17	0.06	3.11	0.06	2.81
GW_M2	26.977055999999997	92.65	85.84	1.837419	299.0	294.7	20.424341	20.258786	19.955257	0.27241	0.017776	0.178898	1.21	0.06	3.03	0.05	2.79
GW_M3	26.912354999999998	92.88	85.77	1.912512	299.0	295.06	22.240754	22.106372	21.756182	0.283428	0.020672	0.180472	1.17	0.06	3.23	0.05	2.81
GW_P1	27.480909	92.24000000000001	85.4	1.880755	299.0	294.92	22.572222999999997	22.422390999999998	22.080472	0.291072	0.020742999999999998	0.17993599999999998	1.18	0.06	3.19	0.06	2.78
GW_P2	24.615999	92.28999999999999	84.94	1.808544	299.0	294.97	20.069578999999997	19.932609	19.622218999999998	0.262657	0.018747	0.165956	1.18	0.06	3.23	0.05	2.72
GW_P3	23.362945	92.91	86.2	1.5681859999999999	299.0	295.1	19.405995	19.285273999999998	18.978929	0.25049699999999997	0.017598	0.158971	1.19	0.06	3.22	0.06	2.84
STARpass1	24.615999	92.83999999999999	86.21	1.632166	299.0	294.7	19.626859	17.582933999999998	19.25198	0.26001199999999997	0.016728	0.09813899999999999	1.19	0.08	4.04	0.06	2.69
YR_M1	22.813323999999998	92.52	85.77	1.541035	299.0	294.98	18.592024	18.478399	18.201653999999998	0.226438	0.015677	0.148255	1.22	0.07	3.46	0.05	2.73
YR_M2	23.405447	92.74	86.22	1.5255319999999999	299.0	294.9	18.982552	18.867836999999998	18.580392	0.23211199999999999	0.016803	0.153245	1.21	0.07	3.4	0.05	2.71
YR_M3	23.448771	92.66000000000001	86.18	1.519709	299.0	295.07	18.814135	18.69917	18.424049	0.22633899999999998	0.01594	0.147807	1.2	0.07	3.37	0.05	2.69
YR_P1	22.486331	91.38	84.44	1.561149	299.0	295.05	18.412433999999998	18.285308	18.013831	0.239094	0.014237	0.14527199999999998	1.17	0.06	3.28	0.05	2.75
YR_P2	23.10192	92.2	85.29	1.595748	299.0	294.95	19.189021	19.060495	18.767751	0.24617499999999998	0.028211999999999997	0.14688299999999999	1.2	0.07	3.39	0.05	2.75
YR_P3	21.252088999999998	91.73	85.11	1.407544	299.0	295.03	17.533155	17.423439	17.170825999999998	0.21781699999999998	0.013491999999999999	0.13102	1.2	0.07	3.42	0.05	2.75
