Sample	Passed Filter	Low Quality	Too Many N	Low Complexity	Too Short	Too Long
SRR18856598	53824710.0	223124.0	0.0	nan	16.0	0.0
SRR18856599	53954112.0	202274.0	0.0	nan	36.0	0.0
SRR18856600	47242596.0	185250.0	0.0	nan	8.0	0.0
SRR18856601	42504178.0	151418.0	0.0	nan	24.0	0.0
SRR18856602	46203840.0	177100.0	0.0	nan	26.0	0.0
SRR18856603	44972662.0	153070.0	0.0	nan	12.0	0.0
SRR18856604	46897542.0	203590.0	0.0	nan	14.0	0.0
SRR18856605	46810894.0	191002.0	0.0	nan	28.0	0.0
SRR18856606	45626648.0	200452.0	0.0	nan	20.0	0.0
SRR18856607	46725890.0	202770.0	0.0	nan	30.0	0.0
SRR18856608	49231998.0	192162.0	0.0	nan	12.0	0.0
SRR18856609	54961818.0	216738.0	0.0	nan	20.0	0.0
