Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
YR_M2_R1	(22.0, 12.0)	(23.0, 203.0)	(24.0, 4652.0)	(25.0, 19416.0)	(26.0, 35550.0)	(27.0, 59339.0)	(28.0, 91613.0)	(29.0, 134552.0)	(30.0, 185135.0)	(31.0, 245697.0)	(32.0, 323121.0)	(33.0, 439116.0)	(34.0, 678884.0)	(35.0, 1641972.0)	(36.0, 17747946.0)	(37.0, 1798239.0)		
YR_M2_R2	(21.0, 8.0)	(22.0, 84.0)	(23.0, 1654.0)	(24.0, 19655.0)	(25.0, 53196.0)	(26.0, 69666.0)	(27.0, 86935.0)	(28.0, 109238.0)	(29.0, 139450.0)	(30.0, 181450.0)	(31.0, 247391.0)	(32.0, 359523.0)	(33.0, 588452.0)	(34.0, 1221884.0)	(35.0, 3754450.0)	(36.0, 15054601.0)	(37.0, 1517810.0)	
YR_M3_R1	(22.0, 7.0)	(23.0, 236.0)	(24.0, 5131.0)	(25.0, 21573.0)	(26.0, 39217.0)	(27.0, 64480.0)	(28.0, 97771.0)	(29.0, 139343.0)	(30.0, 189165.0)	(31.0, 247831.0)	(32.0, 324780.0)	(33.0, 442178.0)	(34.0, 682358.0)	(35.0, 1655288.0)	(36.0, 17792734.0)	(37.0, 1746679.0)		
YR_M3_R2	(21.0, 6.0)	(22.0, 75.0)	(23.0, 1827.0)	(24.0, 21431.0)	(25.0, 55002.0)	(26.0, 69986.0)	(27.0, 85204.0)	(28.0, 105596.0)	(29.0, 133958.0)	(30.0, 172440.0)	(31.0, 233955.0)	(32.0, 336593.0)	(33.0, 543747.0)	(34.0, 1122127.0)	(35.0, 3532441.0)	(36.0, 15410149.0)	(37.0, 1624234.0)	
YR_P1_R1	(21.0, 1.0)	(22.0, 7.0)	(23.0, 187.0)	(24.0, 4498.0)	(25.0, 19034.0)	(26.0, 34947.0)	(27.0, 58953.0)	(28.0, 90609.0)	(29.0, 130779.0)	(30.0, 178608.0)	(31.0, 235461.0)	(32.0, 309937.0)	(33.0, 419236.0)	(34.0, 646995.0)	(35.0, 1546034.0)	(36.0, 17024233.0)	(37.0, 1786812.0)	
YR_P1_R2	(21.0, 6.0)	(22.0, 76.0)	(23.0, 1209.0)	(24.0, 14419.0)	(25.0, 40208.0)	(26.0, 54741.0)	(27.0, 68989.0)	(28.0, 87806.0)	(29.0, 113811.0)	(30.0, 149145.0)	(31.0, 201654.0)	(32.0, 290878.0)	(33.0, 463823.0)	(34.0, 937848.0)	(35.0, 3024190.0)	(36.0, 15274819.0)	(37.0, 1762709.0)	
YR_P2_R1	(21.0, 2.0)	(22.0, 14.0)	(23.0, 207.0)	(24.0, 4873.0)	(25.0, 20091.0)	(26.0, 37349.0)	(27.0, 61496.0)	(28.0, 93355.0)	(29.0, 135013.0)	(30.0, 183764.0)	(31.0, 240684.0)	(32.0, 315914.0)	(33.0, 430225.0)	(34.0, 666814.0)	(35.0, 1616827.0)	(36.0, 17525234.0)	(37.0, 1770058.0)	
YR_P2_R2	(21.0, 4.0)	(22.0, 63.0)	(23.0, 1452.0)	(24.0, 17246.0)	(25.0, 47976.0)	(26.0, 63808.0)	(27.0, 79745.0)	(28.0, 100656.0)	(29.0, 129264.0)	(30.0, 168745.0)	(31.0, 229082.0)	(32.0, 328842.0)	(33.0, 535948.0)	(34.0, 1101368.0)	(35.0, 3467044.0)	(36.0, 15245423.0)	(37.0, 1585254.0)	
YR_P3_R1	(21.0, 1.0)	(22.0, 8.0)	(23.0, 230.0)	(24.0, 4192.0)	(25.0, 18197.0)	(26.0, 33047.0)	(27.0, 55171.0)	(28.0, 83697.0)	(29.0, 121077.0)	(30.0, 164800.0)	(31.0, 218691.0)	(32.0, 289957.0)	(33.0, 395162.0)	(34.0, 614936.0)	(35.0, 1514948.0)	(36.0, 16150660.0)	(37.0, 1587315.0)	
YR_P3_R2	(21.0, 2.0)	(22.0, 54.0)	(23.0, 1234.0)	(24.0, 14723.0)	(25.0, 39593.0)	(26.0, 52127.0)	(27.0, 64889.0)	(28.0, 82133.0)	(29.0, 105749.0)	(30.0, 138332.0)	(31.0, 188034.0)	(32.0, 271753.0)	(33.0, 438163.0)	(34.0, 903246.0)	(35.0, 2917962.0)	(36.0, 14428931.0)	(37.0, 1605164.0)	
