Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
GW_M1_R1	GW_M1_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23621298.0	3.5 Gbp	0.0	30-150	44.0	40.494662973892325	150.15366651316114	150	pass	pass	warn	pass	fail	pass	pass	warn	fail	pass	pass
GW_M1_R2	GW_M1_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23621298.0	3.5 Gbp	0.0	30-150	44.0	41.38210493623466	150.15349361834393	150	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
GW_M2_R1	GW_M2_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26977056.0	4 Gbp	0.0	31-150	44.0	36.09936309664835	150.16194083594593	150	pass	pass	warn	pass	fail	pass	pass	warn	fail	pass	pass
GW_M2_R2	GW_M2_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26977056.0	4 Gbp	0.0	30-150	44.0	37.01982272205979	150.16191042121127	150	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
GW_M3_R1	GW_M3_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26912355.0	4 Gbp	0.0	30-150	44.0	38.28518625480393	150.14866216650307	150	pass	pass	warn	pass	fail	pass	pass	warn	fail	pass	pass
GW_M3_R2	GW_M3_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26912355.0	4 Gbp	0.0	30-150	44.0	39.134945920759975	150.14894456468042	150	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
GW_P1_R1	GW_P1_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27480909.0	4.1 Gbp	0.0	31-150	44.0	36.884962710505185	150.15570312830627	150	pass	pass	warn	pass	fail	pass	pass	warn	fail	pass	pass
GW_P1_R2	GW_P1_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27480909.0	4.1 Gbp	0.0	30-150	44.0	37.950213644976735	150.1558734465443	150	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
GW_P2_R1	GW_P2_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24615999.0	3.6 Gbp	0.0	31-150	44.0	39.314430432784604	150.14762977931548	150	pass	pass	warn	pass	fail	pass	pass	warn	fail	pass	pass
GW_P2_R2	GW_P2_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24615999.0	3.6 Gbp	0.0	31-150	44.0	40.582881575371296	150.14742336884234	150	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
GW_P3_R1	GW_P3_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23362945.0	3.4 Gbp	0.0	30-150	44.0	38.78725682930942	150.18166943422585	150	pass	pass	warn	pass	fail	pass	pass	warn	fail	pass	pass
GW_P3_R2	GW_P3_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23362945.0	3.4 Gbp	0.0	30-150	44.0	40.354005790985994	150.18165744943542	150	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
YR_M1_R1	YR_M1_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22813324.0	3.4 Gbp	0.0	30-150	44.0	40.71739753087843	150.15248902351976	150	pass	pass	warn	pass	fail	pass	pass	warn	fail	pass	pass
YR_M1_R2	YR_M1_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22813324.0	3.4 Gbp	0.0	31-150	44.0	42.12808774400394	150.15223005205203	150	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
YR_M2_R1	YR_M2_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23405447.0	3.5 Gbp	0.0	30-150	44.0	41.21380968597462	150.1145603414453	150	pass	pass	warn	pass	fail	pass	pass	warn	fail	pass	pass
YR_M2_R2	YR_M2_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23405447.0	3.5 Gbp	0.0	30-150	44.0	42.62000751627587	150.11459580327605	150	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
YR_M3_R1	YR_M3_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23448771.0	3.5 Gbp	0.0	30-150	44.0	40.85912913737274	150.12823629434567	150	pass	pass	warn	pass	fail	pass	pass	warn	fail	pass	pass
YR_M3_R2	YR_M3_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23448771.0	3.5 Gbp	0.0	30-150	44.0	42.03195135885787	150.12813392224265	150	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
YR_P1_R1	YR_P1_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22486331.0	3.3 Gbp	0.0	30-150	44.0	41.21573257070585	150.19864067641805	150	pass	pass	warn	pass	fail	pass	pass	warn	fail	pass	pass
YR_P1_R2	YR_P1_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22486331.0	3.3 Gbp	0.0	31-150	44.0	42.06022447036739	150.1983562814227	150	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
YR_P2_R1	YR_P2_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23101920.0	3.4 Gbp	0.0	31-150	44.0	39.85414712242489	150.17122379871458	150	pass	pass	warn	pass	fail	pass	pass	warn	fail	pass	pass
YR_P2_R2	YR_P2_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23101920.0	3.4 Gbp	0.0	31-150	44.0	40.90472343775736	150.17108359391773	150	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
YR_P3_R1	YR_P3_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21252089.0	3.1 Gbp	0.0	31-150	44.0	40.59888061113682	150.17541447337248	150	pass	pass	warn	pass	fail	pass	pass	warn	fail	pass	pass
