Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other	mapped_percent	mapped
GW_M1	23621298.0	299.0	20262562.0	85.78	295.13	19641114.0	19516372.0	19218221.0	250515.0	17120.0	155258.0	1.17	0.06	3.11	0.06	2.81	1593781.0	6.75	6568.0	0.03	0.0	6.89	0.56	0	1626213	132174	92.53	21856343.0
GW_M2	26977056.0	299.0	23155766.0	85.84	294.7	20424341.0	20258786.0	19955257.0	272410.0	17776.0	178898.0	1.21	0.06	3.03	0.05	2.79	1837419.0	6.81	13215.0	0.05	0.0	6.88	0.43	0	1854735	115921	92.65	24993185.0
GW_M3	26912355.0	299.0	23083830.0	85.77	295.06	22240754.0	22106372.0	21756182.0	283428.0	20672.0	180472.0	1.17	0.06	3.23	0.05	2.81	1912512.0	7.11	20820.0	0.08	0.0	6.51	0.53	0	1752515	142678	92.88	24996342.0
GW_P1	27480909.0	299.0	23467493.0	85.4	294.92	22572223.0	22422391.0	22080472.0	291072.0	20743.0	179936.0	1.18	0.06	3.19	0.06	2.78	1880755.0	6.84	11464.0	0.04	0.0	7.08	0.64	0	1945346	175851	92.24000000000001	25348248.0
GW_P2	24615999.0	299.0	20908332.0	84.94	294.97	20069579.0	19932609.0	19622219.0	262657.0	18747.0	165956.0	1.18	0.06	3.23	0.05	2.72	1808544.0	7.35	34178.0	0.14	0.0	6.98	0.6	0	1717324	147621	92.28999999999999	22716876.0
GW_P3	23362945.0	299.0	20138469.0	86.2	295.1	19405995.0	19285274.0	18978929.0	250497.0	17598.0	158971.0	1.19	0.06	3.22	0.06	2.84	1568186.0	6.71	2087.0	0.01	0.0	6.59	0.49	0	1539717	114486	92.91	21706655.0
STARpass1	24615999.0	299.0	21220842.0	86.21	294.7	19626859.0	17582934.0	19251980.0	260012.0	16728.0	98139.0	1.19	0.08	4.04	0.06	2.69	1632166.0	6.63	4157.0	0.02	0.0	7.07	0.08	0	1739155	19679	92.83999999999999	22853008.0
YR_M1	22813324.0	299.0	19567460.0	85.77	294.98	18592024.0	18478399.0	18201654.0	226438.0	15677.0	148255.0	1.22	0.07	3.46	0.05	2.73	1541035.0	6.75	11551.0	0.05	0.0	7.08	0.35	0	1613514	79764	92.52	21108495.0
YR_M2	23405447.0	299.0	20180519.0	86.22	294.9	18982552.0	18867837.0	18580392.0	232112.0	16803.0	153245.0	1.21	0.07	3.4	0.05	2.71	1525532.0	6.52	4923.0	0.02	0.0	6.93	0.31	0	1621920	72553	92.74	21706051.0
YR_M3	23448771.0	299.0	20207572.0	86.18	295.07	18814135.0	18699170.0	18424049.0	226339.0	15940.0	147807.0	1.2	0.07	3.37	0.05	2.69	1519709.0	6.48	9809.0	0.04	0.0	6.99	0.31	0	1638993	72688	92.66000000000001	21727281.0
YR_P1	22486331.0	299.0	18986525.0	84.44	295.05	18412434.0	18285308.0	18013831.0	239094.0	14237.0	145272.0	1.17	0.06	3.28	0.05	2.75	1561149.0	6.94	25146.0	0.11	0.0	8.06	0.45	0	1812327	101184	91.38	20547674.0
YR_P2	23101920.0	299.0	19703522.0	85.29	294.95	19189021.0	19060495.0	18767751.0	246175.0	28212.0	146883.0	1.2	0.07	3.39	0.05	2.75	1595748.0	6.91	8265.0	0.04	0.0	7.29	0.48	0	1683535	110850	92.2	21299270.0
YR_P3	21252089.0	299.0	18087713.0	85.11	295.03	17533155.0	17423439.0	17170826.0	217817.0	13492.0	131020.0	1.2	0.07	3.42	0.05	2.75	1407544.0	6.62	19473.0	0.09	0.0	7.75	0.43	0	1646031	91328	91.73	19495257.0
