Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
GW_M1_R1 - polya	(1, 0.0011007015787193404)	(2, 0.009601504540521015)	(3, 0.013280387894009888)	(4, 0.016734897464144433)	(5, 0.019986200588976946)	(6, 0.02281839042037402)	(7, 0.02607816048042745)	(8, 0.03244529576655779)	(9, 0.03997240117795389)	(10, 0.04898333698681588)	(12, 0.0578461014293118)	(14, 0.06770161402646035)	(16, 0.07802492479456463)	(18, 0.08933251678210063)	(20, 0.10013844285779723)	(22, 0.109377985917624)	(24, 0.11955735878697267)	(26, 0.1290720772414793)	(28, 0.13706274735622065)	(30, 0.14565033640403674)	(32, 0.1540431859417717)	(34, 0.16155759095033642)	(36, 0.17031240196876565)	(38, 0.17873065231216337)	(40, 0.18648424824071902)	(42, 0.1974235285461451)	(44, 0.2059349151769729)	(46, 0.21445265200921643)	(48, 0.22294287130199197)	(50, 0.22983072310420877)	(52, 0.23646880031740847)	(54, 0.2429565894304369)	(56, 0.24956291563655816)	(58, 0.2563745650217867)	(60, 0.26275016724313793)	(62, 0.2694517464704945)	(64, 0.27572151200158435)	(66, 0.2821330986976245)	(68, 0.28841556463154566)	(70, 0.2946789799612197)	(72, 0.3006058346158623)	(74, 0.3065983080184671)	(76, 0.3131538326132628)	(78, 0.31856420421942944)	(80, 0.3245672612910603)	(82, 0.32991836435068045)	(84, 0.33556581014303277)	(86, 0.34123230653963216)	(88, 0.3468120168502171)	(90, 0.35246792957779033)	(92, 0.358081507629259)	(94, 0.36396391087399177)	(96, 0.3696494578748382)	(98, 0.37547894277444027)	(100, 0.38120259098378084)	(102, 0.38708711096231885)	(104, 0.3927028057475927)	(106, 0.3982041969073842)	(108, 0.40402944833937576)	(110, 0.40932974978767045)	(112, 0.4146533353078226)	(114, 0.41997268736036436)	(116, 0.4251121170394616)	(118, 0.4306113914654478)	(120, 0.43610643242382363)	(122, 0.44130301391566207)	(124, 0.4467493699965176)	(126, 0.4521851424083469)	(128, 0.45739230756921145)	(130, 0.4630101190882906)	(132, 0.4689115729372704)	(134, 0.47446799917599786)	(136, 0.47912269681369757)	(138, 0.48390016501210054)
GW_M1_R2 - polya	(1, 0.0014478459227769786)	(2, 0.0106048363641998)	(3, 0.014965308002972572)	(4, 0.02009627074684888)	(5, 0.02736090116639653)	(6, 0.034197951357287815)	(7, 0.041047701951010485)	(8, 0.052249457248285)	(9, 0.06484402338940053)	(10, 0.08139899848010046)	(12, 0.09955845779516434)	(14, 0.11759514654952492)	(16, 0.13566358631096395)	(18, 0.15311605653508117)	(20, 0.16952497699322028)	(22, 0.1837917628404671)	(24, 0.19901954583528814)	(26, 0.2122046807080627)	(28, 0.22352920656604053)	(30, 0.23439440118828356)	(32, 0.24474311276205057)	(34, 0.25462614289866714)	(36, 0.2658617659368253)	(38, 0.2762972635966068)	(40, 0.28585431672721795)	(42, 0.2980721042510026)	(44, 0.3080080527327499)	(46, 0.317397883892748)	(48, 0.32678771505274606)	(50, 0.33430635352892124)	(52, 0.34168952104156175)	(54, 0.3491065562950859)	(56, 0.3568982534321357)	(58, 0.36400836228390154)	(60, 0.3713788293937107)	(62, 0.3785968916695433)	(64, 0.38541489125618755)	(66, 0.39198946645523036)	(68, 0.3993048984861035)	(70, 0.4062858865757504)	(72, 0.41277579242258405)	(74, 0.419204312989066)	(76, 0.42670178412718895)	(78, 0.4324190821351138)	(80, 0.43867614726337223)	(82, 0.4450686833551653)	(84, 0.4511500595775897)	(86, 0.45667261807543347)	(88, 0.4622904295945125)	(90, 0.4679590427249172)	(92, 0.47351758569744984)	(94, 0.47982756917083896)	(96, 0.4853331937982409)	(98, 0.491283332524741)	(100, 0.4970429652087705)	(102, 0.5026565432602392)	(104, 0.5078806422915456)	(106, 0.5133841501851422)	(108, 0.5194274251990725)	(110, 0.524626123424716)	(112, 0.529947592211063)	(114, 0.5353431466805931)	(116, 0.5400444124620079)	(118, 0.5451626748030527)	(120, 0.5500777306987956)	(122, 0.5553187636005439)	(124, 0.5610487620113)	(126, 0.5664421997470249)	(128, 0.5712874034271953)	(130, 0.5765855881416847)	(132, 0.5817144341517557)	(134, 0.5865511708967052)	(136, 0.5911317828512218)	(138, 0.5954118186053958)
GW_M2_R1 - polya	(1, 0.0009415408412244835)	(2, 0.009930661077324375)	(3, 0.013466999512474601)	(4, 0.01717756007178841)	(5, 0.02050260784571897)	(6, 0.02362007181213547)	(7, 0.026685639826673452)	(8, 0.03310220359108125)	(9, 0.04013781192432562)	(10, 0.049186241819715246)	(12, 0.0591076357627756)	(14, 0.06971109078766785)	(16, 0.08001799751611147)	(18, 0.09098101735044772)	(20, 0.10098396207503146)	(22, 0.11007872764174119)	(24, 0.12001309557277118)	(26, 0.1292802298367917)	(28, 0.13744086826968815)	(30, 0.1453735351996897)	(32, 0.1534303817288291)	(34, 0.16104055238644277)	(36, 0.16949773911578786)	(38, 0.17756941305974971)	(40, 0.18470881329675115)	(42, 0.1948674458769704)	(44, 0.20266481264671726)	(46, 0.21041955059884965)	(48, 0.2184523025789026)	(50, 0.22511722554158614)	(52, 0.2319619309089917)	(54, 0.2383006507455817)	(56, 0.24490441062212273)	(58, 0.2519900614803928)	(60, 0.25846593490409037)	(62, 0.2653124936983487)	(64, 0.27228693894545053)	(66, 0.27884065629696586)	(68, 0.2852850214641657)	(70, 0.2916089138859333)	(72, 0.2972804000555138)	(74, 0.3030464109945874)	(76, 0.30939625139229426)	(78, 0.3153438981629426)	(80, 0.32199028685709813)	(82, 0.3275857825257137)	(84, 0.3333684743064625)	(86, 0.3391381920992417)	(88, 0.3446391629983642)	(90, 0.3503681054003817)	(92, 0.35651592227113293)	(94, 0.3629195120475711)	(96, 0.36898021785624047)	(98, 0.3754764789753189)	(100, 0.38152606422287144)	(102, 0.38820210774667185)	(104, 0.39407747087006084)	(106, 0.3998082666989311)	(108, 0.40593198902059585)	(110, 0.41192041118200595)	(112, 0.4180015046860562)	(114, 0.42368411141675355)	(116, 0.42914616035196723)	(118, 0.4347842848381973)	(120, 0.44019629124838533)	(122, 0.4462088079588818)	(124, 0.45210455877765165)	(126, 0.458259789355814)	(128, 0.46395722350133384)	(130, 0.4699345251016271)	(132, 0.4767514290662406)	(134, 0.4826286456164824)	(136, 0.48767738036352076)	(138, 0.49269275342720864)
GW_M2_R2 - polya	(1, 0.0011120561116824607)	(2, 0.010679445525857232)	(3, 0.015257409852283363)	(4, 0.020906654899630263)	(5, 0.027601232691958678)	(6, 0.03394736623595992)	(7, 0.04024160382808265)	(8, 0.051106392039220294)	(9, 0.06354288622153581)	(10, 0.0796269244501698)	(12, 0.09734753858982981)	(14, 0.11533689962314642)	(16, 0.132229031959603)	(18, 0.1489117270616927)	(20, 0.1645398222845369)	(22, 0.17772139406167967)	(24, 0.1912532635140024)	(26, 0.20361562062220578)	(28, 0.21466945837232942)	(30, 0.22478546213493422)	(32, 0.2348125014086044)	(34, 0.24403886028186322)	(36, 0.25436430127883486)	(38, 0.26443952965067796)	(40, 0.2734379170210419)	(42, 0.2852979954521353)	(44, 0.2949395219404223)	(46, 0.3044160934388096)	(48, 0.31393344032795867)	(50, 0.32195321832004203)	(52, 0.3297394645286721)	(54, 0.33691964015643516)	(56, 0.3438736977081561)	(58, 0.35162287537973014)	(60, 0.35855839866292305)	(62, 0.3656106878378427)	(64, 0.37273340723316883)	(66, 0.37982091151829167)	(68, 0.3868583732783889)	(70, 0.39380687054955144)	(72, 0.4004736469390878)	(74, 0.4070218040100447)	(76, 0.4138961642070951)	(78, 0.420444321278052)	(80, 0.4272908800723103)	(82, 0.4331921911716386)	(84, 0.4393066463590393)	(86, 0.44523761228801245)	(88, 0.45063108442967237)	(90, 0.455772490519351)	(92, 0.46167936189923764)	(94, 0.46793282410059867)	(96, 0.4736932747591138)	(98, 0.4799411766799164)	(100, 0.48571274789954844)	(102, 0.49186797847771085)	(104, 0.4973856302185087)	(106, 0.5032090973900192)	(108, 0.5092142003931044)	(110, 0.5149338756608579)	(112, 0.5204051917303356)	(114, 0.5258153447136708)	(116, 0.5312495922460924)	(118, 0.5368969838665865)	(120, 0.5424665315592627)	(122, 0.5480397861056447)	(124, 0.5539466574855314)	(126, 0.5599943893062311)	(128, 0.5651005802857065)	(130, 0.5708536172368104)	(132, 0.5768957887769517)	(134, 0.5824449487742472)	(136, 0.587065541918288)	(138, 0.5918455297716697)
GW_M3_R1 - polya	(1, 0.0008211841735886734)	(2, 0.009129635812250545)	(3, 0.01320954632175445)	(4, 0.01671351318009888)	(5, 0.01986076655127357)	(6, 0.023078619466783936)	(7, 0.026786953427152697)	(8, 0.033482762842568035)	(9, 0.04107778750689042)	(10, 0.05005693481674123)	(12, 0.058933898575579874)	(14, 0.06845740552991367)	(16, 0.07838964668829614)	(18, 0.08969486319573297)	(20, 0.10024392142567977)	(22, 0.10923978968024166)	(24, 0.11936710852692008)	(26, 0.12824593016850439)	(28, 0.1361382160721349)	(30, 0.14392831842475323)	(32, 0.15181688856289238)	(34, 0.15909049951221288)	(36, 0.167174147338648)	(38, 0.1747301564653112)	(40, 0.18179196878162465)	(42, 0.1901561569026568)	(44, 0.1974985095135673)	(46, 0.20561931499491592)	(48, 0.21407453937048615)	(50, 0.22100444201185665)	(52, 0.22753489986290681)	(54, 0.23412666784456432)	(56, 0.24081690361174263)	(58, 0.24707239481643284)	(60, 0.25350810064745355)	(62, 0.2600106902573186)	(64, 0.26648355374325283)	(66, 0.2727353291824517)	(68, 0.27933267081234625)	(70, 0.28554543071388583)	(72, 0.29196255771744983)	(74, 0.2980285448820811)	(76, 0.3043156200934478)	(78, 0.3098428212618331)	(80, 0.31572116226915115)	(82, 0.3213171050991264)	(84, 0.32660835515881087)	(86, 0.33192375769418914)	(88, 0.33747511133826824)	(90, 0.342753356218733)	(92, 0.3485369452060215)	(94, 0.35440785468235686)	(96, 0.35971768356949807)	(98, 0.36510554353195773)	(100, 0.37071449154115277)	(102, 0.37614508280676295)	(104, 0.38144190651468446)	(106, 0.38653064735509024)	(108, 0.39248887732047233)	(110, 0.3979770629511984)	(112, 0.4028818733997824)	(114, 0.4084146482164047)	(116, 0.4135275415325043)	(118, 0.41898414315655397)	(120, 0.4243441348778284)	(122, 0.4300942819756948)	(124, 0.43548957346913714)	(126, 0.44071579763272295)	(128, 0.44573951257703015)	(130, 0.45118125113911434)	(132, 0.4566620052388578)	(134, 0.46212418051114446)	(136, 0.4672073477033132)	(138, 0.4720304113110874)
GW_M3_R2 - polya	(1, 0.0011704661297757108)	(2, 0.010835172172780867)	(3, 0.015145460142748562)	(4, 0.02143253535411524)	(5, 0.029807870771621437)	(6, 0.03755152605559788)	(7, 0.045666757888709476)	(8, 0.05805883580236661)	(9, 0.0720301140498481)	(10, 0.09063680974779056)	(12, 0.11053473395397764)	(14, 0.13092128132227746)	(16, 0.15103286204421723)	(18, 0.17042172637808917)	(20, 0.18821095366793428)	(22, 0.20334340863146314)	(24, 0.21881771402019629)	(26, 0.23304723796932675)	(28, 0.2452832537323471)	(30, 0.25686901053438094)	(32, 0.26730288003409586)	(34, 0.27779805966441806)	(36, 0.28837312825280437)	(38, 0.2979207876828319)	(40, 0.3070950126809787)	(42, 0.3172483418860965)	(44, 0.3264151353532606)	(46, 0.3358587533495303)	(48, 0.3455829116403971)	(50, 0.3535866705087682)	(52, 0.3612820208413571)	(54, 0.36852404778400105)	(56, 0.3758422479192178)	(58, 0.3834298410525575)	(60, 0.39064771551950767)	(62, 0.3979919260131638)	(64, 0.4049589863094478)	(66, 0.41216571347992403)	(68, 0.41941145618805936)	(70, 0.4261815809133017)	(72, 0.4326377234545249)	(74, 0.43961778893002856)	(76, 0.44678735844559125)	(78, 0.4527771724176498)	(80, 0.4593466458063592)	(82, 0.46530116000624994)	(84, 0.4709305447256474)	(86, 0.47654135061758807)	(88, 0.4821298619165807)	(90, 0.4873635176111492)	(92, 0.49308765435057617)	(94, 0.4991759361081555)	(96, 0.5049892512193749)	(98, 0.5105015893257948)	(100, 0.5160102116667233)	(102, 0.521202993940887)	(104, 0.5268305207775388)	(106, 0.5322406753329465)	(108, 0.5379053598245118)	(110, 0.5429457957135301)	(112, 0.5480512574986469)	(114, 0.5534744172332745)	(116, 0.5582733283653549)	(118, 0.5635404259493455)	(120, 0.5685121201767738)	(122, 0.573546982417555)	(124, 0.5786115707822671)	(126, 0.5838229318838875)	(128, 0.5885010806374991)	(130, 0.5934263277962855)	(132, 0.5985596578225874)	(134, 0.6035480729947267)	(136, 0.6078286348407637)	(138, 0.6121612174036795)
GW_P1_R1 - polya	(1, 0.000997055810635667)	(2, 0.010676502731405283)	(3, 0.014762975999083583)	(4, 0.018860365936221396)	(5, 0.022699394696150697)	(6, 0.02632009006688971)	(7, 0.030115452148980953)	(8, 0.03716762061982739)	(9, 0.04531145603662528)	(10, 0.05551854198127143)	(12, 0.06595305853965747)	(14, 0.07683515854588362)	(16, 0.08800291140296707)	(18, 0.10109199808492506)	(20, 0.11347332069692455)	(22, 0.12394604559841889)	(24, 0.135099242896223)	(26, 0.14622150963055844)	(28, 0.15568444260704767)	(30, 0.16521833393502378)	(32, 0.17437196127682675)	(34, 0.1829597412516449)	(36, 0.19335241057710284)	(38, 0.20287356579070948)	(40, 0.21173972083674525)	(42, 0.22435029350739452)	(44, 0.2341279904532998)	(46, 0.2436946317896544)	(48, 0.2530065508386204)	(50, 0.26099755288298504)	(52, 0.26868470762739327)	(54, 0.27617172343171037)	(56, 0.2839225587479657)	(58, 0.29201726915219584)	(60, 0.2997189794558833)	(62, 0.3077027037206084)	(64, 0.3154499001470439)	(66, 0.3226730964394227)	(68, 0.3302365289299564)	(70, 0.3372359334984152)	(72, 0.34383506018669174)	(74, 0.3506980063869066)	(76, 0.3584743139319009)	(78, 0.364926065582474)	(80, 0.372032817400618)	(82, 0.378555527402678)	(84, 0.3850855151843776)	(86, 0.3915481835044103)	(88, 0.3979326156933164)	(90, 0.4040677839295636)	(92, 0.41079609120644445)	(94, 0.41766631518629893)	(96, 0.42405620570993485)	(98, 0.4306298601694726)	(100, 0.4367977784140983)	(102, 0.44292566887070584)	(104, 0.4495975733553792)	(106, 0.4559528944257266)	(108, 0.46320520183666414)	(110, 0.4692694117214245)	(112, 0.47512802433136403)	(114, 0.4817307899094604)	(116, 0.4877749859002117)	(118, 0.493728209645467)	(120, 0.5002745724313559)	(122, 0.5065771295993156)	(124, 0.5131671590630427)	(126, 0.5190530633466309)	(128, 0.5249680787487779)	(130, 0.5315417332083157)	(132, 0.5377351236816803)	(134, 0.5434663751479254)	(136, 0.5490720849153862)	(138, 0.5546450446744684)
GW_P1_R2 - polya	(1, 0.0011498891830688716)	(2, 0.011200502865461983)	(3, 0.01600383742764841)	(4, 0.022379172392004938)	(5, 0.0305484800375417)	(6, 0.038135565311904346)	(7, 0.04591915063653826)	(8, 0.05802209817732012)	(9, 0.07149326829036114)	(10, 0.09034635644694286)	(12, 0.11030930599857523)	(14, 0.13095454739142726)	(16, 0.15123953869211532)	(18, 0.17129709937906346)	(20, 0.19011379863744682)	(22, 0.2059247749046438)	(24, 0.2222615707508074)	(26, 0.2370645745379092)	(28, 0.25005541119473157)	(30, 0.2629752895000671)	(32, 0.27481077863909087)	(34, 0.28571107309441623)	(36, 0.2979704928974511)	(38, 0.3092928985718777)	(40, 0.31962734566021817)	(42, 0.3337880853941185)	(44, 0.3450795605050765)	(46, 0.3558743271556265)	(48, 0.36671821881874433)	(50, 0.37581908225815963)	(52, 0.38437047333477947)	(54, 0.3923505587096846)	(56, 0.40109299150184585)	(58, 0.4095315769940507)	(60, 0.4180574958419316)	(62, 0.4262832062796758)	(64, 0.4343014999976893)	(66, 0.44184855748403373)	(68, 0.4496084900248387)	(70, 0.4571537280662732)	(72, 0.4649937161831146)	(74, 0.472249662483872)	(76, 0.4801769839563895)	(78, 0.48675245786083715)	(80, 0.49388832079753986)	(82, 0.5003928363505006)	(84, 0.5071611714153996)	(86, 0.5137621175485863)	(88, 0.5204613137069083)	(90, 0.5264854958036504)	(92, 0.5327662196326912)	(94, 0.5394090129988058)	(96, 0.5459717507888839)	(98, 0.5521305718089602)	(100, 0.5583530734008835)	(102, 0.5649467417544303)	(104, 0.5714221461888325)	(106, 0.5778884533986849)	(108, 0.5846222190102954)	(110, 0.5906081927639293)	(112, 0.596686958207969)	(114, 0.6029986126004784)	(116, 0.6086916557236153)	(118, 0.6148140878454931)	(120, 0.6205799087650267)	(122, 0.6264221463707769)	(124, 0.632402661789681)	(126, 0.638226704946332)	(128, 0.6437996647054143)	(130, 0.6494854300489115)	(132, 0.6557952649965109)	(134, 0.6614755720052783)	(136, 0.6665281705201236)	(138, 0.6716844773948343)
GW_P2_R1 - polya	(1, 0.0011455964066296883)	(2, 0.011114722583471019)	(3, 0.015420865104845024)	(4, 0.019609198066672006)	(5, 0.023643159881506334)	(6, 0.027303381024674236)	(7, 0.03100422615389284)	(8, 0.03868215951747479)	(9, 0.04723757097975183)	(10, 0.057996833685279234)	(12, 0.06805127023282703)	(14, 0.07953160869075433)	(16, 0.09129225265243146)	(18, 0.1041070890521242)	(20, 0.1162739728743083)	(22, 0.1267894916635315)	(24, 0.13786359026095182)	(26, 0.14868582014485782)	(28, 0.15858385434611044)	(30, 0.16823814463105885)	(32, 0.17770962697877912)	(34, 0.18645190877688939)	(36, 0.19651040772304224)	(38, 0.20572799015794566)	(40, 0.21419199765160862)	(42, 0.2260135775923618)	(44, 0.23582223902430285)	(46, 0.24530590856783835)	(48, 0.2545844269818178)	(50, 0.26234970191540874)	(52, 0.2702145056148239)	(54, 0.27814024529331516)	(56, 0.28601926738784805)	(58, 0.2942090629756688)	(60, 0.3019093395315786)	(62, 0.3097111760526152)	(64, 0.3174094214092225)	(66, 0.3247806436781217)	(68, 0.3324992010277543)	(70, 0.3398399553071155)	(72, 0.34695930886250037)	(74, 0.35419240957882714)	(76, 0.36201455809288907)	(78, 0.3687134533926492)	(80, 0.37529047673425725)	(82, 0.3818634376772603)	(84, 0.38813171872488295)	(86, 0.39432281419900933)	(88, 0.4007373415964146)	(90, 0.40681062751099395)	(92, 0.4131906245202561)	(94, 0.4199382686032771)	(96, 0.42594046254226775)	(98, 0.43182484692171136)	(100, 0.43843233825285743)	(102, 0.44483264725514493)	(104, 0.45109483470486006)	(106, 0.45762920286111486)	(108, 0.4644499701190271)	(110, 0.47050497523988366)	(112, 0.47638935961932727)	(114, 0.48227171279946834)	(116, 0.48789407246888494)	(118, 0.494178603110928)	(120, 0.5000264259029259)	(122, 0.5062012717826321)	(124, 0.5125711127953816)	(126, 0.5187764266646258)	(128, 0.5245755006733628)	(130, 0.5307056601684133)	(132, 0.5371689363490793)	(134, 0.5432462846622638)	(136, 0.5486228692160737)	(138, 0.5540685145461697)
GW_P2_R2 - polya	(1, 0.001218719581520945)	(2, 0.011183783359757206)	(3, 0.015416802706239954)	(4, 0.020746669676091553)	(5, 0.02702307552092442)	(6, 0.033266982176916725)	(7, 0.039547450420354666)	(8, 0.04941095423346418)	(9, 0.061212222181191996)	(10, 0.07677527123721446)	(12, 0.0931223632240154)	(14, 0.1097456983159611)	(16, 0.12718151312892076)	(18, 0.14475951189305786)	(20, 0.16060896005073771)	(22, 0.17451048807728664)	(24, 0.18917777824089121)	(26, 0.20249635206761263)	(28, 0.21458198791769534)	(30, 0.22606232637562262)	(32, 0.23706127059884913)	(34, 0.24715429993314508)	(36, 0.2586610439820054)	(38, 0.269375620302877)	(40, 0.27936302727344114)	(42, 0.29308987215997206)	(44, 0.3045864602123196)	(46, 0.31536400371156986)	(48, 0.32600139445894516)	(50, 0.33428868761328756)	(52, 0.34267550953345427)	(54, 0.3512065466041009)	(56, 0.3594247789821571)	(58, 0.36755363859090184)	(60, 0.3756093750247552)	(62, 0.3836894858502391)	(64, 0.39176756547642044)	(66, 0.39977455312701304)	(68, 0.4073976441094266)	(70, 0.41467746240971165)	(72, 0.4218130655595168)	(74, 0.4289608559051371)	(76, 0.4367972228143168)	(78, 0.44379470441154956)	(80, 0.45110295950207013)	(82, 0.45772263802903146)	(84, 0.4644134085315814)	(86, 0.4709112151003906)	(88, 0.4773562104873339)	(90, 0.48361839793704897)	(92, 0.4900877677156227)	(94, 0.4967947878125929)	(96, 0.5032722823883768)	(98, 0.509599468215773)	(100, 0.5162049283476166)	(102, 0.5225564885666432)	(104, 0.5286886792609962)	(106, 0.5347193099902222)	(108, 0.5414953908634788)	(110, 0.5473736816450147)	(112, 0.5526832366218409)	(114, 0.5587829281273533)	(116, 0.5647830908670415)	(118, 0.5702957657741211)	(120, 0.5760643717933203)	(122, 0.5821945312883706)	(124, 0.5885684346997251)	(126, 0.5943634463098573)	(128, 0.5998883084127522)	(130, 0.605723944008935)	(132, 0.6117037947555978)	(134, 0.617411464795721)	(136, 0.6226478965976558)	(138, 0.6276121476930512)
