Sample	Uniquely mapped	Mapped to multiple loci	Mapped to too many loci	Unmapped: too short	Unmapped: other
GW_M1	20262562.0	1593781.0	6568.0	1626213.0	132174.0
GW_M2	23155766.0	1837419.0	13215.0	1854735.0	115921.0
GW_M3	23083830.0	1912512.0	20820.0	1752515.0	142678.0
GW_P1	23467493.0	1880755.0	11464.0	1945346.0	175851.0
GW_P2	20908332.0	1808544.0	34178.0	1717324.0	147621.0
GW_P3	20138469.0	1568186.0	2087.0	1539717.0	114486.0
STARpass1	21220842.0	1632166.0	4157.0	1739155.0	19679.0
YR_M1	19567460.0	1541035.0	11551.0	1613514.0	79764.0
YR_M2	20180519.0	1525532.0	4923.0	1621920.0	72553.0
YR_M3	20207572.0	1519709.0	9809.0	1638993.0	72688.0
YR_P1	18986525.0	1561149.0	25146.0	1812327.0	101184.0
YR_P2	19703522.0	1595748.0	8265.0	1683535.0	110850.0
YR_P3	18087713.0	1407544.0	19473.0	1646031.0	91328.0
