Sample	Overlapping Genes	No Feature	Ambiguous Features	Multimapping	Unmapped
GW_M1	10416353.0	9714704.0	131505.0	1593781.0	1764955.0
GW_M2	11895498.0	11097731.0	162537.0	1837419.0	1983871.0
GW_M3	11807491.0	11134251.0	142088.0	1912512.0	1916013.0
GW_P1	12053720.0	11260280.0	153493.0	1880755.0	2132661.0
GW_P2	10632516.0	10137519.0	138297.0	1808544.0	1899123.0
GW_P3	10319694.0	9687056.0	131719.0	1568186.0	1656290.0
YR_M1	9963678.0	9473806.0	129976.0	1541035.0	1704829.0
YR_M2	10300014.0	9747888.0	132617.0	1525532.0	1699396.0
YR_M3	10369293.0	9700643.0	137636.0	1519709.0	1721490.0
YR_P1	9646035.0	9209740.0	130750.0	1561149.0	1938657.0
YR_P2	10070491.0	9495612.0	137419.0	1595748.0	1802650.0
YR_P3	9286385.0	8670843.0	130485.0	1407544.0	1756832.0
