Sample	Unique Reads	Duplicate Reads
GW_M1_R1	9565366.0	14055932.0
GW_M1_R2	9774991.0	13846307.0
GW_M2_R1	9738546.0	17238510.0
GW_M2_R2	9986859.0	16990197.0
GW_M3_R1	10303446.0	16608909.0
GW_M3_R2	10532136.0	16380219.0
GW_P1_R1	10136324.0	17344585.0
GW_P1_R2	10429064.0	17051845.0
GW_P2_R1	9677640.0	14938359.0
GW_P2_R2	9989882.0	14626117.0
GW_P3_R1	9061846.0	14301099.0
GW_P3_R2	9427885.0	13935060.0
YR_M1_R1	9288992.0	13524332.0
YR_M1_R2	9610818.0	13202506.0
YR_M2_R1	9646277.0	13759170.0
YR_M2_R2	9975404.0	13430043.0
YR_M3_R1	9580964.0	13867807.0
YR_M3_R2	9855977.0	13592794.0
YR_P1_R1	9267907.0	13218424.0
YR_P1_R2	9457802.0	13028529.0
YR_P2_R1	9207074.0	13894846.0
YR_P2_R2	9449777.0	13652143.0
YR_P3_R1	8628111.0	12623978.0
YR_P3_R2	8800891.0	12451198.0
