Sample	Overlapping Genes	No Feature	Ambiguous Features	Multimapping	Unmapped
GW_M1	10547560.0	9582045.0	132957.0	1593781.0	1764955.0
GW_M2	12030889.0	10957140.0	167737.0	1837419.0	1983871.0
GW_M3	12020172.0	10916960.0	146698.0	1912512.0	1916013.0
GW_P1	12225019.0	11087032.0	155442.0	1880755.0	2132661.0
GW_P2	10821300.0	9944051.0	142981.0	1808544.0	1899123.0
GW_P3	10518905.0	9485451.0	134113.0	1568186.0	1656290.0
YR_M1	10169086.0	9265107.0	133267.0	1541035.0	1704829.0
YR_M2	10479651.0	9565008.0	135860.0	1525532.0	1699396.0
YR_M3	10510978.0	9557978.0	138616.0	1519709.0	1721490.0
YR_P1	9804471.0	9047134.0	134920.0	1561149.0	1938657.0
YR_P2	10204153.0	9360204.0	139165.0	1595748.0	1802650.0
YR_P3	9440229.0	8513830.0	133654.0	1407544.0	1756832.0
