Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
GW_M1_R1	(1.0, 23.99037474536296)	(2.0, 15.794495098857444)	(3.0, 10.596951905898914)	(4.0, 6.851076930118234)	(5.0, 4.691414782465878)	(6.0, 3.641323257857735)	(7.0, 2.6652229990297176)	(8.0, 2.070116750363822)	(9.0, 1.7082394269733217)	('>10', 15.583418917541142)	('>50', 3.5678592594976624)	('>100', 5.650418335612367)	('>500', 1.4140668523223143)	('>1k', 1.3900891559836097)	('>5k', 0.30885398892898214)	('>10k+', 0.07607759318570985)
GW_M1_R2	(1.0, 25.022870254474444)	(2.0, 15.762111775748874)	(3.0, 10.470734909274999)	(4.0, 6.728403626801619)	(5.0, 4.633943149195723)	(6.0, 3.566101044665207)	(7.0, 2.6101543004010925)	(8.0, 2.070057095161225)	(9.0, 1.698135258029266)	('>10', 15.208658681409007)	('>50', 3.575560112052388)	('>100', 5.542656864447318)	('>500', 1.3182771539551885)	('>1k', 1.3638390952042942)	('>5k', 0.35256797107720783)	('>10k+', 0.0759287081021225)
GW_M2_R1	(1.0, 21.065385471473526)	(2.0, 14.061767373222825)	(3.0, 9.484709382365281)	(4.0, 6.390241653738854)	(5.0, 4.357215745763008)	(6.0, 3.247365196858082)	(7.0, 2.475964446418018)	(8.0, 1.9017080422606154)	(9.0, 1.6280871730361035)	('>10', 16.984183066173415)	('>50', 5.217445980569528)	('>100', 8.774397443322172)	('>500', 2.13682818570365)	('>1k', 2.0840218592657895)	('>5k', 0.19067897982942442)	('>10k+', 0.0)
GW_M2_R2	(1.0, 22.06491797002352)	(2.0, 14.184339623404965)	(3.0, 9.370987553518596)	(4.0, 6.215657607040952)	(5.0, 4.301466072042196)	(6.0, 3.0643115731342507)	(7.0, 2.3952974923899877)	(8.0, 2.0076108470019594)	(9.0, 1.5797865779467135)	('>10', 16.738532420685882)	('>50', 5.101965155089263)	('>100', 8.544681063834938)	('>500', 2.1127053720123805)	('>1k', 2.0936353042637514)	('>5k', 0.2241053676104905)	('>10k+', 0.0)
GW_M3_R1	(1.0, 21.923315942510143)	(2.0, 15.326085039648465)	(3.0, 10.292385246220347)	(4.0, 6.967390507494435)	(5.0, 4.90816989948637)	(6.0, 3.614454542120863)	(7.0, 2.7618187458226755)	(8.0, 2.321833147089083)	(9.0, 1.8690678201749553)	('>10', 16.69655325695857)	('>50', 3.6926480007195375)	('>100', 5.628610546279051)	('>500', 1.5336936555342886)	('>1k', 1.871460539044186)	('>5k', 0.4259851594148169)	('>10k+', 0.16652795148235064)
GW_M3_R2	(1.0, 22.939897346073256)	(2.0, 15.137735734854079)	(3.0, 10.30354416854047)	(4.0, 6.755017570474754)	(5.0, 4.909613129337977)	(6.0, 3.645194606413081)	(7.0, 2.833873635229048)	(8.0, 2.255822373834799)	(9.0, 1.8041947684646409)	('>10', 16.310113111982083)	('>50', 3.6506668695962663)	('>100', 5.432061326259563)	('>500', 1.5099154233689844)	('>1k', 1.8938507191779939)	('>5k', 0.3993693737795623)	('>10k+', 0.21912984261326665)
GW_P1_R1	(1.0, 20.86668564040384)	(2.0, 14.51782313522649)	(3.0, 10.389588829068037)	(4.0, 6.9764929616490665)	(5.0, 4.790910808770673)	(6.0, 3.6888539947483103)	(7.0, 2.8715688300244975)	(8.0, 2.2204704587639292)	(9.0, 1.8355245002803469)	('>10', 17.327011127632343)	('>50', 4.0829403343390425)	('>100', 6.167391041726153)	('>500', 1.681203279481743)	('>1k', 1.94039227307385)	('>5k', 0.407363841561004)	('>10k+', 0.23577894325065527)
GW_P1_R2	(1.0, 22.12826162222965)	(2.0, 14.498035101649013)	(3.0, 10.04546851477322)	(4.0, 6.859404510499223)	(5.0, 4.842832393185414)	(6.0, 3.6539944422444015)	(7.0, 2.709749270626227)	(8.0, 2.2053670614369834)	(9.0, 1.741610059663742)	('>10', 17.075014566901853)	('>50', 3.9554980959091957)	('>100', 6.10056831412205)	('>500', 1.604670855949537)	('>1k', 1.9244945051053564)	('>5k', 0.3709273847911455)	('>10k+', 0.2841033009132358)
GW_P2_R1	(1.0, 22.639426347699725)	(2.0, 15.716001447814465)	(3.0, 10.547581098892493)	(4.0, 7.114917002325968)	(5.0, 4.931327450745593)	(6.0, 3.654826329388351)	(7.0, 2.7618893291378273)	(8.0, 2.1854594000946923)	(9.0, 1.8347655915919248)	('>10', 16.95358657571284)	('>50', 3.5915915977503037)	('>100', 5.017686936784759)	('>500', 1.2455785219662177)	('>1k', 1.358070532874943)	('>5k', 0.29175995340205874)	('>10k+', 0.155531883817629)
GW_P2_R2	(1.0, 24.20078061850385)	(2.0, 15.352557327362529)	(3.0, 10.31696487445763)	(4.0, 7.132666148158322)	(5.0, 4.920157357291928)	(6.0, 3.6224962135807024)	(7.0, 2.7739218865759057)	(8.0, 2.2304804903111335)	(9.0, 1.764252908408641)	('>10', 16.285402649839643)	('>50', 3.5828375315225944)	('>100', 4.85951588672397)	('>500', 1.1639838201244084)	('>1k', 1.3343932901340063)	('>5k', 0.30545416655969704)	('>10k+', 0.1541348304452688)
