.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
GW_M1_R1	1	1	0.5	1	0.25	1	1	0.5	0.25	1	1
GW_M1_R2	1	1	1	1	0.25	1	1	0.5	0.25	1	1
GW_M2_R1	1	1	0.5	1	0.25	1	1	0.5	0.25	1	1
GW_M2_R2	1	1	1	1	0.25	1	1	0.5	0.25	1	1
GW_M3_R1	1	1	0.5	1	0.25	1	1	0.5	0.25	1	1
GW_M3_R2	1	1	1	1	0.25	1	1	0.5	0.25	1	1
GW_P1_R1	1	1	0.5	1	0.25	1	1	0.5	0.25	1	1
GW_P1_R2	1	1	1	1	0.25	1	1	0.5	0.25	1	1
GW_P2_R1	1	1	0.5	1	0.25	1	1	0.5	0.25	1	1
GW_P2_R2	1	1	1	1	0.25	1	1	0.5	0.25	1	1
GW_P3_R1	1	1	0.5	1	0.25	1	1	0.5	0.25	1	1
GW_P3_R2	1	1	1	1	0.25	1	1	0.5	0.25	1	1
YR_M1_R1	1	1	0.5	1	0.25	1	1	0.5	0.25	1	1
YR_M1_R2	1	1	1	1	0.25	1	1	0.5	0.25	1	1
YR_M2_R1	1	1	0.5	1	0.25	1	1	0.5	0.25	1	1
YR_M2_R2	1	1	1	1	0.25	1	1	0.5	0.25	1	1
YR_M3_R1	1	1	0.5	1	0.25	1	1	0.5	0.25	1	1
YR_M3_R2	1	1	1	1	0.25	1	1	0.5	0.25	1	1
YR_P1_R1	1	1	0.5	1	0.25	1	1	0.5	0.25	1	1
YR_P1_R2	1	1	1	1	0.25	1	1	0.5	0.25	1	1
YR_P2_R1	1	1	0.5	1	0.25	1	1	0.5	0.25	1	1
YR_P2_R2	1	1	1	1	0.25	1	1	0.5	0.25	1	1
YR_P3_R1	1	1	0.5	1	0.25	1	1	0.5	0.25	1	1
YR_P3_R2	1	1	1	1	0.25	1	1	0.5	0.25	1	1
