Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
GW_M1_R1	(1, 36.50277770510325)	(2, 36.4657067532868)	(3, 36.57311270532212)	(4, 36.61084704151313)	(5, 36.60262776414742)	(6, 36.57294827744013)	(7, 36.54712649575819)	(8, 36.5851981546484)	(9, 36.589839220520396)	(10, 36.59336984783816)	(15, 36.566633908094296)	(20, 36.55645511097655)	(25, 36.50736617437365)	(30, 36.4522661153073)	(35, 36.414923272116134)	(40, 36.388190742920685)	(45, 36.35092213316126)	(50, 36.32013482437766)	(55, 36.316080339236166)	(60, 36.300224373588755)	(65, 36.291727984630825)	(70, 36.272474513823674)	(75, 36.205528109669174)	(80, 36.159931038142524)	(85, 36.09459108891031)	(90, 36.11408624491376)	(95, 36.11942342722723)	(100, 36.086710901681045)	(105, 36.012349213522405)	(110, 35.96855459275611)	(115, 35.93862598363908)	(120, 35.88359830179011)	(125, 35.84019348927471)	(130, 35.83936254579118)	(135, 35.71580589716202)	(140, 35.66074478507915)	(145, 35.580655083381004)	(150, 35.544918095927166)
GW_M1_R2	(1, 36.356706816026794)	(2, 36.43988907806845)	(3, 36.45680800436961)	(4, 36.46301164313663)	(5, 36.44475278200207)	(6, 36.41813180630463)	(7, 36.35526278022486)	(8, 36.45029244370906)	(9, 36.458532803743466)	(10, 36.461445869740096)	(15, 36.462657640575046)	(20, 36.43353300906665)	(25, 36.41964637167695)	(30, 36.38228216599565)	(35, 36.33350870125656)	(40, 36.31433777554164)	(45, 36.290593781041444)	(50, 36.25330336492253)	(55, 36.23883473313145)	(60, 36.20318305580689)	(65, 36.19171935093464)	(70, 36.12610401605271)	(75, 36.11758529125172)	(80, 36.11080386304421)	(85, 36.05276619062187)	(90, 36.05532601175675)	(95, 36.00736535812483)	(100, 35.98199942493179)	(105, 35.94917774415816)	(110, 35.844774440570255)	(115, 35.80315615086822)	(120, 35.72247261121589)	(125, 35.649642678768245)	(130, 35.63578194359028)	(135, 35.492463125690605)	(140, 35.4799354663641)	(145, 35.32543443466149)	(150, 35.35808371629299)
GW_M2_R1	(1, 36.541677008788504)	(2, 36.5130234744666)	(3, 36.59820945621346)	(4, 36.629487220547716)	(5, 36.62132228216452)	(6, 36.594143630794996)	(7, 36.565015989884145)	(8, 36.59586931946911)	(9, 36.60065998306116)	(10, 36.602446419653795)	(15, 36.57272325786773)	(20, 36.55902394983352)	(25, 36.50705080643344)	(30, 36.45044840655835)	(35, 36.41426434119303)	(40, 36.38966934837058)	(45, 36.35096319461373)	(50, 36.31925677599526)	(55, 36.31535821746793)	(60, 36.29793274656025)	(65, 36.29015880690912)	(70, 36.27267304870706)	(75, 36.20740669114881)	(80, 36.16190577030733)	(85, 36.098055241152885)	(90, 36.1184459047514)	(95, 36.12115323719813)	(100, 36.08679243859148)	(105, 36.012703404963794)	(110, 35.96922256928131)	(115, 35.93974538590993)	(120, 35.885552379173774)	(125, 35.84019267949277)	(130, 35.84038768915074)	(135, 35.71870343073356)	(140, 35.661668265525385)	(145, 35.58286770572924)	(150, 35.54211317568144)
GW_M2_R2	(1, 36.369092832071814)	(2, 36.45021591681464)	(3, 36.4828777461855)	(4, 36.47460493835947)	(5, 36.456401988415635)	(6, 36.43261636851701)	(7, 36.36949317227202)	(8, 36.454456335042636)	(9, 36.46277970435321)	(10, 36.46855167591305)	(15, 36.46781522787364)	(20, 36.43787827700695)	(25, 36.42178904918313)	(30, 36.38416270533609)	(35, 36.33681439332356)	(40, 36.31988569645504)	(45, 36.2924144943128)	(50, 36.25445072131608)	(55, 36.24071070757549)	(60, 36.20411319613087)	(65, 36.1947784640313)	(70, 36.12830248554083)	(75, 36.12212766948969)	(80, 36.113041582558004)	(85, 36.05564315585728)	(90, 36.05657242412656)	(95, 36.00726595681186)	(100, 35.98101463973614)	(105, 35.950164432499406)	(110, 35.842118612964384)	(115, 35.80445723834312)	(120, 35.72096892378675)	(125, 35.648046322265266)	(130, 35.63377801117621)	(135, 35.4890205459512)	(140, 35.475423210831025)	(145, 35.318367693125815)	(150, 35.34709031817451)
GW_M3_R1	(1, 36.54657186262592)	(2, 36.51166871126663)	(3, 36.60012239731528)	(4, 36.63371001906002)	(5, 36.62608363333495)	(6, 36.59693783765858)	(7, 36.567436740485924)	(8, 36.60303117285722)	(9, 36.60587083516103)	(10, 36.608161084379276)	(15, 36.58119329950872)	(20, 36.56831871458295)	(25, 36.51921619642725)	(30, 36.466213887557714)	(35, 36.42903307841874)	(40, 36.40281060460699)	(45, 36.3663442200694)	(50, 36.33537309507425)	(55, 36.328023319210935)	(60, 36.310838920448106)	(65, 36.302270212827544)	(70, 36.28300164471294)	(75, 36.21684040544032)	(80, 36.171962746768216)	(85, 36.106465174621505)	(90, 36.12466377081849)	(95, 36.13161639559953)	(100, 36.09879995083041)	(105, 36.02515531604098)	(110, 35.98104472484849)	(115, 35.9513451085594)	(120, 35.894350775275555)	(125, 35.850644104788515)	(130, 35.849454026024624)	(135, 35.725600646629346)	(140, 35.67363922749233)	(145, 35.59260943174513)	(150, 35.55533695272629)
GW_M3_R2	(1, 36.378850048611504)	(2, 36.45628897954118)	(3, 36.50026461823947)	(4, 36.48953200119425)	(5, 36.471371568931815)	(6, 36.44255803700568)	(7, 36.383109802170786)	(8, 36.47000067441144)	(9, 36.47804723889827)	(10, 36.483212346151056)	(15, 36.48459645393352)	(20, 36.457967034100136)	(25, 36.44304182967265)	(30, 36.40771821589527)	(35, 36.361870599255575)	(40, 36.344256512274065)	(45, 36.31819276120852)	(50, 36.28365179653472)	(55, 36.26760883414136)	(60, 36.23325545402618)	(65, 36.22170794253852)	(70, 36.15781482107972)	(75, 36.14898759301602)	(80, 36.14082803274453)	(85, 36.08442590123873)	(90, 36.085209092774974)	(95, 36.039394301118335)	(100, 36.01255273852985)	(105, 35.983279705158445)	(110, 35.878377145600275)	(115, 35.83810775927251)	(120, 35.75728622610459)	(125, 35.686625113351084)	(130, 35.6730064021924)	(135, 35.529716215703864)	(140, 35.51732387713741)	(145, 35.3651527321252)	(150, 35.394209291222445)
GW_P1_R1	(1, 36.53944398272998)	(2, 36.50592758776647)	(3, 36.59763725428442)	(4, 36.63094990780691)	(5, 36.62068096073532)	(6, 36.589319334378644)	(7, 36.56298679930857)	(8, 36.59778484765551)	(9, 36.602140962658844)	(10, 36.60441100401737)	(15, 36.577110451477424)	(20, 36.56510806829571)	(25, 36.515659587534024)	(30, 36.461185045655625)	(35, 36.422911878625726)	(40, 36.39647560575441)	(45, 36.35911717089239)	(50, 36.32847069515261)	(55, 36.322817029674056)	(60, 36.30639134856916)	(65, 36.29738177403142)	(70, 36.27803962205676)	(75, 36.21047723783768)	(80, 36.16521481022679)	(85, 36.09812424704617)	(90, 36.118159998361975)	(95, 36.12399095638873)	(100, 36.08915696445605)	(105, 36.01479552350375)	(110, 35.96935194294154)	(115, 35.94058830191793)	(120, 35.885237425864354)	(125, 35.841397142274396)	(130, 35.84093017119156)	(135, 35.71862271112794)	(140, 35.664217352433226)	(145, 35.58180097928321)	(150, 35.54694014880164)
GW_P1_R2	(1, 36.3970462912999)	(2, 36.45330247263655)	(3, 36.49049014353928)	(4, 36.47697312341451)	(5, 36.457289349489855)	(6, 36.422533439487026)	(7, 36.359520531144)	(8, 36.449188307417344)	(9, 36.460397034173795)	(10, 36.46925310221725)	(15, 36.46919234731282)	(20, 36.44118355036946)	(25, 36.42588354701077)	(30, 36.38838963121633)	(35, 36.340034819692455)	(40, 36.32358255150227)	(45, 36.295500451881374)	(50, 36.26060646322172)	(55, 36.242864595994995)	(60, 36.209347466722335)	(65, 36.19632147647967)	(70, 36.13062458447225)	(75, 36.12138598104356)	(80, 36.111870863858734)	(85, 36.05495246833443)	(90, 36.055497741028226)	(95, 36.01021702678664)	(100, 35.97983985780996)	(105, 35.951135117436614)	(110, 35.841117388480626)	(115, 35.80220056313344)	(120, 35.71901252479143)	(125, 35.648711959972914)	(130, 35.63384228018337)	(135, 35.4876566163927)	(140, 35.47525811334493)	(145, 35.31979209904228)	(150, 35.35205916495534)
GW_P2_R1	(1, 36.539642652731665)	(2, 36.51016588845328)	(3, 36.599298894999144)	(4, 36.631081070485905)	(5, 36.622803039600385)	(6, 36.59410991201292)	(7, 36.56614842241422)	(8, 36.60171390972189)	(9, 36.604854550083466)	(10, 36.60782949333075)	(15, 36.58108200280638)	(20, 36.56895500361371)	(25, 36.52041850505437)	(30, 36.46696129345657)	(35, 36.42819417680558)	(40, 36.40192532382078)	(45, 36.36508159061534)	(50, 36.3342296725714)	(55, 36.32696729610919)	(60, 36.31109298467901)	(65, 36.301711254890996)	(70, 36.281512275261434)	(75, 36.21629194645185)	(80, 36.17038198107801)	(85, 36.10550949778352)	(90, 36.123636868765516)	(95, 36.12942100148573)	(100, 36.0958454981194)	(105, 36.02238897709425)	(110, 35.977965857272686)	(115, 35.94840434243555)	(120, 35.892372387396556)	(125, 35.84923012702244)	(130, 35.84765497523071)	(135, 35.725722255497914)	(140, 35.672015555504444)	(145, 35.59043232844637)	(150, 35.55336021358684)
GW_P2_R2	(1, 36.327560014931755)	(2, 36.4049295744609)	(3, 36.4382472959964)	(4, 36.43674420851252)	(5, 36.41830221881306)	(6, 36.38794066411849)	(7, 36.326808146197926)	(8, 36.417466583419994)	(9, 36.42616580379289)	(10, 36.43310442935913)	(15, 36.43282773126535)	(20, 36.401786244791445)	(25, 36.38587251323825)	(30, 36.34681329141689)	(35, 36.295046180976684)	(40, 36.27545083630402)	(45, 36.24659374135142)	(50, 36.208319777949704)	(55, 36.1907208839447)	(60, 36.15248471261569)	(65, 36.140327445056194)	(70, 36.069269064003414)	(75, 36.06157868203884)	(80, 36.05320695855234)	(85, 35.99275206759755)	(90, 35.992795383583754)	(95, 35.94188969988354)	(100, 35.912534820117365)	(105, 35.88091305382804)	(110, 35.76859479602672)	(115, 35.72509356419345)	(120, 35.63817716376302)	(125, 35.56236559805544)	(130, 35.547447204965955)	(135, 35.394835672279875)	(140, 35.382106564805994)	(145, 35.21934715468326)	(150, 35.25178822692321)
