window_bp	replicate	matrix_id	fimo_p	fimo_q	fimo_odds_ratio	candidate_present	candidate_total	background_present	background_total	fimo_replicate_pass
1000	1	MA0021.1	1.0	1.0	1.0	0	206	0	206	False
1000	1	MA0053.1	1.0	1.0	1.0	0	206	0	206	False
1000	1	MA0064.1	1.0	1.0	1.0	0	206	0	206	False
1000	1	MA0096.1	0.6380641063357796	1.0	1.0	4	206	4	206	False
1000	1	MA0097.1	0.49999999999999994	1.0	1.0855813953488371	13	206	12	206	False
1000	1	MA0123.1	0.9474507768496968	1.0	0.4574938574938575	3	206	7	206	False
1000	1	MA0128.1	0.4325242954600332	1.0	1.1199913049779002	20	206	18	206	False
1000	1	MA0129.1	0.9324282184775541	1.0	0.5511221945137157	6	206	11	206	False
1000	1	MA0561.1	0.694997607854064	1.0	0.8928640745293395	18	206	20	206	False
1000	1	MA0562.1	0.11558519656127682	1.0	1.4909414322419132	30	206	21	206	False
1000	1	MA0567.1	0.49999999999999994	1.0	1.1596298438403703	7	206	6	206	False
1000	1	MA0580.1	0.3436045826189064	1.0	1.1532694710537277	35	206	31	206	False
1000	1	MA0590.1	0.3855297229013721	1.0	1.377306903622693	7	206	5	206	False
1000	1	MA0932.1	0.5817070628226817	1.0	0.9790607692891283	133	206	134	206	False
1000	1	MA0933.1	0.6787789090840292	1.0	0.9229026350910953	156	206	159	206	False
1000	1	MA0934.1	0.7242504129287395	1.0	0.9065863399444933	113	206	118	206	False
1000	1	MA0935.1	0.5674757045399669	1.0	1.0	19	206	19	206	False
1000	1	MA0936.1	0.8704419255148027	1.0	0.637425193402423	5	206	8	206	False
1000	1	MA0937.1	0.797152780718665	1.0	0.8047745358090186	18	206	22	206	False
1000	1	MA0939.1	0.24630894072060616	1.0	1.5008316951459246	12	206	8	206	False
1000	1	MA0946.1	0.16173308028957648	1.0	1.4536986301369863	24	206	17	206	False
1000	1	MA0947.1	0.19027125450285973	1.0	1.9269521410579344	8	206	4	206	False
1000	1	MA0950.1	0.9449476439017849	1.0	0.7288864981172674	57	206	71	206	False
1000	1	MA0951.1	0.8405385784718616	1.0	0.8369187000765949	114	206	123	206	False
1000	1	MA0952.1	0.08037242235703848	1.0	1.349908437808142	92	206	77	206	False
1000	1	MA0957.1	0.49999999999999994	1.0	1.1008403361344539	11	206	10	206	False
1000	1	MA0958.1	0.7868167412188292	1.0	0.7940127705448213	12	206	15	206	False
1000	1	MA0959.1	0.5	1.0	1.1108879067898754	10	206	9	206	False
1000	1	MA0960.1	0.8044004363267506	1.0	0.7659033078880407	10	206	13	206	False
1000	1	MA0963.1	0.969507552097276	1.0	0.3284671532846715	1	206	4	206	False
1000	1	MA0967.1	0.8044004363267506	1.0	0.7659033078880407	10	206	13	206	False
1000	1	MA0975.1	0.8311483007051229	1.0	0.6854700854700855	4	206	6	206	False
1000	1	MA0977.1	0.5400750997027218	1.0	1.0	82	206	82	206	False
