window_bp	replicate	matrix_id	motif_name	ame_p	ame_q	ame_odds_ratio	candidate_hits	candidate_total	background_hits	background_total	ame_replicate_pass
1000	1	MA1291.1	TCP7	3.66e-3	0.291	3.390595999175088	20	206	6	206	False
1000	1	MA2477.1	NGA4	9.06e-4	0.306	4.246263170791472	21	206	5	206	False
1000	1	MA2387.1	NAC094	6.27e-3	0.314	2.847919655667145	22	206	8	206	False
1000	1	MA0950.1	ATHB-12	9.85e-4	0.334	4.68	202	206	187	206	False
1000	1	MA1057.2	SPL12	1.15e-3	0.373	1.8982677165354331	143	206	112	206	False
1000	1	MA1063.2	TCP19	1.78e-3	0.503	2.350433686707688	42	206	20	206	False
1000	1	MA1799.2	SPL10	1.90e-3	0.532	1.8587061474090762	148	206	119	206	False
1000	1	MA2355.1	PK06791.1	1.96e-3	0.551	1.8103611392033405	131	206	101	206	False
1000	1	MA1016.2	GATA15	1.98e-3	0.557	1.8931694725892823	78	206	50	206	False
1000	1	MA2085.1	PK23763.1	2.05e-3	0.571	3.0521941974048694	197	206	180	206	False
1000	1	MA1184.2	RVE1	3.16e-3	0.683	1.9696969696969697	58	206	34	206	False
1000	1	MA2052.2	ZAT6	2.91e-3	0.699	1.936693968052853	168	206	143	206	False
1000	1	MA0949.2	ARR2	3.05e-3	0.703	3.2439024390243905	22	206	7	206	False
1000	1	MA2349.1	OsCCA1	2.96e-3	0.705	2.3280936723073222	38	206	18	206	False
1000	1	MA2661.1	GLYMA-03G081700	3.56e-3	0.72	1.826823366747321	75	206	49	206	False
1000	1	MA1024.2	HAT1	3.36e-3	0.74	2.2675086107921927	187	206	167	206	False
1000	1	MA1321.2	SPL13A	5.50e-3	0.755	1.7114107266779022	141	206	115	206	False
1000	1	MA2079.1	PK19717.1	5.56e-3	0.815	2.2414827155351937	35	206	17	206	False
1000	1	MA2358.1	PK22320.1	4.21e-3	0.817	1.7404855751714088	140	206	113	206	False
1000	1	MA1159.2	SGR5	4.95e-3	0.827	1.738246287850211	146	206	120	206	False
1000	1	MA1187.2	RVE4	5.56e-3	0.828	2.2414827155351937	35	206	17	206	False
1000	1	MA0573.2	ATHB-9	1.30e-1	0.835	2.1645569620253164	9	206	4	206	False
1000	1	MA1283.2	TCP14	1.69e-1	0.843	2.1858216970998927	7	206	3	206	False
1000	1	MA1285.2	TCP9	2.89e-2	0.852	1.7313195548489666	40	206	25	206	False
1000	1	MA0945.2	ARR1	4.81e-3	0.862	1.7890222984562607	74	206	49	206	False
1000	1	MA1810.2	GLYMA-08G357600	5.51e-3	0.865	4.3795918367346935	14	206	3	206	False
1000	1	MA0982.2	DOF2.4	5.05e-3	0.875	2.7909156452775776	197	206	182	206	False
1000	1	MA2746.1	HB-HD-ZIP-2A-2	5.32e-3	0.882	1.9188398486759142	174	206	152	206	False
1000	1	MA1056.2	SPL11	1.41e-2	0.915	1.5789329685362516	99	206	76	206	False
1000	1	MA1363.1	LRL2	3.06e-2	0.917	1.6429507401116235	48	206	32	206	False
1000	1	MA2762.1	myb53	9.45e-3	0.955	4.056478405315614	13	206	3	206	False
1000	1	MA1059.3	SPL5	1.37e-1	0.96	1.7590527119938886	14	206	8	206	False
1000	1	MA0082.2	squamosa	8.84e-3	0.973	1.7061964623428636	156	206	133	206	False
1000	1	MA1017.2	GATA8	9.07e-3	0.976	1.7966280295047419	57	206	36	206	False
1000	1	MA2739.1	SlTCP12	2.24e-2	0.979	2.4287058823529413	19	206	8	206	False
1000	1	MA1183.2	RVE6	1.19e-2	0.979	1.9713615347457043	38	206	21	206	False
1000	1	MA1190.2	RVE5	1.12e-2	0.98	1.6037735849056605	127	206	103	206	False
1000	1	MA1288.2	TCP22	3.80e-2	0.982	1.9926975476839237	23	206	12	206	False
1000	1	MA1014.1	GATA11	2.88e-2	0.982	2.7596221959858322	14	206	5	206	False
1000	1	MA1203.1	AGL63	1.88e-2	0.983	1.6583804143126177	59	206	40	206	False
1000	1	MA1814.2	RIN	1.00e-2	0.984	6.589873417721519	9	206	1	206	False
1000	1	MA0955.2	POPTR_0002s00440g	1.01e-2	0.984	1.6297974835990239	93	206	69	206	False
1000	1	MA1382.2	FAR1	8.32e-2	0.985	1.5980498374864571	29	206	19	206	False
1000	1	MA1834.2	Zm00001d034298	1.06e-2	0.985	1.6172770478054235	133	206	109	206	False
1000	1	MA2454.1	SPL8D1	1.02e-2	0.985	4.811764705882353	11	206	2	206	False
1000	1	MA1263.2	ERF055	2.66e-2	0.988	3.4201680672268906	11	206	3	206	False
1000	1	MA1809.2	GLYMA-07G038400	1.15e-2	0.991	3.173228346456693	201	206	190	206	False
1000	1	MA2081.1	PK20317.1	1.15e-2	0.991	3.173228346456693	201	206	190	206	False
1000	1	MA1026.3	ATHB-15	1.46e-2	0.991	1.569923686966931	125	206	102	206	False
1000	1	MA1284.2	TCP1	5.30e-2	0.992	1.897560975609756	22	206	12	206	False
