matrix_id	motif_name	tf_class	tf_family	litchi_tf_gene_id	litchi_tf_max_group_median_normalized_count	tf_expression_status	ame_pass_count_1000bp	ame_pass_count_2000bp	fimo_pass_count_1000bp	fimo_pass_count_2000bp	both_windows_ame_pass	discovery_motif_status	external_transport_status
MA0951.1	ATHB-16	Homeo domain factors	HD-ZIP		nan	NOT_TESTABLE_NO_COMPLETE_ONE_TO_ONE_RBH	0	0	0	0	False	NOT_ROBUST	PENDING
MA0952.1	ATHB-51	Homeo domain factors	HD-ZIP	LITCHI018752	48.8318973545147	EXPRESSED	0	0	0	0	False	NOT_ROBUST	PENDING
MA0957.1	BHLH3	Basic helix-loop-helix factors (bHLH)	bHLH	LITCHI026097	1424.12588798151	EXPRESSED	0	0	0	0	False	NOT_ROBUST	PENDING
MA0958.1	BHLH13	Basic helix-loop-helix factors (bHLH)	bHLH	LITCHI026870	2609.57659462527	EXPRESSED	0	0	0	0	False	NOT_ROBUST	PENDING
MA0959.1	AIB	Basic helix-loop-helix factors (bHLH)	bHLH		nan	NOT_TESTABLE_NO_COMPLETE_ONE_TO_ONE_RBH	1	0	0	0	False	NOT_ROBUST	PENDING
MA0960.1	BHLH104	Basic helix-loop-helix factors (bHLH)	bHLH		nan	NOT_TESTABLE_NO_COMPLETE_ONE_TO_ONE_RBH	0	0	0	0	False	NOT_ROBUST	PENDING
MA0963.1	bHLH78	Basic helix-loop-helix factors (bHLH)	bHLH	LITCHI026971	1275.83817334082	EXPRESSED	0	0	0	0	False	NOT_ROBUST	PENDING
MA0967.1	BZIP60	Basic leucine zipper factors (bZIP)	Group K		nan	NOT_TESTABLE_NO_COMPLETE_ONE_TO_ONE_RBH	0	0	0	0	False	NOT_ROBUST	PENDING
MA0975.1	CRF2	AP2/EREBP	ERF/DREB	LITCHI021987	57.6468536154521	EXPRESSED	0	0	0	0	False	NOT_ROBUST	PENDING
MA0977.1	DOF2.5	Other C4 zinc finger-type factors	DOF		nan	NOT_TESTABLE_NO_COMPLETE_ONE_TO_ONE_RBH	0	0	0	0	False	NOT_ROBUST	PENDING
MA0978.1	DREB1E	AP2/EREBP	ERF/DREB		nan	NOT_TESTABLE_NO_COMPLETE_ONE_TO_ONE_RBH	0	0	0	0	False	NOT_ROBUST	PENDING
MA0986.1	DREB2C	AP2/EREBP	ERF/DREB		nan	NOT_TESTABLE_NO_COMPLETE_ONE_TO_ONE_RBH	0	0	0	0	False	NOT_ROBUST	PENDING
MA1007.1	PHYPADRAFT_173530	AP2/EREBP	ERF/DREB		nan	NOT_TESTABLE_NO_COMPLETE_ONE_TO_ONE_RBH	0	0	0	0	False	NOT_ROBUST	PENDING
MA1009.1	ARF3	B3	ARF		nan	NOT_TESTABLE_NO_COMPLETE_ONE_TO_ONE_RBH	0	0	0	0	False	NOT_ROBUST	PENDING
MA1013.1	GATA10	Other C4 zinc finger-type factors	C4-GATA-related		nan	NOT_TESTABLE_NO_COMPLETE_ONE_TO_ONE_RBH	0	0	0	0	False	NOT_ROBUST	PENDING
MA1014.1	GATA11	Other C4 zinc finger-type factors	C4-GATA-related	LITCHI024717	451.46826348035	EXPRESSED	0	0	0	0	False	NOT_ROBUST	PENDING
MA1020.1	GT-1	Tryptophan cluster factors	Trihelix	LITCHI004750	1421.88006281703	EXPRESSED	0	0	0	0	False	NOT_ROBUST	PENDING
MA1023.1	PHYPADRAFT_28324	AP2/EREBP	ERF/DREB		nan	NOT_TESTABLE_NO_COMPLETE_ONE_TO_ONE_RBH	0	0	0	0	False	NOT_ROBUST	PENDING
MA1028.1	KAN4	Tryptophan cluster factors	GARP_G2-like	LITCHI011114	725.352499236821	EXPRESSED	0	0	0	0	False	NOT_ROBUST	PENDING
MA1033.1	OJ1058_F05.8	Basic leucine zipper factors (bZIP)	Group A		nan	NOT_TESTABLE_NO_COMPLETE_ONE_TO_ONE_RBH	0	0	0	0	False	NOT_ROBUST	PENDING
MA1034.1	Os05g0497200	AP2/EREBP	ERF/DREB		nan	NOT_TESTABLE_NO_COMPLETE_ONE_TO_ONE_RBH	0	0	0	0	False	NOT_ROBUST	PENDING
MA1035.1	TCP4	TCP		LITCHI012999	4002.10124349924	EXPRESSED	0	0	0	0	False	NOT_ROBUST	PENDING
MA1046.1	NTL9	GCM domain factors	NAC	LITCHI021766	1373.19943299163	EXPRESSED	0	0	0	0	False	NOT_ROBUST	PENDING
MA1050.1	OsI_08196	TCP			nan	NOT_TESTABLE_NO_COMPLETE_ONE_TO_ONE_RBH	1	0	0	0	False	NOT_ROBUST	PENDING
MA1051.1	RAP2-3	AP2/EREBP	ERF/DREB	LITCHI014444	431.845727961369	EXPRESSED	0	0	0	0	False	NOT_ROBUST	PENDING
MA1053.1	ERF109	AP2/EREBP	ERF/DREB	LITCHI001614	289.041239588341	EXPRESSED	0	0	0	0	False	NOT_ROBUST	PENDING
MA1066.1	TCP23	TCP		LITCHI011648	435.329715162551	EXPRESSED	2	0	0	0	False	NOT_ROBUST	PENDING
MA1067.1	TCP5	TCP		LITCHI023346	373.650738475446	EXPRESSED	0	0	0	0	False	NOT_ROBUST	PENDING
MA1075.1	WRKY12	GCM domain factors	WRKY	LITCHI025345	255.573306583375	EXPRESSED	0	0	0	0	False	NOT_ROBUST	PENDING
MA1080.1	WRKY23	GCM domain factors	WRKY	LITCHI026589	nan	NOT_TESTABLE_NO_COMPLETE_ONE_TO_ONE_RBH	0	0	0	0	False	NOT_ROBUST	PENDING
MA1084.1	WRKY38	GCM domain factors	WRKY		nan	NOT_TESTABLE_NO_COMPLETE_ONE_TO_ONE_RBH	0	0	0	0	False	NOT_ROBUST	PENDING
MA1091.1	WRKY62	GCM domain factors	WRKY		nan	NOT_TESTABLE_NO_COMPLETE_ONE_TO_ONE_RBH	0	0	0	0	False	NOT_ROBUST	PENDING
MA1095.1	ARALYDRAFT_495258	TCP			nan	NOT_TESTABLE_NO_COMPLETE_ONE_TO_ONE_RBH	0	0	0	0	False	NOT_ROBUST	PENDING
MA1096.1	ARALYDRAFT_496250	TCP			nan	NOT_TESTABLE_NO_COMPLETE_ONE_TO_ONE_RBH	0	0	0	0	False	NOT_ROBUST	PENDING
MA1097.1	ARALYDRAFT_493022	TCP			nan	NOT_TESTABLE_NO_COMPLETE_ONE_TO_ONE_RBH	0	0	0	0	False	NOT_ROBUST	PENDING
MA1098.1	ARALYDRAFT_484486	TCP			nan	NOT_TESTABLE_NO_COMPLETE_ONE_TO_ONE_RBH	0	0	0	0	False	NOT_ROBUST	PENDING
MA1161.1	TSO1	CPP			nan	NOT_TESTABLE_NO_COMPLETE_ONE_TO_ONE_RBH	0	0	0	0	False	NOT_ROBUST	PENDING
MA1162.1	TCX2	CPP		LITCHI014860	2299.98236539764	EXPRESSED	0	0	0	0	False	NOT_ROBUST	PENDING
MA1221.1	RAP2-6	AP2/EREBP	ERF/DREB		nan	NOT_TESTABLE_NO_COMPLETE_ONE_TO_ONE_RBH	0	0	0	0	False	NOT_ROBUST	PENDING
MA1222.1	ERF014	AP2/EREBP	ERF/DREB	LITCHI011225	nan	NOT_TESTABLE_NO_COMPLETE_ONE_TO_ONE_RBH	0	0	0	0	False	NOT_ROBUST	PENDING
MA1225.1	ERF5	AP2/EREBP	ERF/DREB	LITCHI022746	nan	NOT_TESTABLE_NO_COMPLETE_ONE_TO_ONE_RBH	0	0	0	0	False	NOT_ROBUST	PENDING
MA1235.1	AIL7	AP2/EREBP	AP2		nan	NOT_TESTABLE_NO_COMPLETE_ONE_TO_ONE_RBH	0	0	0	0	False	NOT_ROBUST	PENDING
MA1242.1	DREB2F	AP2/EREBP	ERF/DREB	LITCHI008924	nan	NOT_TESTABLE_NO_COMPLETE_ONE_TO_ONE_RBH	0	0	0	0	False	NOT_ROBUST	PENDING
MA1274.1	DOF3.6	Other C4 zinc finger-type factors	DOF	LITCHI027743	238.298063678455	EXPRESSED	0	0	0	0	False	NOT_ROBUST	PENDING
MA1290.1	TCP17	TCP			nan	NOT_TESTABLE_NO_COMPLETE_ONE_TO_ONE_RBH	0	0	0	0	False	NOT_ROBUST	PENDING
MA1291.1	TCP7	TCP		LITCHI005896	2668.17487145068	EXPRESSED	0	0	0	0	False	NOT_ROBUST	PENDING
MA1309.1	WRKY3	GCM domain factors	WRKY	LITCHI005243	nan	NOT_TESTABLE_NO_COMPLETE_ONE_TO_ONE_RBH	0	0	0	0	False	NOT_ROBUST	PENDING
MA1324.1	GATA20	Other C4 zinc finger-type factors	C4-GATA-related		nan	NOT_TESTABLE_NO_COMPLETE_ONE_TO_ONE_RBH	0	0	0	0	False	NOT_ROBUST	PENDING
MA1328.1	ZHD9	Homeo domain factors	PLINC		nan	NOT_TESTABLE_NO_COMPLETE_ONE_TO_ONE_RBH	0	0	0	0	False	NOT_ROBUST	PENDING
MA1335.1	TGA4	Basic leucine zipper factors (bZIP)	Group D		nan	NOT_TESTABLE_NO_COMPLETE_ONE_TO_ONE_RBH	0	0	0	0	False	NOT_ROBUST	PENDING
MA1339.1	BZIP43	Basic leucine zipper factors (bZIP)	Group S		nan	NOT_TESTABLE_NO_COMPLETE_ONE_TO_ONE_RBH	0	0	0	0	False	NOT_ROBUST	PENDING
MA1348.1	TGA9	Basic leucine zipper factors (bZIP)	Group D		nan	NOT_TESTABLE_NO_COMPLETE_ONE_TO_ONE_RBH	0	0	0	0	False	NOT_ROBUST	PENDING
MA1350.1	BZIP42	Basic leucine zipper factors (bZIP)	Group S		nan	NOT_TESTABLE_NO_COMPLETE_ONE_TO_ONE_RBH	0	0	0	0	False	NOT_ROBUST	PENDING
MA1363.1	LRL2	Basic helix-loop-helix factors (bHLH)	bHLH		nan	NOT_TESTABLE_NO_COMPLETE_ONE_TO_ONE_RBH	1	0	0	0	False	NOT_ROBUST	PENDING
MA1373.1	GAF1	C2H2 zinc finger factors	IDD		nan	NOT_TESTABLE_NO_COMPLETE_ONE_TO_ONE_RBH	0	0	0	0	False	NOT_ROBUST	PENDING
MA1379.1	SOL1	CPP		LITCHI011523	457.596791943884	EXPRESSED	0	0	0	0	False	NOT_ROBUST	PENDING
MA1380.1	TCX6	CPP			nan	NOT_TESTABLE_NO_COMPLETE_ONE_TO_ONE_RBH	0	0	0	0	False	NOT_ROBUST	PENDING
MA1384.1	PHL7	Tryptophan cluster factors	GARP_G2-like	LITCHI029818	916.396230175237	EXPRESSED	0	0	0	0	False	NOT_ROBUST	PENDING
MA1402.1	BPC6	BBR/BPC		LITCHI010170	1317.41954465002	EXPRESSED	1	0	0	0	False	NOT_ROBUST	PENDING
MA1403.1	BPC5	BBR/BPC		LITCHI001940	1831.1961507943	EXPRESSED	3	0	0	0	False	NOT_ROBUST	PENDING
MA1404.1	BPC1	BBR/BPC		LITCHI005963	1760.61611201881	EXPRESSED	0	0	0	0	False	NOT_ROBUST	PENDING
MA1416.1	RAMOSA1	C2H2 zinc finger factors	C2H2		nan	NOT_TESTABLE_NO_COMPLETE_ONE_TO_ONE_RBH	0	0	0	0	False	NOT_ROBUST	PENDING
MA2055.1	PK00315.1	Basic leucine zipper factors (bZIP)	Group I		nan	NOT_TESTABLE_NO_COMPLETE_ONE_TO_ONE_RBH	0	0	0	0	False	NOT_ROBUST	PENDING
MA2056.1	PK01144.1	Other C4 zinc finger-type factors	DOF		nan	NOT_TESTABLE_NO_COMPLETE_ONE_TO_ONE_RBH	0	0	0	0	False	NOT_ROBUST	PENDING
MA2057.1	PK01630.1	Basic helix-loop-helix factors (bHLH)	bHLH		nan	NOT_TESTABLE_NO_COMPLETE_ONE_TO_ONE_RBH	0	0	0	0	False	NOT_ROBUST	PENDING
MA2058.1	PK03929.1	Other C4 zinc finger-type factors	DOF		nan	NOT_TESTABLE_NO_COMPLETE_ONE_TO_ONE_RBH	0	0	0	0	False	NOT_ROBUST	PENDING
MA2059.1	PK05432.1	GCM domain factors	WRKY		nan	NOT_TESTABLE_NO_COMPLETE_ONE_TO_ONE_RBH	0	0	0	0	False	NOT_ROBUST	PENDING
MA2060.1	PK05451.1	Basic helix-loop-helix factors (bHLH)	bHLH		nan	NOT_TESTABLE_NO_COMPLETE_ONE_TO_ONE_RBH	0	0	0	0	False	NOT_ROBUST	PENDING
MA2061.1	PK06517.1	Basic helix-loop-helix factors (bHLH)	bHLH		nan	NOT_TESTABLE_NO_COMPLETE_ONE_TO_ONE_RBH	0	0	0	0	False	NOT_ROBUST	PENDING
MA2062.1	PK07031.1	Other C4 zinc finger-type factors	DOF		nan	NOT_TESTABLE_NO_COMPLETE_ONE_TO_ONE_RBH	0	0	0	0	False	NOT_ROBUST	PENDING
MA2063.1	PK07402.1	AP2/EREBP			nan	NOT_TESTABLE_NO_COMPLETE_ONE_TO_ONE_RBH	0	0	0	0	False	NOT_ROBUST	PENDING
