Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
RNA-Seq_FZX_Fr_C1_R1	(21.0, 1.0)	(22.0, 5.0)	(23.0, 158.0)	(24.0, 3527.0)	(25.0, 18943.0)	(26.0, 37444.0)	(27.0, 60217.0)	(28.0, 92586.0)	(29.0, 135916.0)	(30.0, 189614.0)	(31.0, 260276.0)	(32.0, 360020.0)	(33.0, 521866.0)	(34.0, 867662.0)	(35.0, 2035896.0)	(36.0, 25713649.0)	(37.0, 6978249.0)	
RNA-Seq_FZX_Fr_C1_R2	(20.0, 2.0)	(21.0, 7.0)	(22.0, 69.0)	(23.0, 3478.0)	(24.0, 43699.0)	(25.0, 103015.0)	(26.0, 124465.0)	(27.0, 147710.0)	(28.0, 178539.0)	(29.0, 226277.0)	(30.0, 293877.0)	(31.0, 398821.0)	(32.0, 576015.0)	(33.0, 914792.0)	(34.0, 1735472.0)	(35.0, 4817470.0)	(36.0, 25155398.0)	(37.0, 2556923.0)
RNA-Seq_FZX_Fr_C2_R1	(22.0, 2.0)	(23.0, 162.0)	(24.0, 4017.0)	(25.0, 21799.0)	(26.0, 43287.0)	(27.0, 69935.0)	(28.0, 106326.0)	(29.0, 156378.0)	(30.0, 218027.0)	(31.0, 299846.0)	(32.0, 416132.0)	(33.0, 603928.0)	(34.0, 1011092.0)	(35.0, 2382936.0)	(36.0, 29770696.0)	(37.0, 7546184.0)		
RNA-Seq_FZX_Fr_C2_R2	(20.0, 2.0)	(21.0, 9.0)	(22.0, 95.0)	(23.0, 4345.0)	(24.0, 54551.0)	(25.0, 125897.0)	(26.0, 150922.0)	(27.0, 175796.0)	(28.0, 214817.0)	(29.0, 268531.0)	(30.0, 348360.0)	(31.0, 472164.0)	(32.0, 679021.0)	(33.0, 1074712.0)	(34.0, 2026419.0)	(35.0, 5564732.0)	(36.0, 28657144.0)	(37.0, 2833230.0)
RNA-Seq_FZX_Fr_C3_R1	(22.0, 4.0)	(23.0, 118.0)	(24.0, 3187.0)	(25.0, 17297.0)	(26.0, 34438.0)	(27.0, 54079.0)	(28.0, 82816.0)	(29.0, 120613.0)	(30.0, 168155.0)	(31.0, 230642.0)	(32.0, 318416.0)	(33.0, 459640.0)	(34.0, 762813.0)	(35.0, 1782370.0)	(36.0, 23924364.0)	(37.0, 6845050.0)		
RNA-Seq_FZX_Fr_C3_R2	(21.0, 3.0)	(22.0, 57.0)	(23.0, 2868.0)	(24.0, 39869.0)	(25.0, 98622.0)	(26.0, 119644.0)	(27.0, 142182.0)	(28.0, 173480.0)	(29.0, 220163.0)	(30.0, 287041.0)	(31.0, 392372.0)	(32.0, 575489.0)	(33.0, 937935.0)	(34.0, 1853698.0)	(35.0, 5319852.0)	(36.0, 22825279.0)	(37.0, 1815448.0)	
RNA-Seq_FZX_Fr_M1_R1	(21.0, 1.0)	(22.0, 10.0)	(23.0, 240.0)	(24.0, 4103.0)	(25.0, 18639.0)	(26.0, 42710.0)	(27.0, 80767.0)	(28.0, 134301.0)	(29.0, 203084.0)	(30.0, 287217.0)	(31.0, 401472.0)	(32.0, 576489.0)	(33.0, 920307.0)	(34.0, 1758489.0)	(35.0, 6622476.0)	(36.0, 26580199.0)	(37.0, 447324.0)	
RNA-Seq_FZX_Fr_M1_R2	(21.0, 14.0)	(22.0, 114.0)	(23.0, 4954.0)	(24.0, 50888.0)	(25.0, 104871.0)	(26.0, 126964.0)	(27.0, 153977.0)	(28.0, 192967.0)	(29.0, 249150.0)	(30.0, 328423.0)	(31.0, 455219.0)	(32.0, 671459.0)	(33.0, 1088556.0)	(34.0, 2095367.0)	(35.0, 6254791.0)	(36.0, 25053809.0)	(37.0, 1246305.0)	
RNA-Seq_FZX_Fr_M2_R1	(22.0, 14.0)	(23.0, 255.0)	(24.0, 4615.0)	(25.0, 21452.0)	(26.0, 48273.0)	(27.0, 90799.0)	(28.0, 149048.0)	(29.0, 224738.0)	(30.0, 315824.0)	(31.0, 439408.0)	(32.0, 628514.0)	(33.0, 994896.0)	(34.0, 1888367.0)	(35.0, 7043354.0)	(36.0, 27714780.0)	(37.0, 426916.0)		
RNA-Seq_FZX_Fr_M2_R2	(20.0, 1.0)	(21.0, 8.0)	(22.0, 106.0)	(23.0, 5669.0)	(24.0, 58694.0)	(25.0, 123494.0)	(26.0, 150154.0)	(27.0, 183270.0)	(28.0, 229016.0)	(29.0, 294525.0)	(30.0, 384157.0)	(31.0, 527876.0)	(32.0, 772732.0)	(33.0, 1248368.0)	(34.0, 2414806.0)	(35.0, 7196020.0)	(36.0, 25285216.0)	(37.0, 1117141.0)
