Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
RNA-Seq_FZX_Fr_C1_R1	(1, 36.57393541034105)	(2, 36.528431689974276)	(3, 36.63865075327632)	(4, 36.68244144246159)	(5, 36.692774973428634)	(6, 36.69309558161359)	(7, 36.65392391984672)	(8, 36.67315091422426)	(9, 36.685249735158216)	(10, 36.71005086405529)	(15, 36.71035008047666)	(20, 36.70287839404783)	(25, 36.67486765288223)	(30, 36.65216979309129)	(35, 36.63693943713291)	(40, 36.606382595120046)	(45, 36.59468822276178)	(50, 36.58057276549032)	(55, 36.56870041195772)	(60, 36.53659929285794)	(65, 36.528623729072585)	(70, 36.526134976959696)	(75, 36.476943030564975)	(80, 36.45854978882101)	(85, 36.40832117283594)	(90, 36.3816430945682)	(95, 36.3985993333936)	(100, 36.342847664556906)	(105, 36.31122679543082)	(110, 36.26902656616933)	(115, 36.22405607046937)	(120, 36.201604484809494)	(125, 36.13507887282407)	(130, 36.141016645692886)	(135, 36.07418114432126)	(140, 35.98810230827079)	(145, 35.92505103765679)	(150, 35.84743031685204)
RNA-Seq_FZX_Fr_C1_R2	(1, 36.1677425189255)	(2, 36.389654944200196)	(3, 36.46085072527441)	(4, 36.44185632004954)	(5, 36.47539787566964)	(6, 36.45179600541678)	(7, 36.450634722920725)	(8, 36.48524618864311)	(9, 36.496382353388555)	(10, 36.49683842128141)	(15, 36.472530424311024)	(20, 36.420839108157146)	(25, 36.42482145831575)	(30, 36.38284985580028)	(35, 36.32898688308673)	(40, 36.285550778421296)	(45, 36.26488801906787)	(50, 36.20599670726316)	(55, 36.159819751965316)	(60, 36.17874241158351)	(65, 36.13340546124405)	(70, 36.00775114953363)	(75, 35.984838587653755)	(80, 35.956139689659466)	(85, 35.92079282496998)	(90, 35.88655356621085)	(95, 35.80218294641328)	(100, 35.79677513942853)	(105, 35.76676132751278)	(110, 35.67187819418693)	(115, 35.64685469140971)	(120, 35.477285309311135)	(125, 35.47538117676069)	(130, 35.422530430972486)	(135, 35.380028450058745)	(140, 35.26917154192964)	(145, 34.996268942159745)	(150, 34.95472899002599)
RNA-Seq_FZX_Fr_C2_R1	(1, 36.57445596439378)	(2, 36.52378390934161)	(3, 36.63315055185317)	(4, 36.67786357880203)	(5, 36.685798422241)	(6, 36.68517203227414)	(7, 36.644473003016806)	(8, 36.66091248061845)	(9, 36.67469765535408)	(10, 36.70283017082913)	(15, 36.703593046096)	(20, 36.6961669252827)	(25, 36.667127809039314)	(30, 36.644141888882174)	(35, 36.62701433718762)	(40, 36.596260477242105)	(45, 36.58605926357424)	(50, 36.569610459567755)	(55, 36.55816131426305)	(60, 36.52483667398554)	(65, 36.51830064448501)	(70, 36.51539387237647)	(75, 36.4660474497854)	(80, 36.447638964430624)	(85, 36.39285303590162)	(90, 36.36666274486845)	(95, 36.38579880236531)	(100, 36.33086214150743)	(105, 36.30337907933522)	(110, 36.26104421927278)	(115, 36.215732082714815)	(120, 36.18824979242628)	(125, 36.123687710141844)	(130, 36.12898857353652)	(135, 36.06166795807219)	(140, 35.97893701522029)	(145, 35.91486020628814)	(150, 35.8377957527483)
RNA-Seq_FZX_Fr_C2_R2	(1, 36.05108320846057)	(2, 36.415584303834116)	(3, 36.471345249826456)	(4, 36.462301281616476)	(5, 36.45851255547763)	(6, 36.44823498636495)	(7, 36.44569458537268)	(8, 36.47715171319274)	(9, 36.48615629170575)	(10, 36.48739141192533)	(15, 36.460795169660216)	(20, 36.410253607047025)	(25, 36.40994677537535)	(30, 36.36998116427931)	(35, 36.314888344250036)	(40, 36.27121250388634)	(45, 36.24929241920113)	(50, 36.19049163351523)	(55, 36.144233059263414)	(60, 36.16190697703961)	(65, 36.11595156175241)	(70, 35.986297696439934)	(75, 35.96250790667977)	(80, 35.93177519698527)	(85, 35.89686762738221)	(90, 35.859441940961986)	(95, 35.775535664268375)	(100, 35.766584627240086)	(105, 35.73569112189689)	(110, 35.64107156828054)	(115, 35.61633100234109)	(120, 35.44412627376926)	(125, 35.442672490054086)	(130, 35.387555668548245)	(135, 35.344085045226194)	(140, 35.23160398740159)	(145, 34.95387132201746)	(150, 34.91593167316862)
RNA-Seq_FZX_Fr_C3_R1	(1, 36.58400706332565)	(2, 36.540243389251614)	(3, 36.64853674011397)	(4, 36.689503982904036)	(5, 36.69776719930081)	(6, 36.69665132187959)	(7, 36.65952886682399)	(8, 36.68123171582395)	(9, 36.6925994889898)	(10, 36.7177351845917)	(15, 36.715512762009375)	(20, 36.70858480010431)	(25, 36.681002466325566)	(30, 36.659651485662934)	(35, 36.641451249265195)	(40, 36.62041281472621)	(45, 36.60458017410336)	(50, 36.59050610691074)	(55, 36.57883115577993)	(60, 36.54868590684363)	(65, 36.54084479711905)	(70, 36.54010216367682)	(75, 36.49318370347383)	(80, 36.47460090030681)	(85, 36.420082191885754)	(90, 36.40154160251808)	(95, 36.42207919888934)	(100, 36.37316496332039)	(105, 36.34160375094561)	(110, 36.30605155705745)	(115, 36.26576764592202)	(120, 36.248375820776516)	(125, 36.19294088857345)	(130, 36.1932812906313)	(135, 36.13699897560453)	(140, 36.064578505559844)	(145, 36.00468651316612)	(150, 35.94374917796416)
RNA-Seq_FZX_Fr_C3_R2	(1, 35.979463453656855)	(2, 36.282141461777876)	(3, 36.327078018211814)	(4, 36.33941004830422)	(5, 36.35031103606993)	(6, 36.35095222670083)	(7, 36.35017128202671)	(8, 36.39572972096715)	(9, 36.403647431120135)	(10, 36.40230845866519)	(15, 36.37919773708782)	(20, 36.32425400963947)	(25, 36.32707193845122)	(30, 36.290151932577935)	(35, 36.23404039315839)	(40, 36.191615419737545)	(45, 36.16795350083111)	(50, 36.10969142537376)	(55, 36.064016414795624)	(60, 36.08708060572663)	(65, 36.038342613994935)	(70, 35.91132247688294)	(75, 35.88758453681204)	(80, 35.865069423193106)	(85, 35.834631003936984)	(90, 35.79894892010825)	(95, 35.720164474383054)	(100, 35.71359259679141)	(105, 35.68574682242983)	(110, 35.59480749547455)	(115, 35.56901925918454)	(120, 35.41304966484797)	(125, 35.40310893393383)	(130, 35.35967263729248)	(135, 35.3066860440804)	(140, 35.23349759130785)	(145, 34.965802787535715)	(150, 34.93643426595055)
RNA-Seq_FZX_Fr_M1_R1	(1, 36.37946216365072)	(2, 36.37436016571113)	(3, 36.51549967608447)	(4, 36.57820845243589)	(5, 36.598850307323204)	(6, 36.608254756547566)	(7, 36.562657880591296)	(8, 36.58732504385492)	(9, 36.5945635344537)	(10, 36.62605987925572)	(15, 36.62626105144442)	(20, 36.627095384747264)	(25, 36.58096789554278)	(30, 36.512552951943846)	(35, 36.50544728180971)	(40, 36.445266539421134)	(45, 36.41294138310865)	(50, 36.405960435886556)	(55, 36.21970928739896)	(60, 35.997219765717496)	(65, 35.89265266852793)	(70, 35.86329811667038)	(75, 35.90437773726076)	(80, 35.82716382324286)	(85, 35.75694025662416)	(90, 35.64899272497725)	(95, 35.60740318564476)	(100, 35.66186484420719)	(105, 35.64703763838351)	(110, 35.604851092005255)	(115, 35.30833260250338)	(120, 35.366379836513836)	(125, 35.3586048609041)	(130, 35.25008160248419)	(135, 35.14698823827131)	(140, 35.02622438612249)	(145, 34.87190413845388)	(150, 34.87707770401168)
RNA-Seq_FZX_Fr_M1_R2	(1, 36.128678768127216)	(2, 36.33069349438734)	(3, 36.33413933168667)	(4, 36.33861658285762)	(5, 36.38626467875216)	(6, 36.34207229466975)	(7, 36.2887446994088)	(8, 36.40539386857885)	(9, 36.368642245035616)	(10, 36.36434857576436)	(15, 36.35011441829088)	(20, 36.35558358002983)	(25, 36.3181338914604)	(30, 36.256146572800006)	(35, 36.21430430178815)	(40, 36.15344646447385)	(45, 36.19172920879629)	(50, 36.09511977163191)	(55, 36.01615040008672)	(60, 35.996655646307204)	(65, 35.89572223983254)	(70, 35.900832670558756)	(75, 35.85537113666139)	(80, 35.870441311859146)	(85, 35.847604898491255)	(90, 35.744341997561584)	(95, 35.80781867450783)	(100, 35.72842369290187)	(105, 35.61490211914954)	(110, 35.446653841996294)	(115, 35.33796204852353)	(120, 35.44376265679027)	(125, 35.262222645507045)	(130, 35.1245445335921)	(135, 35.02324479350472)	(140, 34.81840271291433)	(145, 34.84015719742104)	(150, 34.74776369821022)
RNA-Seq_FZX_Fr_M2_R1	(1, 36.36963355461756)	(2, 36.37024816401727)	(3, 36.512465588412546)	(4, 36.5745748951652)	(5, 36.594907666433954)	(6, 36.60249687600436)	(7, 36.55737770957064)	(8, 36.58567284700982)	(9, 36.59482239778784)	(10, 36.62257737710793)	(15, 36.62327477961243)	(20, 36.62432020322044)	(25, 36.575606490749365)	(30, 36.5050929136155)	(35, 36.496465112186186)	(40, 36.433909012933455)	(45, 36.40111570066048)	(50, 36.39260817820694)	(55, 36.19846097387109)	(60, 35.98069430301305)	(65, 35.870626180015265)	(70, 35.84104925369129)	(75, 35.87781030077097)	(80, 35.80860139856016)	(85, 35.72881128481189)	(90, 35.61773545715432)	(95, 35.57909712200363)	(100, 35.62812958168675)	(105, 35.61249475480129)	(110, 35.5827888519728)	(115, 35.268847114750585)	(120, 35.32651254489351)	(125, 35.32055459359201)	(130, 35.21135634609335)	(135, 35.10345054307206)	(140, 34.98458509344456)	(145, 34.832738919372204)	(150, 34.8368594304504)
RNA-Seq_FZX_Fr_M2_R2	(1, 36.0080077260895)	(2, 36.29888763425342)	(3, 36.3017006493895)	(4, 36.31129754799131)	(5, 36.33092729052525)	(6, 36.30274587795486)	(7, 36.253402287745274)	(8, 36.359846914524034)	(9, 36.32434485111032)	(10, 36.31479653313188)	(15, 36.29797454458354)	(20, 36.29794768871083)	(25, 36.260625607304675)	(30, 36.193029836928744)	(35, 36.14768939952637)	(40, 36.080650832186635)	(45, 36.11876940875333)	(50, 36.01833953594901)	(55, 35.935503917104015)	(60, 35.91233488585594)	(65, 35.804856757492246)	(70, 35.81143312622237)	(75, 35.76317515109563)	(80, 35.78375113576893)	(85, 35.75938626675262)	(90, 35.65161440889996)	(95, 35.71552550048649)	(100, 35.629866438607884)	(105, 35.512267362111345)	(110, 35.33312280229687)	(115, 35.21793017734231)	(120, 35.31724577598596)	(125, 35.13412491384737)	(130, 34.98955812259319)	(135, 34.88730147189362)	(140, 34.66632684676888)	(145, 34.68675326259903)	(150, 34.58877177364494)
