Sample	Overlapping Genes	No Feature	Ambiguous Features	Multimapping	Unmapped
RNA-Seq_FZX_Fr_C1	2478091.0	24566141.0	8419.0	3982746.0	6240632.0
RNA-Seq_FZX_Fr_C2	2855026.0	28180479.0	9643.0	4436675.0	7168924.0
RNA-Seq_FZX_Fr_C3	2341595.0	23081834.0	6972.0	3544705.0	5828896.0
RNA-Seq_FZX_Fr_M1	2537751.0	24718423.0	6607.0	4036482.0	6778565.0
RNA-Seq_FZX_Fr_M2	2646307.0	25981576.0	7312.0	3961640.0	7394418.0
RNA-Seq_FZX_Fr_M3	2561509.0	25227794.0	7188.0	3935700.0	7138937.0
RNA-Seq_FZX_Le_C1	2445777.0	21838027.0	3556.0	3576937.0	7463848.0
RNA-Seq_FZX_Le_C2	3005410.0	26421875.0	4248.0	4520391.0	9600038.0
RNA-Seq_FZX_Le_C3	2600565.0	23507300.0	3508.0	3568532.0	8875567.0
RNA-Seq_FZX_Le_M1	2938107.0	26105868.0	4206.0	4467734.0	8937091.0
RNA-Seq_FZX_Le_M2	2756793.0	24493491.0	3666.0	4222354.0	8147277.0
RNA-Seq_FZX_Le_M3	3211576.0	28436790.0	4750.0	4527742.0	9155213.0
