Sample	Uniquely mapped	Mapped to multiple loci	Mapped to too many loci	Unmapped: too short	Unmapped: other
RNA-Seq_FZX_Fr_C1	27052651.0	3982746.0	82618.0	5494499.0	663515.0
RNA-Seq_FZX_Fr_C2	31045148.0	4436675.0	66508.0	6338853.0	763563.0
RNA-Seq_FZX_Fr_C3	25430401.0	3544705.0	73471.0	5205300.0	550125.0
RNA-Seq_FZX_Fr_M1	27262781.0	4036482.0	46738.0	6111189.0	620638.0
RNA-Seq_FZX_Fr_M2	28635195.0	3961640.0	68221.0	6562385.0	763812.0
RNA-Seq_FZX_Fr_M3	27796491.0	3935700.0	53280.0	6374371.0	711286.0
RNA-Seq_FZX_Le_C1	24287360.0	3576937.0	57970.0	7027811.0	378067.0
RNA-Seq_FZX_Le_C2	29431533.0	4520391.0	38547.0	8947570.0	613921.0
RNA-Seq_FZX_Le_C3	26111373.0	3568532.0	38476.0	8270314.0	566777.0
RNA-Seq_FZX_Le_M1	29048181.0	4467734.0	90276.0	8154862.0	691953.0
RNA-Seq_FZX_Le_M2	27253950.0	4222354.0	91254.0	7406152.0	649871.0
RNA-Seq_FZX_Le_M3	31653116.0	4527742.0	69460.0	8260600.0	825153.0
STARpass1	25875639.0	2934380.0	15148.0	5112287.0	866548.0
