Sample	Assigned	Unassigned: Multi Mapping	Unassigned: No Features	Unassigned: Ambiguity
results/alignment/PRJNA922966/RNA-Seq_FZX_Fr_C1/Aligned.out.bam	20599865.0	14778528.0	4348992.0	2103794.0
results/alignment/PRJNA922966/RNA-Seq_FZX_Fr_C2/Aligned.out.bam	23821404.0	15944745.0	4809645.0	2414099.0
results/alignment/PRJNA922966/RNA-Seq_FZX_Fr_C3/Aligned.out.bam	19468240.0	13104349.0	3977087.0	1985074.0
results/alignment/PRJNA922966/RNA-Seq_FZX_Fr_M1/Aligned.out.bam	20698919.0	15001346.0	4416217.0	2147645.0
results/alignment/PRJNA922966/RNA-Seq_FZX_Fr_M2/Aligned.out.bam	21576736.0	13782799.0	4835558.0	2222901.0
results/alignment/PRJNA922966/RNA-Seq_FZX_Fr_M3/Aligned.out.bam	20936727.0	14189055.0	4701246.0	2158518.0
results/alignment/PRJNA922966/RNA-Seq_FZX_Le_C1/Aligned.out.bam	17099913.0	12330528.0	5164844.0	2022603.0
results/alignment/PRJNA922966/RNA-Seq_FZX_Le_C2/Aligned.out.bam	21189219.0	16283097.0	5770298.0	2472016.0
results/alignment/PRJNA922966/RNA-Seq_FZX_Le_C3/Aligned.out.bam	18643283.0	11892619.0	5327852.0	2140238.0
results/alignment/PRJNA922966/RNA-Seq_FZX_Le_M1/Aligned.out.bam	20470277.0	16589187.0	6174678.0	2403226.0
results/alignment/PRJNA922966/RNA-Seq_FZX_Le_M2/Aligned.out.bam	19181023.0	14273324.0	5835001.0	2237926.0
results/alignment/PRJNA922966/RNA-Seq_FZX_Le_M3/Aligned.out.bam	22459002.0	17013729.0	6588432.0	2605682.0
