Sample	Total	Assigned	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
results/alignment/PRJNA922966/RNA-Seq_FZX_Fr_C1/Aligned.out.bam	41831179	20599865	0	0	0	0	0	0	0	14778528	0	0	4348992	0	2103794	49.24524121110715
results/alignment/PRJNA922966/RNA-Seq_FZX_Fr_C2/Aligned.out.bam	46989893	23821404	0	0	0	0	0	0	0	15944745	0	0	4809645	0	2414099	50.69473982415751
results/alignment/PRJNA922966/RNA-Seq_FZX_Fr_C3/Aligned.out.bam	38534750	19468240	0	0	0	0	0	0	0	13104349	0	0	3977087	0	1985074	50.5212567877046
results/alignment/PRJNA922966/RNA-Seq_FZX_Fr_M1/Aligned.out.bam	42264127	20698919	0	0	0	0	0	0	0	15001346	0	0	4416217	0	2147645	48.97514859351052
results/alignment/PRJNA922966/RNA-Seq_FZX_Fr_M2/Aligned.out.bam	42417994	21576736	0	0	0	0	0	0	0	13782799	0	0	4835558	0	2222901	50.86694104393526
results/alignment/PRJNA922966/RNA-Seq_FZX_Fr_M3/Aligned.out.bam	41985546	20936727	0	0	0	0	0	0	0	14189055	0	0	4701246	0	2158518	49.866511203641366
results/alignment/PRJNA922966/RNA-Seq_FZX_Le_C1/Aligned.out.bam	36617888	17099913	0	0	0	0	0	0	0	12330528	0	0	5164844	0	2022603	46.69825031962521
results/alignment/PRJNA922966/RNA-Seq_FZX_Le_C2/Aligned.out.bam	45714630	21189219	0	0	0	0	0	0	0	16283097	0	0	5770298	0	2472016	46.35106748102304
results/alignment/PRJNA922966/RNA-Seq_FZX_Le_C3/Aligned.out.bam	38003992	18643283	0	0	0	0	0	0	0	11892619	0	0	5327852	0	2140238	49.05611757838492
results/alignment/PRJNA922966/RNA-Seq_FZX_Le_M1/Aligned.out.bam	45637368	20470277	0	0	0	0	0	0	0	16589187	0	0	6174678	0	2403226	44.85420149558143
results/alignment/PRJNA922966/RNA-Seq_FZX_Le_M2/Aligned.out.bam	41527274	19181023	0	0	0	0	0	0	0	14273324	0	0	5835001	0	2237926	46.1889769118965
results/alignment/PRJNA922966/RNA-Seq_FZX_Le_M3/Aligned.out.bam	48666845	22459002	0	0	0	0	0	0	0	17013729	0	0	6588432	0	2605682	46.14846514089829
