Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
RNA-Seq_FZX_Fr_C1_R1	(30, 15.0)	(35, 35.0)	(40, 2.0)	(45, 3.0)	(50, 6.0)	(55, 6.0)	(60, 9.0)	(65, 14.0)	(70, 2.0)	(75, 6.0)	(80, 5.0)	(85, 6.0)	(90, 9.0)	(95, 8.0)	(100, 60313.0)	(105, 64550.0)	(110, 69427.0)	(115, 74604.0)	(120, 92530.0)	(125, 117493.0)	(130, 154607.0)	(135, 133992.0)	(140, 445278.0)	(145, 439826.0)	(150, 35623283.0)
RNA-Seq_FZX_Fr_C1_R2	(30, 15.0)	(35, 35.0)	(40, 2.0)	(45, 3.0)	(50, 6.0)	(55, 6.0)	(60, 9.0)	(65, 14.0)	(70, 2.0)	(75, 6.0)	(80, 5.0)	(85, 6.0)	(90, 9.0)	(95, 8.0)	(100, 60313.0)	(105, 64550.0)	(110, 69427.0)	(115, 74604.0)	(120, 92530.0)	(125, 117493.0)	(130, 154607.0)	(135, 133992.0)	(140, 445278.0)	(145, 439826.0)	(150, 35623283.0)
RNA-Seq_FZX_Fr_C2_R1	(30, 26.0)	(35, 25.0)	(40, 7.0)	(45, 3.0)	(50, 7.0)	(55, 3.0)	(60, 5.0)	(65, 15.0)	(70, 10.0)	(75, 1.0)	(80, 4.0)	(85, 1.0)	(90, 2.0)	(95, 9.0)	(100, 67096.0)	(105, 72581.0)	(110, 78781.0)	(115, 80717.0)	(120, 97390.0)	(125, 121774.0)	(130, 160031.0)	(135, 141970.0)	(140, 505537.0)	(145, 492418.0)	(150, 40832334.0)
RNA-Seq_FZX_Fr_C2_R2	(30, 26.0)	(35, 25.0)	(40, 7.0)	(45, 3.0)	(50, 7.0)	(55, 3.0)	(60, 5.0)	(65, 15.0)	(70, 10.0)	(75, 1.0)	(80, 4.0)	(85, 1.0)	(90, 2.0)	(95, 9.0)	(100, 67096.0)	(105, 72581.0)	(110, 78781.0)	(115, 80717.0)	(120, 97390.0)	(125, 121774.0)	(130, 160031.0)	(135, 141970.0)	(140, 505537.0)	(145, 492418.0)	(150, 40832334.0)
RNA-Seq_FZX_Fr_C3_R1	(30, 33.0)	(35, 25.0)	(40, 8.0)	(45, 5.0)	(50, 1.0)	(55, 4.0)	(60, 10.0)	(65, 12.0)	(70, 3.0)	(75, 1.0)	(80, 6.0)	(85, 2.0)	(90, 3.0)	(95, 6.0)	(100, 52252.0)	(105, 54699.0)	(110, 59992.0)	(115, 62776.0)	(120, 78526.0)	(125, 98824.0)	(130, 126555.0)	(135, 114888.0)	(140, 403794.0)	(145, 404491.0)	(150, 33347086.0)
RNA-Seq_FZX_Fr_C3_R2	(30, 33.0)	(35, 25.0)	(40, 8.0)	(45, 5.0)	(50, 1.0)	(55, 4.0)	(60, 10.0)	(65, 12.0)	(70, 3.0)	(75, 1.0)	(80, 6.0)	(85, 2.0)	(90, 3.0)	(95, 6.0)	(100, 52252.0)	(105, 54699.0)	(110, 59992.0)	(115, 62776.0)	(120, 78526.0)	(125, 98824.0)	(130, 126555.0)	(135, 114888.0)	(140, 403794.0)	(145, 404491.0)	(150, 33347086.0)
RNA-Seq_FZX_Fr_M1_R1	(30, 24.0)	(35, 39.0)	(40, 12.0)	(45, 5.0)	(50, 4.0)	(55, 2.0)	(60, 7.0)	(65, 13.0)	(70, 7.0)	(75, 6.0)	(80, 1.0)	(85, 9.0)	(90, 2.0)	(95, 4.0)	(100, 97169.0)	(105, 103438.0)	(110, 105821.0)	(115, 120984.0)	(120, 149592.0)	(125, 191555.0)	(130, 237370.0)	(135, 188300.0)	(140, 496562.0)	(145, 486336.0)	(150, 35900566.0)
RNA-Seq_FZX_Fr_M1_R2	(30, 24.0)	(35, 39.0)	(40, 12.0)	(45, 5.0)	(50, 4.0)	(55, 2.0)	(60, 7.0)	(65, 13.0)	(70, 7.0)	(75, 6.0)	(80, 1.0)	(85, 9.0)	(90, 2.0)	(95, 4.0)	(100, 97169.0)	(105, 103438.0)	(110, 105821.0)	(115, 120984.0)	(120, 149592.0)	(125, 191555.0)	(130, 237370.0)	(135, 188300.0)	(140, 496562.0)	(145, 486336.0)	(150, 35900566.0)
RNA-Seq_FZX_Fr_M2_R1	(30, 27.0)	(35, 30.0)	(40, 5.0)	(45, 5.0)	(50, 3.0)	(55, 2.0)	(60, 3.0)	(65, 8.0)	(70, 8.0)	(75, 3.0)	(80, 4.0)	(85, 6.0)	(90, 9.0)	(95, 7.0)	(100, 109595.0)	(105, 113613.0)	(110, 116987.0)	(115, 134094.0)	(120, 163947.0)	(125, 200303.0)	(130, 241714.0)	(135, 191115.0)	(140, 520035.0)	(145, 501345.0)	(150, 37698385.0)
RNA-Seq_FZX_Fr_M2_R2	(30, 27.0)	(35, 30.0)	(40, 5.0)	(45, 5.0)	(50, 3.0)	(55, 2.0)	(60, 3.0)	(65, 8.0)	(70, 8.0)	(75, 3.0)	(80, 4.0)	(85, 6.0)	(90, 9.0)	(95, 7.0)	(100, 109595.0)	(105, 113613.0)	(110, 116987.0)	(115, 134094.0)	(120, 163947.0)	(125, 200303.0)	(130, 241714.0)	(135, 191115.0)	(140, 520035.0)	(145, 501345.0)	(150, 37698385.0)
RNA-Seq_FZX_Fr_M3_R1	(30, 11.0)	(35, 13.0)	(40, 5.0)	(45, 5.0)	(50, 7.0)	(55, 2.0)	(60, 5.0)	(65, 11.0)	(70, 3.0)	(75, 2.0)	(80, 4.0)	(85, 5.0)	(90, 5.0)	(95, 2.0)	(100, 101104.0)	(105, 105525.0)	(110, 107684.0)	(115, 123379.0)	(120, 152706.0)	(125, 183262.0)	(130, 217305.0)	(135, 175516.0)	(140, 494562.0)	(145, 480342.0)	(150, 36729663.0)
