Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
RNA-Seq_FZX_Fr_C1_R1	(1.0, 5.711728682729413)	(2.0, 4.815669738872017)	(3.0, 4.394040750291233)	(4.0, 3.8435161762480257)	(5.0, 3.2159514933488405)	(6.0, 2.83883501372599)	(7.0, 2.387886481233867)	(8.0, 1.9738077140928016)	(9.0, 1.7579353981015757)	('>10', 19.826900294882943)	('>50', 6.61788200794787)	('>100', 13.565976587341884)	('>500', 5.440190465332059)	('>1k', 11.142315351351064)	('>5k', 3.923265810670333)	('>10k+', 8.544098033829847)
RNA-Seq_FZX_Fr_C1_R2	(1.0, 8.780332850588321)	(2.0, 6.615917555426774)	(3.0, 6.126027032486081)	(4.0, 5.383355991794836)	(5.0, 4.5593319480519945)	(6.0, 3.7228458094135464)	(7.0, 3.1817098375189325)	(8.0, 2.5782604858529163)	(9.0, 2.1833297616829452)	('>10', 21.042560103868492)	('>50', 5.258197576536013)	('>100', 10.596795597760208)	('>500', 4.552605686834008)	('>1k', 9.698974653692728)	('>5k', 1.9158037082957762)	('>10k+', 3.8039514001963433)
RNA-Seq_FZX_Fr_C2_R1	(1.0, 5.130763648951137)	(2.0, 4.325062762093245)	(3.0, 4.101767211046258)	(4.0, 3.6662561335882833)	(5.0, 3.183311507172315)	(6.0, 2.8038492502725223)	(7.0, 2.321342433834371)	(8.0, 1.9764286692250943)	(9.0, 1.7249210132406287)	('>10', 20.533231119960018)	('>50', 6.886214943663579)	('>100', 14.050551425798902)	('>500', 5.289977856123327)	('>1k', 11.394624865117406)	('>5k', 3.789708454724699)	('>10k+', 8.821988705188199)
RNA-Seq_FZX_Fr_C2_R2	(1.0, 8.050704872134816)	(2.0, 5.901507627961912)	(3.0, 5.84898117874371)	(4.0, 5.161017816075477)	(5.0, 4.4491351415317775)	(6.0, 3.8149301624630128)	(7.0, 3.2612409269554514)	(8.0, 2.727281498879486)	(9.0, 2.3052987348302394)	('>10', 22.501373848659362)	('>50', 5.602007974833701)	('>100', 10.672410557182358)	('>500', 4.504059691405475)	('>1k', 9.512025473579648)	('>5k', 2.1308641605047267)	('>10k+', 3.5571603342585667)
RNA-Seq_FZX_Fr_C3_R1	(1.0, 6.582016179270058)	(2.0, 5.507920502613353)	(3.0, 4.822591602882969)	(4.0, 4.054873473718797)	(5.0, 3.37682341607902)	(6.0, 2.6975618284450458)	(7.0, 2.2408473626286294)	(8.0, 1.961826083182332)	(9.0, 1.6268096025752938)	('>10', 19.402691201304116)	('>50', 6.6648845607640075)	('>100', 13.67049309901542)	('>500', 5.357789410129468)	('>1k', 10.89357064007099)	('>5k', 3.392469205238443)	('>10k+', 7.7468318320821545)
RNA-Seq_FZX_Fr_C3_R2	(1.0, 10.789297601664865)	(2.0, 7.63174753270754)	(3.0, 6.618982987955421)	(4.0, 5.5713151486544445)	(5.0, 4.525381182227009)	(6.0, 3.6424613933235777)	(7.0, 2.9837377211291214)	(8.0, 2.4608041904500646)	(9.0, 2.015263301610979)	('>10', 19.829862994496843)	('>50', 5.27698848930792)	('>100', 10.471162667026604)	('>500', 4.573592330207917)	('>1k', 8.710540587242766)	('>5k', 1.7980428717569368)	('>10k+', 3.100819000237808)
RNA-Seq_FZX_Fr_M1_R1	(1.0, 6.540540259015282)	(2.0, 5.096352423125455)	(3.0, 4.673329170627082)	(4.0, 3.9480457232132484)	(5.0, 3.3554031567126033)	(6.0, 2.7746767635100573)	(7.0, 2.2805412378095133)	(8.0, 1.9851058630965344)	(9.0, 1.7011395433987286)	('>10', 19.64218271952579)	('>50', 6.455541835883342)	('>100', 13.20114250554066)	('>500', 5.025185248922263)	('>1k', 10.682406031498045)	('>5k', 3.4157956390426474)	('>10k+', 9.222611879078894)
RNA-Seq_FZX_Fr_M1_R2	(1.0, 9.95304678417275)	(2.0, 6.956210594087428)	(3.0, 6.3346139638518135)	(4.0, 5.4158503321651805)	(5.0, 4.610234282773278)	(6.0, 3.6991055659230505)	(7.0, 3.1145811352252744)	(8.0, 2.487605805824166)	(9.0, 2.1343422395529275)	('>10', 19.910137270057096)	('>50', 5.195857057182457)	('>100', 10.479486480351536)	('>500', 4.349419934955678)	('>1k', 8.573983037322998)	('>5k', 1.944677746484156)	('>10k+', 4.84084777007018)
RNA-Seq_FZX_Fr_M2_R1	(1.0, 6.840674569803919)	(2.0, 5.357382509116258)	(3.0, 4.81980361951064)	(4.0, 4.093011840379536)	(5.0, 3.440585764550958)	(6.0, 2.8823611037896977)	(7.0, 2.358871045276871)	(8.0, 1.9971357662694935)	(9.0, 1.6406688620039795)	('>10', 19.63835527128923)	('>50', 6.368164053621113)	('>100', 12.816570980511392)	('>500', 5.051943483308823)	('>1k', 10.617783158199796)	('>5k', 3.324627330497154)	('>10k+', 8.752060641871202)
RNA-Seq_FZX_Fr_M2_R2	(1.0, 10.503969430790432)	(2.0, 7.306851724914731)	(3.0, 6.419535236507759)	(4.0, 5.480031229511718)	(5.0, 4.509195608666382)	(6.0, 3.858714546152552)	(7.0, 3.0064211882586886)	(8.0, 2.467641026551601)	(9.0, 2.0981198307994013)	('>10', 19.383945560054247)	('>50', 5.123641789808422)	('>100', 10.299838058095888)	('>500', 4.2682143790185565)	('>1k', 9.224878105658727)	('>5k', 2.3693222639208504)	('>10k+', 3.679680021289998)
RNA-Seq_FZX_Fr_M3_R1	(1.0, 7.2129450784885485)	(2.0, 5.60205457021048)	(3.0, 4.905252824614835)	(4.0, 4.109663217513823)	(5.0, 3.3481756154250224)	(6.0, 2.841883247188291)	(7.0, 2.3193621953618133)	(8.0, 1.8990718004998093)	(9.0, 1.6609661690136361)	('>10', 19.488118793267642)	('>50', 6.271067958253816)	('>100', 12.75880094528747)	('>500', 5.010346109688902)	('>1k', 10.540214543414688)	('>5k', 3.2166968072701287)	('>10k+', 8.815380124501134)
RNA-Seq_FZX_Fr_M3_R2	(1.0, 10.956582210506719)	(2.0, 7.3589019841577)	(3.0, 6.4801449520350385)	(4.0, 5.353905127283025)	(5.0, 4.524314090853882)	(6.0, 3.5703957928226546)	(7.0, 3.0149750940437987)	(8.0, 2.4422394867149873)	(9.0, 1.9989310350720164)	('>10', 19.333449065284867)	('>50', 5.178710737688403)	('>100', 10.285645366213329)	('>500', 4.244530687400966)	('>1k', 8.964441796100937)	('>5k', 2.3882179627836515)	('>10k+', 3.904614611038141)
RNA-Seq_FZX_Le_C1_R1	(1.0, 3.6820261170755137)	(2.0, 2.9689205845443913)	(3.0, 3.132978998913262)	(4.0, 2.950259353196744)	(5.0, 2.754140721598699)	(6.0, 2.378785865467498)	(7.0, 2.139051023509778)	(8.0, 1.8488523661313427)	(9.0, 1.5847547590312177)	('>10', 17.39860815616405)	('>50', 5.4266174238680875)	('>100', 12.15240627723291)	('>500', 5.2530772043281635)	('>1k', 11.491067499698206)	('>5k', 4.505635267059439)	('>10k+', 20.33281838218062)
RNA-Seq_FZX_Le_C1_R2	(1.0, 6.065323209008108)	(2.0, 4.173964973011226)	(3.0, 4.271855223218821)	(4.0, 4.076675197270687)	(5.0, 3.7382518797656727)	(6.0, 3.232884155016006)	(7.0, 2.7811419020412718)	(8.0, 2.407941824207101)	(9.0, 2.0192423958377472)	('>10', 18.664623285758022)	('>50', 4.636809971914502)	('>100', 9.881026883133597)	('>500', 4.306300427149853)	('>1k', 11.780111293277308)	('>5k', 6.013830381507371)	('>10k+', 11.950016997882779)
RNA-Seq_FZX_Le_C2_R1	(1.0, 4.0057058181927)	(2.0, 3.4298895501203996)	(3.0, 3.3308187507942266)	(4.0, 3.1329883457897854)	(5.0, 2.7081588426405068)	(6.0, 2.33093593982915)	(7.0, 2.0160115979169566)	(8.0, 1.6949720573498872)	(9.0, 1.463975239691338)	('>10', 16.897751391500965)	('>50', 5.703511852528585)	('>100', 12.010939850671944)	('>500', 5.059514151452051)	('>1k', 10.965904591456423)	('>5k', 4.411401507900004)	('>10k+', 20.837520512165035)
RNA-Seq_FZX_Le_C2_R2	(1.0, 6.018678967095334)	(2.0, 4.806292876213574)	(3.0, 4.642025231173067)	(4.0, 4.238998817518631)	(5.0, 3.6946355673527616)	(6.0, 3.252141833593002)	(7.0, 2.7220845560469784)	(8.0, 2.3472751412818633)	(9.0, 1.9203303364831175)	('>10', 18.182584050905906)	('>50', 4.773126060550935)	('>100', 9.82727025661434)	('>500', 4.072967388205155)	('>1k', 10.619721397973759)	('>5k', 5.52883114390414)	('>10k+', 13.353036375087473)
