.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
RNA-Seq_FZX_Fr_C1_R1	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
RNA-Seq_FZX_Fr_C1_R2	1	1	1	0.5	0.5	1	0.5	0.25	0.5	1
RNA-Seq_FZX_Fr_C2_R1	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
RNA-Seq_FZX_Fr_C2_R2	1	1	1	0.5	0.5	1	0.5	0.25	0.5	1
RNA-Seq_FZX_Fr_C3_R1	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
RNA-Seq_FZX_Fr_C3_R2	1	1	1	0.5	0.5	1	0.5	0.25	0.5	1
RNA-Seq_FZX_Fr_M1_R1	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
RNA-Seq_FZX_Fr_M1_R2	1	1	1	0.5	0.5	1	0.5	0.25	0.5	1
RNA-Seq_FZX_Fr_M2_R1	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
RNA-Seq_FZX_Fr_M2_R2	1	1	1	0.5	0.5	1	0.5	0.25	0.5	1
RNA-Seq_FZX_Fr_M3_R1	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
RNA-Seq_FZX_Fr_M3_R2	1	1	1	0.5	0.5	1	0.5	0.25	0.5	1
RNA-Seq_FZX_Le_C1_R1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
RNA-Seq_FZX_Le_C1_R2	1	1	1	0.5	0.5	1	0.5	0.25	0.5	1
RNA-Seq_FZX_Le_C2_R1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
RNA-Seq_FZX_Le_C2_R2	1	1	1	0.5	0.5	1	0.5	0.25	0.5	1
RNA-Seq_FZX_Le_C3_R1	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
RNA-Seq_FZX_Le_C3_R2	1	1	1	0.5	0.5	1	0.5	0.25	0.5	1
RNA-Seq_FZX_Le_M1_R1	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
RNA-Seq_FZX_Le_M1_R2	1	1	1	0.5	0.5	1	0.5	0.25	0.5	1
RNA-Seq_FZX_Le_M2_R1	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
RNA-Seq_FZX_Le_M2_R2	1	1	1	0.5	0.5	1	0.5	0.25	0.5	1
RNA-Seq_FZX_Le_M3_R1	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
RNA-Seq_FZX_Le_M3_R2	1	1	1	0.5	0.5	1	0.5	0.25	0.5	1
