Sample	Total reads	Aligned	Uniq aligned	Multimapped	Avg. read len	Avg. mapped len	Splices	Annotated splices	GT/AG splices	GC/AG splices	AT/AC splices	Non-canonical splices	Mismatch rate	Del rate	Del len	Ins rate	Ins len
RNA-Seq_FZX_Fr_C1	37.276029	83.25	72.57	3.9827459999999997	298.0	295.41	21.752221	21.568020999999998	21.268386	0.30629999999999996	0.021041	0.156494	0.88	0.03	2.7	0.03	2.38
RNA-Seq_FZX_Fr_C2	42.650746999999996	83.19000000000001	72.79	4.436675	298.0	295.67	25.219479	25.037518	24.620646999999998	0.346692	0.023570999999999998	0.228569	0.89	0.03	2.7	0.03	2.38
RNA-Seq_FZX_Fr_C3	34.804002	83.25	73.07	3.544705	298.0	295.5	20.470529	20.305839	20.045035	0.266861	0.020132	0.13850099999999999	0.89	0.03	2.69	0.03	2.37
RNA-Seq_FZX_Fr_M1	38.077828	82.19999999999999	71.6	4.0364819999999995	297.0	294.59	21.681133	21.484043999999997	21.18054	0.290792	0.02272	0.187081	0.96	0.03	2.69	0.03	2.36
RNA-Seq_FZX_Fr_M2	39.991253	81.50999999999999	71.6	3.9616399999999996	297.0	294.44	22.540421	22.348823	21.959547	0.331663	0.02477	0.224441	0.98	0.03	2.8	0.03	2.32
RNA-Seq_FZX_Fr_M3	38.871128	81.63000000000001	71.51	3.9356999999999998	298.0	294.47	21.937504	21.734897	21.379331999999998	0.346725	0.023693	0.187754	0.98	0.03	2.68	0.03	2.33
RNA-Seq_FZX_Le_C1	35.328145	78.87	68.75	3.576937	299.0	293.41	17.606497	17.177951999999998	16.898182	0.5607409999999999	0.015665	0.131909	1.01	0.03	2.72	0.03	2.36
RNA-Seq_FZX_Le_C2	43.551961999999996	77.96	67.58	4.520391	299.0	293.58	20.860784	20.374899	20.068696	0.607089	0.019781999999999998	0.165217	1.0	0.03	2.74	0.03	2.36
RNA-Seq_FZX_Le_C3	38.555472	76.98	67.72	3.568532	298.0	292.63	18.411676999999997	18.100372999999998	17.809511999999998	0.446194	0.017114	0.13885699999999998	1.06	0.03	2.71	0.03	2.34
RNA-Seq_FZX_Le_M1	42.453005999999995	78.94	68.42	4.467734	298.0	293.25	20.780048999999998	20.344818	20.044301	0.557488	0.01971	0.15855	1.0	0.03	2.74	0.03	2.35
RNA-Seq_FZX_Le_M2	39.623581	79.44	68.78	4.222354	299.0	293.54	19.033869	18.600787999999998	18.301084	0.572103	0.017509999999999998	0.143172	1.0	0.03	2.73	0.03	2.35
RNA-Seq_FZX_Le_M3	45.336071	79.80999999999999	69.82	4.527742	299.0	293.67	22.11554	21.722944	21.394557	0.528349	0.022085	0.170549	1.0	0.03	2.74	0.03	2.35
STARpass1	34.804002	82.78	74.35	2.93438	298.0	295.37	19.750211	17.685703	19.417464	0.210506	0.019275999999999998	0.102965	0.88	0.03	2.68	0.03	2.16
