Sample	Overlapping Genes	No Feature	Ambiguous Features	Multimapping	Unmapped
RNA-Seq_FZX_Fr_C1	20154664.0	4348992.0	2548995.0	3982746.0	6240632.0
RNA-Seq_FZX_Fr_C2	23299598.0	4809645.0	2935905.0	4436675.0	7168924.0
RNA-Seq_FZX_Fr_C3	19049410.0	3977087.0	2403904.0	3544705.0	5828896.0
RNA-Seq_FZX_Fr_M1	20266325.0	4416217.0	2580239.0	4036482.0	6778565.0
RNA-Seq_FZX_Fr_M2	21089478.0	4835558.0	2710159.0	3961640.0	7394418.0
RNA-Seq_FZX_Fr_M3	20474628.0	4701246.0	2620617.0	3935700.0	7138937.0
RNA-Seq_FZX_Le_C1	16709935.0	5164844.0	2412581.0	3576937.0	7463848.0
RNA-Seq_FZX_Le_C2	20699778.0	5770298.0	2961457.0	4520391.0	9600038.0
RNA-Seq_FZX_Le_C3	18213995.0	5327852.0	2569526.0	3568532.0	8875567.0
RNA-Seq_FZX_Le_M1	19981360.0	6174678.0	2892143.0	4467734.0	8937091.0
RNA-Seq_FZX_Le_M2	18727088.0	5835001.0	2691861.0	4222354.0	8147277.0
RNA-Seq_FZX_Le_M3	21905027.0	6588432.0	3159657.0	4527742.0	9155213.0
