Sample	Passed Filter	Low Quality	Too Many N	Low Complexity	Too Short	Too Long
RNA-Seq_FZX_Fr_C1	74552058.0	802116.0	0.0	nan	0.0	0.0
RNA-Seq_FZX_Fr_C2	85301494.0	996128.0	0.0	nan	0.0	0.0
RNA-Seq_FZX_Fr_C3	69608004.0	741454.0	0.0	nan	0.0	0.0
RNA-Seq_FZX_Fr_M1	76155656.0	632688.0	0.0	nan	0.0	0.0
RNA-Seq_FZX_Fr_M2	79982506.0	734556.0	0.0	nan	0.0	0.0
RNA-Seq_FZX_Fr_M3	77742256.0	747442.0	0.0	nan	0.0	0.0
RNA-Seq_FZX_Le_C1	70656290.0	585406.0	0.0	nan	0.0	0.0
RNA-Seq_FZX_Le_C2	87103924.0	613334.0	0.0	nan	0.0	0.0
RNA-Seq_FZX_Le_C3	77110944.0	540144.0	0.0	nan	0.0	0.0
RNA-Seq_FZX_Le_M1	84906012.0	562836.0	0.0	nan	0.0	0.0
RNA-Seq_FZX_Le_M2	79247162.0	631624.0	0.0	nan	0.0	0.0
RNA-Seq_FZX_Le_M3	90672142.0	780618.0	0.0	nan	0.0	0.0
