Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
RNA-Seq_FZX_Fr_C1_R1	RNA-Seq_FZX_Fr_C1_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37276029.0	5.5 Gbp	0.0	31-150	46.0	13.692779937840399	149.79422428553212	150	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
RNA-Seq_FZX_Fr_C1_R2	RNA-Seq_FZX_Fr_C1_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37276029.0	5.5 Gbp	0.0	31-150	46.0	19.369006023422074	149.79422428553212	150	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
RNA-Seq_FZX_Fr_C2_R1	RNA-Seq_FZX_Fr_C2_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42650747.0	6.3 Gbp	0.0	32-150	46.0	12.741751168078538	149.82721071684864	150	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
RNA-Seq_FZX_Fr_C2_R2	RNA-Seq_FZX_Fr_C2_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42650747.0	6.3 Gbp	0.0	32-150	46.0	18.26388731499391	149.82721071684864	150	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
RNA-Seq_FZX_Fr_C3_R1	RNA-Seq_FZX_Fr_C3_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34804002.0	5.1 Gbp	0.0	31-150	46.0	15.045617355756482	149.8495365561696	150	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
RNA-Seq_FZX_Fr_C3_R2	RNA-Seq_FZX_Fr_C3_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34804002.0	5.1 Gbp	0.0	31-150	46.0	21.93954672502888	149.8495365561696	150	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
RNA-Seq_FZX_Fr_M1_R1	RNA-Seq_FZX_Fr_M1_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38077828.0	5.6 Gbp	0.0	31-150	46.0	14.75729653066786	149.4764667774643	150	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
RNA-Seq_FZX_Fr_M1_R2	RNA-Seq_FZX_Fr_M1_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38077828.0	5.6 Gbp	0.0	31-150	46.0	20.69900293900885	149.4764667774643	150	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
RNA-Seq_FZX_Fr_M2_R1	RNA-Seq_FZX_Fr_M2_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39991253.0	5.9 Gbp	0.0	32-150	45.0	15.31220432886393	149.45298271849597	150	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
RNA-Seq_FZX_Fr_M2_R2	RNA-Seq_FZX_Fr_M2_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39991253.0	5.9 Gbp	0.0	32-150	46.0	21.420237525673368	149.45298271849597	150	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
RNA-Seq_FZX_Fr_M3_R1	RNA-Seq_FZX_Fr_M3_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38871128.0	5.7 Gbp	0.0	31-150	45.0	15.788229891173438	149.50404941940454	150	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
RNA-Seq_FZX_Fr_M3_R2	RNA-Seq_FZX_Fr_M3_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38871128.0	5.7 Gbp	0.0	31-150	46.0	21.824415440347	149.50404941940454	150	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
RNA-Seq_FZX_Le_C1_R1	RNA-Seq_FZX_Le_C1_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35328145.0	5.2 Gbp	0.0	31-150	44.0	9.720980775557528	150.05414974378078	150	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
RNA-Seq_FZX_Le_C1_R2	RNA-Seq_FZX_Le_C1_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35328145.0	5.2 Gbp	0.0	31-150	45.0	14.0141486635812	150.05414974378078	150	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
RNA-Seq_FZX_Le_C2_R1	RNA-Seq_FZX_Le_C2_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	43551962.0	6.5 Gbp	0.0	31-150	43.0	10.277565865968333	150.00302114977046	150	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
RNA-Seq_FZX_Le_C2_R2	RNA-Seq_FZX_Le_C2_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	43551962.0	6.5 Gbp	0.0	31-150	44.0	14.381726879765091	150.00302114977046	150	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
RNA-Seq_FZX_Le_C3_R1	RNA-Seq_FZX_Le_C3_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38555472.0	5.7 Gbp	0.0	31-150	43.0	14.296265277952443	149.7375370997922	150	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
RNA-Seq_FZX_Le_C3_R2	RNA-Seq_FZX_Le_C3_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38555472.0	5.7 Gbp	0.0	31-150	44.0	18.761438446365894	149.7375370997922	150	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
RNA-Seq_FZX_Le_M1_R1	RNA-Seq_FZX_Le_M1_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42453006.0	6.3 Gbp	0.0	31-150	44.0	13.52398712862872	149.98358185754856	150	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
RNA-Seq_FZX_Le_M1_R2	RNA-Seq_FZX_Le_M1_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42453006.0	6.3 Gbp	0.0	31-150	44.0	18.652845921538006	149.98358185754856	150	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
RNA-Seq_FZX_Le_M2_R1	RNA-Seq_FZX_Le_M2_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39623581.0	5.9 Gbp	0.0	31-150	44.0	13.469069771631082	150.0422366040061	150	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
RNA-Seq_FZX_Le_M2_R2	RNA-Seq_FZX_Le_M2_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39623581.0	5.9 Gbp	0.0	31-150	44.0	19.151119451178232	150.0422366040061	150	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
RNA-Seq_FZX_Le_M3_R1	RNA-Seq_FZX_Le_M3_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45336071.0	6.7 Gbp	0.0	31-150	43.0	12.497688853209581	150.0292578618028	150	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
RNA-Seq_FZX_Le_M3_R2	RNA-Seq_FZX_Le_M3_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45336071.0	6.7 Gbp	0.0	31-150	44.0	17.92507565178019	150.0292578618028	150	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
