Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other	mapped_percent	mapped
RNA-Seq_FZX_Fr_C1	37276029.0	298.0	27052651.0	72.57	295.41	21752221.0	21568021.0	21268386.0	306300.0	21041.0	156494.0	0.88	0.03	2.7	0.03	2.38	3982746.0	10.68	82618.0	0.22	0.0	14.74	1.78	0	5494499	663515	83.25	31035397.0
RNA-Seq_FZX_Fr_C2	42650747.0	298.0	31045148.0	72.79	295.67	25219479.0	25037518.0	24620647.0	346692.0	23571.0	228569.0	0.89	0.03	2.7	0.03	2.38	4436675.0	10.4	66508.0	0.16	0.0	14.86	1.79	0	6338853	763563	83.19000000000001	35481823.0
RNA-Seq_FZX_Fr_C3	34804002.0	298.0	25430401.0	73.07	295.5	20470529.0	20305839.0	20045035.0	266861.0	20132.0	138501.0	0.89	0.03	2.69	0.03	2.37	3544705.0	10.18	73471.0	0.21	0.0	14.95	1.58	0	5205300	550125	83.25	28975106.0
RNA-Seq_FZX_Fr_M1	38077828.0	297.0	27262781.0	71.6	294.59	21681133.0	21484044.0	21180540.0	290792.0	22720.0	187081.0	0.96	0.03	2.69	0.03	2.36	4036482.0	10.6	46738.0	0.12	0.0	16.05	1.63	0	6111189	620638	82.19999999999999	31299263.0
RNA-Seq_FZX_Fr_M2	39991253.0	297.0	28635195.0	71.6	294.44	22540421.0	22348823.0	21959547.0	331663.0	24770.0	224441.0	0.98	0.03	2.8	0.03	2.32	3961640.0	9.91	68221.0	0.17	0.0	16.41	1.91	0	6562385	763812	81.50999999999999	32596835.0
RNA-Seq_FZX_Fr_M3	38871128.0	298.0	27796491.0	71.51	294.47	21937504.0	21734897.0	21379332.0	346725.0	23693.0	187754.0	0.98	0.03	2.68	0.03	2.33	3935700.0	10.12	53280.0	0.14	0.0	16.4	1.83	0	6374371	711286	81.63000000000001	31732191.0
RNA-Seq_FZX_Le_C1	35328145.0	299.0	24287360.0	68.75	293.41	17606497.0	17177952.0	16898182.0	560741.0	15665.0	131909.0	1.01	0.03	2.72	0.03	2.36	3576937.0	10.12	57970.0	0.16	0.0	19.89	1.07	0	7027811	378067	78.87	27864297.0
RNA-Seq_FZX_Le_C2	43551962.0	299.0	29431533.0	67.58	293.58	20860784.0	20374899.0	20068696.0	607089.0	19782.0	165217.0	1.0	0.03	2.74	0.03	2.36	4520391.0	10.38	38547.0	0.09	0.0	20.55	1.41	0	8947570	613921	77.96	33951924.0
RNA-Seq_FZX_Le_C3	38555472.0	298.0	26111373.0	67.72	292.63	18411677.0	18100373.0	17809512.0	446194.0	17114.0	138857.0	1.06	0.03	2.71	0.03	2.34	3568532.0	9.26	38476.0	0.1	0.0	21.45	1.47	0	8270314	566777	76.98	29679905.0
RNA-Seq_FZX_Le_M1	42453006.0	298.0	29048181.0	68.42	293.25	20780049.0	20344818.0	20044301.0	557488.0	19710.0	158550.0	1.0	0.03	2.74	0.03	2.35	4467734.0	10.52	90276.0	0.21	0.0	19.21	1.63	0	8154862	691953	78.94	33515915.0
RNA-Seq_FZX_Le_M2	39623581.0	299.0	27253950.0	68.78	293.54	19033869.0	18600788.0	18301084.0	572103.0	17510.0	143172.0	1.0	0.03	2.73	0.03	2.35	4222354.0	10.66	91254.0	0.23	0.0	18.69	1.64	0	7406152	649871	79.44	31476304.0
RNA-Seq_FZX_Le_M3	45336071.0	299.0	31653116.0	69.82	293.67	22115540.0	21722944.0	21394557.0	528349.0	22085.0	170549.0	1.0	0.03	2.74	0.03	2.35	4527742.0	9.99	69460.0	0.15	0.0	18.22	1.82	0	8260600	825153	79.80999999999999	36180858.0
STARpass1	34804002.0	298.0	25875639.0	74.35	295.37	19750211.0	17685703.0	19417464.0	210506.0	19276.0	102965.0	0.88	0.03	2.68	0.03	2.16	2934380.0	8.43	15148.0	0.04	0.0	14.69	2.49	0	5112287	866548	82.78	28810019.0
