Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
RNA-Seq_FZX_Fr_C1_R1	(1, 0.007243260809782072)	(2, 0.06641265355813518)	(3, 0.004627638850694102)	(4, 0.0001502305945732578)	(5, 0.0025780643104446562)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.00034499386855220675)	(35, 0.0)	(40, 0.020862229176859)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 1.5023108142540172e-05)	(100, 0.0)	(105, 0.0)	(110, 0.0003345681159591755)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0002002466775005254)	(145, 0.0)	(150, 0.0015270911442945895)
RNA-Seq_FZX_Fr_C1_R2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0002570016242878231)	(25, 0.0)	(30, 0.0)	(35, 0.0008949459632915057)	(40, 0.0010001078925408321)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 1.6096169850389804e-06)	(70, 7.779817473034375e-05)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0006421051411675412)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.00031679881137085974)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.00022653389118171017)	(150, 0.0)
RNA-Seq_FZX_Fr_C2_R1	(1, 0.007228478319500476)	(2, 0.06618875866347664)	(3, 0.004654080267339749)	(4, 0.0001524006132882034)	(5, 0.002452477561530165)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.00034934911781118116)	(35, 0.0)	(40, 0.02144302840385333)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 1.0785302189700983e-05)	(100, 0.0)	(105, 0.0)	(110, 0.00032581103146621734)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.00018435349452274727)	(145, 0.0)	(150, 0.0014596275588850739)
RNA-Seq_FZX_Fr_C2_R2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.00025650195528814537)	(25, 0.0)	(30, 0.0)	(35, 0.0009294100456255457)	(40, 0.0010133481538822395)	(45, 0.0)	(50, 4.689256742114869e-07)	(55, 0.0)	(60, 0.0)	(65, 1.4067776361314218e-06)	(70, 7.549708488170546e-05)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0006424623118659917)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0003094314751535718)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.00022110538567473434)	(150, 0.0)
RNA-Seq_FZX_Fr_C3_R1	(1, 0.0036691182812827097)	(2, 0.0687277284951311)	(3, 0.0029364439181448153)	(4, 0.0002183656925430587)	(5, 0.0025428110250079864)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.00032984721224284355)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 1.149296929383743e-05)	(100, 0.0)	(105, 0.0)	(110, 0.00032879200812533884)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.00016286540573564923)	(145, 0.0)	(150, 0.0015503603523258373)
RNA-Seq_FZX_Fr_C3_R2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.00020687276135658193)	(25, 0.0)	(30, 0.0)	(35, 0.0008372610713625999)	(40, 0.0009493178071218373)	(45, 0.0)	(50, 5.746477316025021e-07)	(55, 0.0)	(60, 0.0)	(65, 1.1492961500630467e-06)	(70, 3.6202836424425364e-05)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0005482259448734626)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.00030704906289961)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0003023859283596701)	(150, 0.0)
RNA-Seq_FZX_Fr_M1_R1	(1, 0.04088205871406321)	(2, 0.0010767420872850207)	(3, 0.0017385445409333748)	(4, 0.004774431987034555)	(5, 0.005680471060481706)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 5.777640468358647e-06)	(20, 0.0004217677541901812)	(25, 0.0001187042496226413)	(30, 0.0)	(35, 0.0)	(40, 0.00010242198798179342)	(45, 5.147362880201227e-05)	(50, 0.0)	(55, 0.0)	(60, 3.466592310712728e-05)	(65, 0.021671459249126692)	(70, 0.0001822588212875572)	(75, 0.0)	(80, 3.4665951329508565e-05)	(85, 0.0)	(90, 0.0003356295330668361)	(95, 0.00027260052279527854)	(100, 1.577327005293678e-06)	(105, 0.0)	(110, 0.0)	(115, 0.0002221312185197254)	(120, 3.777035648790244e-05)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.00038358205178606154)	(145, 6.101089089328647e-05)	(150, 0.0)
RNA-Seq_FZX_Fr_M1_R2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 6.565500532225736e-05)	(8, 0.0)	(9, 1.0504800851561177e-05)	(10, 0.0)	(15, 1.6282441319919825e-05)	(20, 0.0)	(25, 0.0)	(30, 0.0001355119573203725)	(35, 0.0)	(40, 0.001401868132940547)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0003419321369651351)	(70, 0.0004800707857545455)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0008388112117491977)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 1.0572546530623085e-05)	(115, 0.0002735553908262012)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 9.262634773242965e-05)	(145, 0.0)	(150, 0.0)
RNA-Seq_FZX_Fr_M2_R1	(1, 0.04052886264903978)	(2, 0.0010377269249353103)	(3, 0.0019004155733755078)	(4, 0.004683524169647798)	(5, 0.005476197507489951)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 5.0010936141460736e-06)	(20, 0.00041559087933553876)	(25, 0.00011352482504111588)	(30, 0.0)	(35, 0.0)	(40, 9.302048031915187e-05)	(45, 5.251156567233933e-05)	(50, 0.0)	(55, 0.0)	(60, 3.9508711078162066e-05)	(65, 0.021583761377759934)	(70, 0.00016453633620448738)	(75, 0.0)	(80, 3.800840213737649e-05)	(85, 0.0)	(90, 0.00033357384657815544)	(95, 0.0002795619355490112)	(100, 7.509829014410641e-06)	(105, 0.0)	(110, 0.0)	(115, 0.00020656521109421646)	(120, 3.7509145958969645e-05)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0003923716515218648)	(145, 6.0753336940426236e-05)	(150, 0.0)
RNA-Seq_FZX_Fr_M2_R2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 7.001531059804503e-05)	(8, 0.0)	(9, 5.0010936141460736e-06)	(10, 0.0)	(15, 1.7003718288096648e-05)	(20, 0.0)	(25, 0.0)	(30, 0.00012552745787613583)	(35, 0.0)	(40, 0.0014048092968628903)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.00032157093854904396)	(70, 0.00048710757283638523)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0008576898753846127)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 1.1077619606657595e-05)	(115, 0.00027020143749487976)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 7.785151815910016e-05)	(145, 0.0)	(150, 0.0)
