Sample	Overlapping Genes	No Feature	Ambiguous Features	Multimapping	Unmapped
RNA-Seq_FZX_Fr_C1	21967003.0	4678654.0	406994.0	3982746.0	6240632.0
RNA-Seq_FZX_Fr_C2	25388497.0	5189069.0	467582.0	4436675.0	7168924.0
RNA-Seq_FZX_Fr_C3	20767144.0	4285427.0	377830.0	3544705.0	5828896.0
RNA-Seq_FZX_Fr_M1	22130790.0	4748444.0	383547.0	4036482.0	6778565.0
RNA-Seq_FZX_Fr_M2	23017250.0	5190133.0	427812.0	3961640.0	7394418.0
RNA-Seq_FZX_Fr_M3	22344890.0	5042541.0	409060.0	3935700.0	7138937.0
RNA-Seq_FZX_Le_C1	18490454.0	5487632.0	309274.0	3576937.0	7463848.0
RNA-Seq_FZX_Le_C2	22879926.0	6171092.0	380515.0	4520391.0	9600038.0
RNA-Seq_FZX_Le_C3	20109362.0	5669751.0	332260.0	3568532.0	8875567.0
RNA-Seq_FZX_Le_M1	22109408.0	6568494.0	370279.0	4467734.0	8937091.0
RNA-Seq_FZX_Le_M2	20703102.0	6215085.0	335763.0	4222354.0	8147277.0
RNA-Seq_FZX_Le_M3	24227323.0	7021139.0	404654.0	4527742.0	9155213.0
