gene_id	edgeR_interaction_log2fc	logCPM	edgeR_F	edgeR_p	edgeR_q	edgeR_signed_stat
LITCHI014204	0.396654530390251	3.12889802001162	1.27172534983752	0.281810359653064	0.630146829262691	1.12770800734832
LITCHI014205	0.137439697988301	0.494205460114195	0.0505781086002387	0.82590057457447	0.943962656356937	0.224895772748708
LITCHI014206	0.396090521241785	1.56108898135712	0.801834041263542	0.388413997361095	0.712270971819313	0.895451864291734
LITCHI014207	0.272194373471369	1.25487340144754	0.284554158975093	0.603615987844311	0.841664275547437	0.533436180789317
LITCHI014208	-0.0678914286801395	6.74584690413562	0.0818037658284256	0.77981752973483	0.925058068917385	-0.286013576300891
LITCHI014209	0.246655150051898	6.62150227847217	1.74297403904912	0.211752695989949	0.567806844511887	1.32021742112772
LITCHI014210	1.29473462443508	3.76872304275865	2.64081902819483	0.133695132447108	0.48875763309532	1.62505969988639
LITCHI014213	0.320755110375788	-1.15826527467331	0.0865702991340434	0.773685469088557	0.922606318656317	0.294228311238133
LITCHI014214	0.284051238616983	5.86528563893198	3.76866146823146	0.0764341306228703	0.415506438846909	1.94130406382706
LITCHI014216	0.362415266996195	4.88939671833786	1.63625345482059	0.225377026884937	0.582545967856274	1.27916123097152
LITCHI014218	0.125622039250631	5.6306302467134	0.392085273424264	0.543106042920006	0.807338728037037	0.626167128987352
LITCHI014219	0.717102756886368	2.27259261647708	0.650904699211331	0.436580291012609	0.742535463014134	0.806786650367575
LITCHI014220	-0.192881278745469	5.14060009421587	2.57732428978592	0.134767990910592	0.490159200416327	-1.60540471214766
LITCHI014221	-0.0410454240885362	0.0523348319197559	0.00256522566141216	0.960451628657492	0.996056793778166	-0.0506480568374756
LITCHI014225	0.286711292322627	6.14037276440756	3.85752469787865	0.0734726182136382	0.412276771202601	1.96405822161123
LITCHI014226	-0.771421963064865	4.53676223889221	2.67914189368264	0.129466610364113	0.48409857807528	-1.6368084474619
LITCHI014227	0.165004870280162	5.55151403028534	1.31557339011778	0.274071286626411	0.624057881810304	1.14698447684255
LITCHI014229	-1.61094590262413	1.50354134993076	4.51655820650097	0.0553562224804859	0.386963751206493	-2.12521956665681
LITCHI014230	-0.70412281434451	2.92603250921177	0.572961910171907	0.465506303849632	0.762125964330731	-0.756942474810277
LITCHI014231	-0.488695220991195	4.2429333565987	4.77038883692935	0.0498511267439324	0.377942223824138	-2.18412198306994
