gene_id	omitted_sample	primary_interaction_log2fc	loo_log2fc	loo_p	loo_q	sign_agrees
LITCHI008721	GW_P1	-1.91058272270929	-1.93358220246436	2.71628416590635e-12	2.62909144418076e-08	TRUE
LITCHI005805	GW_P1	2.07255591145601	2.19288395978617	2.16484650924273e-11	1.39690329086403e-07	TRUE
LITCHI015740	GW_P1	-1.96299486758937	-1.82841881086693	2.77429643824585e-09	6.7131038064454e-06	TRUE
LITCHI010877	GW_P1	-2.77434466350923	-2.64449139593105	7.09841594064506e-09	1.52679039754452e-05	TRUE
LITCHI009437	GW_P1	1.03949061099977	1.01527506597447	2.22901568101264e-08	3.92266232300388e-05	TRUE
LITCHI023626	GW_P1	-1.40847760833401	-1.48408157884278	3.59875910591764e-10	1.74161946930884e-06	TRUE
LITCHI015982	GW_P1	3.42612366371821	3.48416659269803	1.14269876804925e-08	2.21203627518973e-05	TRUE
LITCHI025204	GW_P1	2.85870852391512	2.79847418397457	1.11437614530173e-07	0.000179767445172924	TRUE
LITCHI014613	GW_P1	3.69273027953801	4.16236694207641	5.25484331382036e-10	2.03446513737869e-06	TRUE
LITCHI028717	GW_P1	-0.907362306726487	-0.896048367038281	9.47281329294538e-07	0.00114609199828023	TRUE
LITCHI020058	GW_P1	-0.941598616265346	-0.91257904578002	1.31388668145388e-06	0.00133637795128685	TRUE
LITCHI013915	GW_P1	1.58253973508206	1.59059079160577	8.64349650802911e-07	0.00111547203601618	TRUE
LITCHI016077	GW_P1	1.81072779153467	1.7788712419298	1.38069836892949e-06	0.00133637795128685	TRUE
LITCHI028926	GW_P1	1.90078618581322	1.79900701740752	2.11269604844592e-06	0.00185898045935528	TRUE
LITCHI021546	GW_P1	1.31268337866113	1.27314684425565	2.64571222796511e-06	0.00222676944821516	TRUE
LITCHI005234	GW_P1	2.41562318712994	2.45266950258378	1.8610184831815e-06	0.00171550456178226	TRUE
LITCHI014480	GW_P1	-1.01836067537996	-1.04641561961738	3.32477589456821e-06	0.00257444047068206	TRUE
LITCHI022605	GW_P1	0.744942891873029	0.753056235280461	7.58862565093762e-06	0.0053646762839176	TRUE
LITCHI009639	GW_P1	-1.77880934382893	-1.82221245392097	3.98883930097315e-06	0.0029698442764707	TRUE
LITCHI012815	GW_P1	-2.54894194259723	-2.62149974399013	1.04707667352421e-06	0.00116804173944311	TRUE
LITCHI004438	GW_P1	1.46471169048401	1.58630482160171	3.51955916406883e-07	0.00048665447355746	TRUE
LITCHI002263	GW_P1	-1.27206412023338	-1.19395633238459	2.21646432572092e-05	0.00932746009071861	TRUE
LITCHI029373	GW_P1	-0.761291752666979	-0.73085828401642	3.08927452024587e-05	0.0106789600290928	TRUE
LITCHI019822	GW_P1	-0.730865538412879	-0.75133984823731	1.11823157399009e-05	0.00655961418463643	TRUE
LITCHI011122	GW_P1	1.53140442080389	1.62489348523418	2.93515168740512e-06	0.00236744443186618	TRUE
LITCHI008817	GW_P1	-1.23258869770076	-1.25490830668492	1.24632630791843e-05	0.00705845870635484	TRUE
LITCHI023108	GW_P1	1.2004305898851	1.23825153496643	1.01800064416802e-05	0.00615826764681394	TRUE
LITCHI010325	GW_P1	-1.77220035077222	-1.83163491896019	9.56263474576542e-06	0.00597140269059764	TRUE
LITCHI031010	GW_P1	-1.99719086698081	-1.86933841658603	4.86567255664003e-05	0.014507307782875	TRUE
LITCHI019857	GW_P1	1.03246151283045	0.930498365033618	2.80218971703719e-05	0.0102348657627181	TRUE
