run_accession	study_accession	sample_accession	sample_alias	experiment_accession	sample_title	experiment_title	library_layout	instrument_model	read_count	base_count	age	cultivar	tissue_type	collection_date	description	fastq_ftp	fastq_md5
SRR8297700	PRJNA450886	SAMN10576437	GC_24hpi_1	SRX5112236	Plant sample from Litchi	Illumina HiSeq 2500 sequencing: RNA_seq of Litchi chinensis Sonn: pericarp	PAIRED	Illumina HiSeq 2500	14746136	3686534000		Guiwei	pericarp		Illumina HiSeq 2500 sequencing: RNA_seq of Litchi chinensis Sonn: pericarp	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/000/SRR8297700/SRR8297700_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/000/SRR8297700/SRR8297700_2.fastq.gz	59602ec7a092844f987ccb903f3cc0e9;531061f38c23620357a7d586e33af5d4
SRR8297701	PRJNA450886	SAMN10576436	GC_6hpi_3	SRX5112235	Plant sample from Litchi	Illumina HiSeq 2500 sequencing: RNA_seq of Litchi chinensis Sonn: pericarp	PAIRED	Illumina HiSeq 2500	15624897	3906224250		Guiwei	pericarp		Illumina HiSeq 2500 sequencing: RNA_seq of Litchi chinensis Sonn: pericarp	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/001/SRR8297701/SRR8297701_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/001/SRR8297701/SRR8297701_2.fastq.gz	254c056df2cc2392d194e5625a5c5625;0c10cacf0f2c989e5afa1de5c98c6b45
SRR8297704	PRJNA450886	SAMN10576441	GC_48hpi_2	SRX5112232	Plant sample from Litchi	Illumina HiSeq 2500 sequencing: RNA_seq of Litchi chinensis Sonn: pericarp	PAIRED	Illumina HiSeq 2500	16124361	4031090250		Guiwei	pericarp		Illumina HiSeq 2500 sequencing: RNA_seq of Litchi chinensis Sonn: pericarp	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/004/SRR8297704/SRR8297704_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/004/SRR8297704/SRR8297704_2.fastq.gz	4661c2abebeef403566b7d49a5833c35;e3fab86fa165acedfa17d331ff8b3d78
SRR8297705	PRJNA450886	SAMN10576440	GC_48hpi_1	SRX5112231	Plant sample from Litchi	Illumina HiSeq 2500 sequencing: RNA_seq of Litchi chinensis Sonn: pericarp	PAIRED	Illumina HiSeq 2500	16620982	4155245500		Guiwei	pericarp		Illumina HiSeq 2500 sequencing: RNA_seq of Litchi chinensis Sonn: pericarp	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/005/SRR8297705/SRR8297705_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/005/SRR8297705/SRR8297705_2.fastq.gz	aed1c0b20e1f7e85d9bb5d19e31e1183;a0e6c7926cfa2dcc03b3b3f2e462ffc1
SRR8297707	PRJNA450886	SAMN10576438	GC_24hpi_2	SRX5112229	Plant sample from Litchi	Illumina HiSeq 2500 sequencing: RNA_seq of Litchi chinensis Sonn: pericarp	PAIRED	Illumina HiSeq 2500	15525859	3881464750		Guiwei	pericarp		Illumina HiSeq 2500 sequencing: RNA_seq of Litchi chinensis Sonn: pericarp	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/007/SRR8297707/SRR8297707_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/007/SRR8297707/SRR8297707_2.fastq.gz	666d47be3fd05e3d7bbb17b863d8989b;52783a1c2fa1405891e56f5cbc9b9dfe
SRR8297709	PRJNA450886	SAMN10576452	HC_6hpi_1	SRX5112227	Plant sample from Litchi	Illumina HiSeq 2500 sequencing: RNA_seq of Litchi chinensis Sonn: pericarp	PAIRED	Illumina HiSeq 2500	14555800	3638950000		Heiye	pericarp		Illumina HiSeq 2500 sequencing: RNA_seq of Litchi chinensis Sonn: pericarp	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/009/SRR8297709/SRR8297709_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/009/SRR8297709/SRR8297709_2.fastq.gz	14b9174e6a9fb89dd6099034f6e481f8;8a396d306d03b2fbf69bfdfdf5cb8ab1
SRR8297711	PRJNA450886	SAMN10576444	GI_6hpi_2	SRX5112225	Plant sample from Litchi	Illumina HiSeq 2500 sequencing: RNA_seq of Litchi chinensis Sonn: pericarp	PAIRED	Illumina HiSeq 2500	14825761	3706440250		Guiwei	pericarp		Illumina HiSeq 2500 sequencing: RNA_seq of Litchi chinensis Sonn: pericarp	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/001/SRR8297711/SRR8297711_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/001/SRR8297711/SRR8297711_2.fastq.gz	31ccff0de497797549718c8557f64fba;4203788950526c48eb97dd25b6e782f8
SRR8297716	PRJNA450886	SAMN10576451	GI_48hpi_3	SRX5112220	Plant sample from Litchi	Illumina HiSeq 2500 sequencing: RNA_seq of Litchi chinensis Sonn: pericarp	PAIRED	Illumina HiSeq 2500	14694658	3673664500		Guiwei	pericarp		Illumina HiSeq 2500 sequencing: RNA_seq of Litchi chinensis Sonn: pericarp	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/006/SRR8297716/SRR8297716_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/006/SRR8297716/SRR8297716_2.fastq.gz	a6ab65b2b0e773265ec8094e01e91133;a010d47919585c31cf7867477753dde0
SRR8297717	PRJNA450886	SAMN10576450	GI_48hpi_2	SRX5112219	Plant sample from Litchi	Illumina HiSeq 2500 sequencing: RNA_seq of Litchi chinensis Sonn: pericarp	PAIRED	Illumina HiSeq 2500	13945419	3486354750		Guiwei	pericarp		Illumina HiSeq 2500 sequencing: RNA_seq of Litchi chinensis Sonn: pericarp	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/007/SRR8297717/SRR8297717_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/007/SRR8297717/SRR8297717_2.fastq.gz	6182b5677f6431a0124e93f89e4b0b4e;e272d120f5e15f67163d388005837a9f
SRR8297722	PRJNA450886	SAMN10576469	HI_48hpi_3	SRX5112214	Plant sample from Litchi	Illumina HiSeq 2500 sequencing: RNA_seq of Litchi chinensis Sonn: pericarp	PAIRED	Illumina HiSeq 2500	16445484	4111371000		Heiye	pericarp		Illumina HiSeq 2500 sequencing: RNA_seq of Litchi chinensis Sonn: pericarp	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/002/SRR8297722/SRR8297722_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/002/SRR8297722/SRR8297722_2.fastq.gz	2007b6c92785d6237b1db9a8c5ca3318;ebea1592a94c304103a191a7104ca3f3
