run_accession	study_accession	sample_accession	sample_alias	experiment_accession	sample_title	experiment_title	library_layout	instrument_model	read_count	base_count	age	cultivar	tissue_type	collection_date	description	fastq_ftp	fastq_md5
SRR18856601	PRJNA830488	SAMN27725328	GSM6053469	SRX14954408	YR_P3	Illumina NovaSeq 6000 sequencing: GSM6053469: YR_P3 Litchi chinensis RNA-Seq	PAIRED	Illumina NovaSeq 6000	21327810	6398343000			leaves		Illumina NovaSeq 6000 sequencing: GSM6053469: YR_P3 Litchi chinensis RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR188/001/SRR18856601/SRR18856601_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR188/001/SRR18856601/SRR18856601_2.fastq.gz	790d94cc4c84e453375f62066c8d8001;379330bda9002ce17997badace9da576
SRR18856602	PRJNA830488	SAMN27725329	GSM6053468	SRX14954407	YR_P2	Illumina NovaSeq 6000 sequencing: GSM6053468: YR_P2 Litchi chinensis RNA-Seq	PAIRED	Illumina NovaSeq 6000	23190483	6957144900			leaves		Illumina NovaSeq 6000 sequencing: GSM6053468: YR_P2 Litchi chinensis RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR188/002/SRR18856602/SRR18856602_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR188/002/SRR18856602/SRR18856602_2.fastq.gz	d79d57eb322de12feab000f00cc0e124;edd41f46557112b80b504018ea76f44d
SRR18856607	PRJNA830488	SAMN27725334	GSM6053463	SRX14954402	GW_P3	Illumina NovaSeq 6000 sequencing: GSM6053463: GW_P3 Litchi chinensis RNA-Seq	PAIRED	Illumina NovaSeq 6000	23464345	7039303500			leaves		Illumina NovaSeq 6000 sequencing: GSM6053463: GW_P3 Litchi chinensis RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR188/007/SRR18856607/SRR18856607_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR188/007/SRR18856607/SRR18856607_2.fastq.gz	07decd888920aa37bd516894e66dbc62;38f3f2832cd8ecb13db36bda56191cd7
SRR18856598	PRJNA830488	SAMN27725337	GSM6053460	SRX14954411	GW_M3	Illumina NovaSeq 6000 sequencing: GSM6053460: GW_M3 Litchi chinensis RNA-Seq	PAIRED	Illumina NovaSeq 6000	27023925	8107177500			leaves		Illumina NovaSeq 6000 sequencing: GSM6053460: GW_M3 Litchi chinensis RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR188/098/SRR18856598/SRR18856598_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR188/098/SRR18856598/SRR18856598_2.fastq.gz	11302f4f6cb9ab1de4f59bf074d947e8;9ba847ab9f2ad7b36653a4731406d320
SRR18856600	PRJNA830488	SAMN27725339	GSM6053458	SRX14954409	GW_M1	Illumina NovaSeq 6000 sequencing: GSM6053458: GW_M1 Litchi chinensis RNA-Seq	PAIRED	Illumina NovaSeq 6000	23713927	7114178100			leaves		Illumina NovaSeq 6000 sequencing: GSM6053458: GW_M1 Litchi chinensis RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR188/000/SRR18856600/SRR18856600_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR188/000/SRR18856600/SRR18856600_2.fastq.gz	d50ec1c286f837fce504bd5df88214eb;502690f3c3fdced091128077e8f1cd06
SRR18856604	PRJNA830488	SAMN27725331	GSM6053466	SRX14954405	YR_M3	Illumina NovaSeq 6000 sequencing: GSM6053466: YR_M3 Litchi chinensis RNA-Seq	PAIRED	Illumina NovaSeq 6000	23550573	7065171900			leaves		Illumina NovaSeq 6000 sequencing: GSM6053466: YR_M3 Litchi chinensis RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR188/004/SRR18856604/SRR18856604_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR188/004/SRR18856604/SRR18856604_2.fastq.gz	a1f38877fb5c04201fefc22f218b9006;fed8881e0b81e8ba6e6a6b8f10810f6a
SRR18856606	PRJNA830488	SAMN27725333	GSM6053464	SRX14954403	YR_M1	Illumina NovaSeq 6000 sequencing: GSM6053464: YR_M1 Litchi chinensis RNA-Seq	PAIRED	Illumina NovaSeq 6000	22913560	6874068000			leaves		Illumina NovaSeq 6000 sequencing: GSM6053464: YR_M1 Litchi chinensis RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR188/006/SRR18856606/SRR18856606_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR188/006/SRR18856606/SRR18856606_2.fastq.gz	a9b0aba5765510f412acc4ebbb310232;33849788509052d9bff0208603e2d4f3
SRR18856608	PRJNA830488	SAMN27725335	GSM6053462	SRX14954401	GW_P2	Illumina NovaSeq 6000 sequencing: GSM6053462: GW_P2 Litchi chinensis RNA-Seq	PAIRED	Illumina NovaSeq 6000	24712086	7413625800			leaves		Illumina NovaSeq 6000 sequencing: GSM6053462: GW_P2 Litchi chinensis RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR188/008/SRR18856608/SRR18856608_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR188/008/SRR18856608/SRR18856608_2.fastq.gz	b95d77a4d68538a3af845a606e56a3e0;679e283f02ad7f2f5afd54cb29e8cc12
SRR18856599	PRJNA830488	SAMN27725338	GSM6053459	SRX14954410	GW_M2	Illumina NovaSeq 6000 sequencing: GSM6053459: GW_M2 Litchi chinensis RNA-Seq	PAIRED	Illumina NovaSeq 6000	27078211	8123463300			leaves		Illumina NovaSeq 6000 sequencing: GSM6053459: GW_M2 Litchi chinensis RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR188/099/SRR18856599/SRR18856599_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR188/099/SRR18856599/SRR18856599_2.fastq.gz	2572f925890059e49bf3c1afd70eb9e0;0bf81a11e40fcec760a856341bff921a
SRR18856603	PRJNA830488	SAMN27725330	GSM6053467	SRX14954406	YR_P1	Illumina NovaSeq 6000 sequencing: GSM6053467: YR_P1 Litchi chinensis RNA-Seq	PAIRED	Illumina NovaSeq 6000	22562872	6768861600			leaves		Illumina NovaSeq 6000 sequencing: GSM6053467: YR_P1 Litchi chinensis RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR188/003/SRR18856603/SRR18856603_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR188/003/SRR18856603/SRR18856603_2.fastq.gz	0ddc80ac3149fb13636e937613b80d84;280cfa36f6fe87634a229e879b8914f6
