run_accession	study_accession	sample_accession	sample_alias	experiment_accession	sample_title	experiment_title	library_layout	instrument_model	read_count	base_count	age	cultivar	tissue_type	collection_date	description	fastq_ftp	fastq_md5
SRR28413511	PRJNA1090613	SAMN40570941	GSM8159510	SRX24017888	leaves, GW_P2	Illumina NovaSeq 6000 sequencing: GSM8159510: leaves, GW_P2 Litchi chinensis RNA-Seq	PAIRED	Illumina NovaSeq 6000	21884953	6565485900			leaves	missing	Illumina NovaSeq 6000 sequencing: GSM8159510: leaves, GW_P2 Litchi chinensis RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR284/011/SRR28413511/SRR28413511_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR284/011/SRR28413511/SRR28413511_2.fastq.gz	73af2edbfb4a742ffb053273ffdca3ec;4303a282eac05cdd4178e460d4608a0e
SRR28413516	PRJNA1090613	SAMN40570945	GSM8159506	SRX24017884	leaves, GW_Mock1	Illumina NovaSeq 6000 sequencing: GSM8159506: leaves, GW_Mock1 Litchi chinensis RNA-Seq	PAIRED	Illumina NovaSeq 6000	21453163	6435948900			leaves	missing	Illumina NovaSeq 6000 sequencing: GSM8159506: leaves, GW_Mock1 Litchi chinensis RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR284/016/SRR28413516/SRR28413516_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR284/016/SRR28413516/SRR28413516_2.fastq.gz	345ba7ee20582ccbc0df7cfab1d18778;c68e486e040d9128e5b9b8cc5bba7f6e
SRR28413505	PRJNA1090613	SAMN40570934	GSM8159517	SRX24017895	leaves, SFZ_P3	Illumina NovaSeq 6000 sequencing: GSM8159517: leaves, SFZ_P3 Litchi chinensis RNA-Seq	PAIRED	Illumina NovaSeq 6000	22260210	6678063000			leaves	missing	Illumina NovaSeq 6000 sequencing: GSM8159517: leaves, SFZ_P3 Litchi chinensis RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR284/005/SRR28413505/SRR28413505_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR284/005/SRR28413505/SRR28413505_2.fastq.gz	362fd5c8044e0150b0aa2b63893cc5f2;ad46a2ee74f8bd7449be9d233e6a7511
SRR28413506	PRJNA1090613	SAMN40570935	GSM8159516	SRX24017894	leaves, SFZ_P2	Illumina NovaSeq 6000 sequencing: GSM8159516: leaves, SFZ_P2 Litchi chinensis RNA-Seq	PAIRED	Illumina NovaSeq 6000	23210841	6963252300			leaves	missing	Illumina NovaSeq 6000 sequencing: GSM8159516: leaves, SFZ_P2 Litchi chinensis RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR284/006/SRR28413506/SRR28413506_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR284/006/SRR28413506/SRR28413506_2.fastq.gz	b25ed2f821210b523735ea810d8c21c4;4c9f46f9c87906176c5db23f92c1c4d7
SRR28413508	PRJNA1090613	SAMN40570937	GSM8159514	SRX24017892	leaves, SFZ_Mock3	Illumina NovaSeq 6000 sequencing: GSM8159514: leaves, SFZ_Mock3 Litchi chinensis RNA-Seq	PAIRED	Illumina NovaSeq 6000	23316006	6994801800			leaves	missing	Illumina NovaSeq 6000 sequencing: GSM8159514: leaves, SFZ_Mock3 Litchi chinensis RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR284/008/SRR28413508/SRR28413508_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR284/008/SRR28413508/SRR28413508_2.fastq.gz	64cf344db058a6b9b679d46f0a28554e;3172b74f80a4166e7e88ac132349b63e
SRR28413509	PRJNA1090613	SAMN40570939	GSM8159512	SRX24017890	leaves, SFZ_Mock1	Illumina NovaSeq 6000 sequencing: GSM8159512: leaves, SFZ_Mock1 Litchi chinensis RNA-Seq	PAIRED	Illumina NovaSeq 6000	22739725	6821917500			leaves	missing	Illumina NovaSeq 6000 sequencing: GSM8159512: leaves, SFZ_Mock1 Litchi chinensis RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR284/009/SRR28413509/SRR28413509_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR284/009/SRR28413509/SRR28413509_2.fastq.gz	5003007ada88d5755d3308308d358df2;c38678726593c99d6960f1295f02b12b
SRR28413510	PRJNA1090613	SAMN40570940	GSM8159511	SRX24017889	leaves, GW_P3	Illumina NovaSeq 6000 sequencing: GSM8159511: leaves, GW_P3 Litchi chinensis RNA-Seq	PAIRED	Illumina NovaSeq 6000	19841617	5952485100			leaves	missing	Illumina NovaSeq 6000 sequencing: GSM8159511: leaves, GW_P3 Litchi chinensis RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR284/010/SRR28413510/SRR28413510_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR284/010/SRR28413510/SRR28413510_2.fastq.gz	b285e76c5903d2d325e09a14529d298b;80f11129bb55ad42971c9489ec0ce350
SRR28413512	PRJNA1090613	SAMN40570938	GSM8159513	SRX24017891	leaves, SFZ_Mock2	Illumina NovaSeq 6000 sequencing: GSM8159513: leaves, SFZ_Mock2 Litchi chinensis RNA-Seq	PAIRED	Illumina NovaSeq 6000	23488381	7046514300			leaves	missing	Illumina NovaSeq 6000 sequencing: GSM8159513: leaves, SFZ_Mock2 Litchi chinensis RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR284/012/SRR28413512/SRR28413512_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR284/012/SRR28413512/SRR28413512_2.fastq.gz	8eb6c87281978d5bbeb5a746ac35d4e0;6aabcfbabf3617b8874cc619c68f6499
SRR28413514	PRJNA1090613	SAMN40570943	GSM8159508	SRX24017886	leaves, GW_Mock3	Illumina NovaSeq 6000 sequencing: GSM8159508: leaves, GW_Mock3 Litchi chinensis RNA-Seq	PAIRED	Illumina NovaSeq 6000	23023690	6907107000			leaves	missing	Illumina NovaSeq 6000 sequencing: GSM8159508: leaves, GW_Mock3 Litchi chinensis RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR284/014/SRR28413514/SRR28413514_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR284/014/SRR28413514/SRR28413514_2.fastq.gz	15219ff4c961c89ccdb1b68ea78ea9b5;2e6d320d49aef020c9b8647f44f678fd
SRR28413515	PRJNA1090613	SAMN40570944	GSM8159507	SRX24017885	leaves, GW_Mock2	Illumina NovaSeq 6000 sequencing: GSM8159507: leaves, GW_Mock2 Litchi chinensis RNA-Seq	PAIRED	Illumina NovaSeq 6000	22454732	6736419600			leaves	missing	Illumina NovaSeq 6000 sequencing: GSM8159507: leaves, GW_Mock2 Litchi chinensis RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR284/015/SRR28413515/SRR28413515_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR284/015/SRR28413515/SRR28413515_2.fastq.gz	2daa723058a8a260bb26e04be8d5e9bf;6f83e27d16b6601f067a3f741d4ff757
SRR28413507	PRJNA1090613	SAMN40570936	GSM8159515	SRX24017893	leaves, SFZ_P1	Illumina NovaSeq 6000 sequencing: GSM8159515: leaves, SFZ_P1 Litchi chinensis RNA-Seq	PAIRED	Illumina NovaSeq 6000	22765347	6829604100			leaves	missing	Illumina NovaSeq 6000 sequencing: GSM8159515: leaves, SFZ_P1 Litchi chinensis RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR284/007/SRR28413507/SRR28413507_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR284/007/SRR28413507/SRR28413507_2.fastq.gz	e0fe46a0faa4aaad8da00ce65fe33eff;1f7105f18c23fb6e6cb811cdd7e2b435
