run_accession	study_accession	sample_accession	sample_alias	experiment_accession	sample_title	experiment_title	library_layout	instrument_model	read_count	base_count	age	cultivar	tissue_type	collection_date	description	fastq_ftp	fastq_md5
SRR23050909	PRJNA922965	SAMN32678565	GSM6928349	SRX19004386	miRNA-Seq FZX_Fr_M2	Illumina NovaSeq 6000 sequencing: GSM6928349: miRNA-Seq FZX_Fr_M2 Litchi chinensis miRNA-Seq	SINGLE	Illumina NovaSeq 6000	12344433	629565219			fruits		Illumina NovaSeq 6000 sequencing: GSM6928349: miRNA-Seq FZX_Fr_M2 Litchi chinensis miRNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/009/SRR23050909/SRR23050909.fastq.gz	ee8e3620130fb5add1901322b9f18363
SRR23050912	PRJNA922965	SAMN32678568	GSM6928346	SRX19004383	miRNA-Seq FZX_Fr_C2	Illumina NovaSeq 6000 sequencing: GSM6928346: miRNA-Seq FZX_Fr_C2 Litchi chinensis miRNA-Seq	SINGLE	Illumina NovaSeq 6000	11306784	576605119			fruits		Illumina NovaSeq 6000 sequencing: GSM6928346: miRNA-Seq FZX_Fr_C2 Litchi chinensis miRNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/012/SRR23050912/SRR23050912.fastq.gz	7e29f2803e052f154c8d650bd390a0bc
SRR23050913	PRJNA922965	SAMN32678569	GSM6928345	SRX19004382	miRNA-Seq FZX_Fr_C1	Illumina NovaSeq 6000 sequencing: GSM6928345: miRNA-Seq FZX_Fr_C1 Litchi chinensis miRNA-Seq	SINGLE	Illumina NovaSeq 6000	12952086	660556075			fruits		Illumina NovaSeq 6000 sequencing: GSM6928345: miRNA-Seq FZX_Fr_C1 Litchi chinensis miRNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/013/SRR23050913/SRR23050913.fastq.gz	df8ef56470ed8606607dd7a40bc75c5d
SRR23050918	PRJNA922965	SAMN32678574	GSM6928340	SRX19004377	miRNA-Seq FZX_Le_C2	Illumina NovaSeq 6000 sequencing: GSM6928340: miRNA-Seq FZX_Le_C2 Litchi chinensis miRNA-Seq	SINGLE	Illumina NovaSeq 6000	15338394	782257517			leaves		Illumina NovaSeq 6000 sequencing: GSM6928340: miRNA-Seq FZX_Le_C2 Litchi chinensis miRNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/018/SRR23050918/SRR23050918.fastq.gz	49c5aefd8e6f7688c5bd8d0e64c965a1
SRR23050911	PRJNA922965	SAMN32678567	GSM6928347	SRX19004384	miRNA-Seq FZX_Fr_C3	Illumina NovaSeq 6000 sequencing: GSM6928347: miRNA-Seq FZX_Fr_C3 Litchi chinensis miRNA-Seq	SINGLE	Illumina NovaSeq 6000	11299388	576268605			fruits		Illumina NovaSeq 6000 sequencing: GSM6928347: miRNA-Seq FZX_Fr_C3 Litchi chinensis miRNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/011/SRR23050911/SRR23050911.fastq.gz	8f664640c29bb113759ac313dcc90dd7
SRR23050915	PRJNA922965	SAMN32678571	GSM6928343	SRX19004380	miRNA-Seq FZX_Le_M2	Illumina NovaSeq 6000 sequencing: GSM6928343: miRNA-Seq FZX_Le_M2 Litchi chinensis miRNA-Seq	SINGLE	Illumina NovaSeq 6000	10623251	541784979			leaves		Illumina NovaSeq 6000 sequencing: GSM6928343: miRNA-Seq FZX_Le_M2 Litchi chinensis miRNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/015/SRR23050915/SRR23050915.fastq.gz	a9122d4fea2b1ec7e035b38dc87da7aa
SRR23050917	PRJNA922965	SAMN32678573	GSM6928341	SRX19004378	miRNA-Seq FZX_Le_C3	Illumina NovaSeq 6000 sequencing: GSM6928341: miRNA-Seq FZX_Le_C3 Litchi chinensis miRNA-Seq	SINGLE	Illumina NovaSeq 6000	12410839	632951788			leaves		Illumina NovaSeq 6000 sequencing: GSM6928341: miRNA-Seq FZX_Le_C3 Litchi chinensis miRNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/017/SRR23050917/SRR23050917.fastq.gz	94d86d05933e4333e2331e27cbccae22
SRR23050919	PRJNA922965	SAMN32678575	GSM6928339	SRX19004376	miRNA-Seq FZX_Le_C1	Illumina NovaSeq 6000 sequencing: GSM6928339: miRNA-Seq FZX_Le_C1 Litchi chinensis miRNA-Seq	SINGLE	Illumina NovaSeq 6000	11705063	596957793			leaves		Illumina NovaSeq 6000 sequencing: GSM6928339: miRNA-Seq FZX_Le_C1 Litchi chinensis miRNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/019/SRR23050919/SRR23050919.fastq.gz	2c614234dd7c336557e94c10a1753244
SRR23050908	PRJNA922965	SAMN32678564	GSM6928350	SRX19004387	miRNA-Seq FZX_Fr_M3	Illumina NovaSeq 6000 sequencing: GSM6928350: miRNA-Seq FZX_Fr_M3 Litchi chinensis miRNA-Seq	SINGLE	Illumina NovaSeq 6000	13981596	713060754			fruits		Illumina NovaSeq 6000 sequencing: GSM6928350: miRNA-Seq FZX_Fr_M3 Litchi chinensis miRNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/008/SRR23050908/SRR23050908.fastq.gz	94eedbb2a9ed720946c607b639e42ec3
SRR23050910	PRJNA922965	SAMN32678566	GSM6928348	SRX19004385	miRNA-Seq FZX_Fr_M1	Illumina NovaSeq 6000 sequencing: GSM6928348: miRNA-Seq FZX_Fr_M1 Litchi chinensis miRNA-Seq	SINGLE	Illumina NovaSeq 6000	12796117	652601521			fruits		Illumina NovaSeq 6000 sequencing: GSM6928348: miRNA-Seq FZX_Fr_M1 Litchi chinensis miRNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/010/SRR23050910/SRR23050910.fastq.gz	067d2104f9935c488f69eea9df3bc94b
SRR23050914	PRJNA922965	SAMN32678570	GSM6928344	SRX19004381	miRNA-Seq FZX_Le_M3	Illumina NovaSeq 6000 sequencing: GSM6928344: miRNA-Seq FZX_Le_M3 Litchi chinensis miRNA-Seq	SINGLE	Illumina NovaSeq 6000	12112889	617738228			leaves		Illumina NovaSeq 6000 sequencing: GSM6928344: miRNA-Seq FZX_Le_M3 Litchi chinensis miRNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/014/SRR23050914/SRR23050914.fastq.gz	e7a5305f6f3da121f0ac995c8d085200
SRR23050916	PRJNA922965	SAMN32678572	GSM6928342	SRX19004379	miRNA-Seq FZX_Le_M1	Illumina NovaSeq 6000 sequencing: GSM6928342: miRNA-Seq FZX_Le_M1 Litchi chinensis miRNA-Seq	SINGLE	Illumina NovaSeq 6000	13647538	696024054			leaves		Illumina NovaSeq 6000 sequencing: GSM6928342: miRNA-Seq FZX_Le_M1 Litchi chinensis miRNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/016/SRR23050916/SRR23050916.fastq.gz	ba6d3d4a2fd5f97f9e08d7606378654a
