sample_id	study	geo_series	biosample	experiment	run	cultivar	treatment	time_h	tissue	replicate	modality	library_layout	instrument	read_count	base_count	fastq_ftp	fastq_md5
GW_P1	PRJNA830488	GSE201243	SAMN27725336	SRX14954400	SRR18856609	Guiwei	infected	24	leaf	1	mRNA	PAIRED	Illumina NovaSeq 6000	27589288	8276786400	ftp.sra.ebi.ac.uk/vol1/fastq/SRR188/009/SRR18856609/SRR18856609_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR188/009/SRR18856609/SRR18856609_2.fastq.gz	d431bc9acef1d0675fd97d8430f7c4d7;0da872224d2ea0c398f1f4cf6eb2f824
GW_P2	PRJNA830488	GSE201243	SAMN27725335	SRX14954401	SRR18856608	Guiwei	infected	24	leaf	2	mRNA	PAIRED	Illumina NovaSeq 6000	24712086	7413625800	ftp.sra.ebi.ac.uk/vol1/fastq/SRR188/008/SRR18856608/SRR18856608_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR188/008/SRR18856608/SRR18856608_2.fastq.gz	b95d77a4d68538a3af845a606e56a3e0;679e283f02ad7f2f5afd54cb29e8cc12
GW_P3	PRJNA830488	GSE201243	SAMN27725334	SRX14954402	SRR18856607	Guiwei	infected	24	leaf	3	mRNA	PAIRED	Illumina NovaSeq 6000	23464345	7039303500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR188/007/SRR18856607/SRR18856607_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR188/007/SRR18856607/SRR18856607_2.fastq.gz	07decd888920aa37bd516894e66dbc62;38f3f2832cd8ecb13db36bda56191cd7
GW_M1	PRJNA830488	GSE201243	SAMN27725339	SRX14954409	SRR18856600	Guiwei	mock	24	leaf	1	mRNA	PAIRED	Illumina NovaSeq 6000	23713927	7114178100	ftp.sra.ebi.ac.uk/vol1/fastq/SRR188/000/SRR18856600/SRR18856600_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR188/000/SRR18856600/SRR18856600_2.fastq.gz	d50ec1c286f837fce504bd5df88214eb;502690f3c3fdced091128077e8f1cd06
GW_M2	PRJNA830488	GSE201243	SAMN27725338	SRX14954410	SRR18856599	Guiwei	mock	24	leaf	2	mRNA	PAIRED	Illumina NovaSeq 6000	27078211	8123463300	ftp.sra.ebi.ac.uk/vol1/fastq/SRR188/099/SRR18856599/SRR18856599_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR188/099/SRR18856599/SRR18856599_2.fastq.gz	2572f925890059e49bf3c1afd70eb9e0;0bf81a11e40fcec760a856341bff921a
GW_M3	PRJNA830488	GSE201243	SAMN27725337	SRX14954411	SRR18856598	Guiwei	mock	24	leaf	3	mRNA	PAIRED	Illumina NovaSeq 6000	27023925	8107177500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR188/098/SRR18856598/SRR18856598_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR188/098/SRR18856598/SRR18856598_2.fastq.gz	11302f4f6cb9ab1de4f59bf074d947e8;9ba847ab9f2ad7b36653a4731406d320
YR_P1	PRJNA830488	GSE201243	SAMN27725330	SRX14954406	SRR18856603	Yurong1	infected	24	leaf	1	mRNA	PAIRED	Illumina NovaSeq 6000	22562872	6768861600	ftp.sra.ebi.ac.uk/vol1/fastq/SRR188/003/SRR18856603/SRR18856603_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR188/003/SRR18856603/SRR18856603_2.fastq.gz	0ddc80ac3149fb13636e937613b80d84;280cfa36f6fe87634a229e879b8914f6
YR_P2	PRJNA830488	GSE201243	SAMN27725329	SRX14954407	SRR18856602	Yurong1	infected	24	leaf	2	mRNA	PAIRED	Illumina NovaSeq 6000	23190483	6957144900	ftp.sra.ebi.ac.uk/vol1/fastq/SRR188/002/SRR18856602/SRR18856602_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR188/002/SRR18856602/SRR18856602_2.fastq.gz	d79d57eb322de12feab000f00cc0e124;edd41f46557112b80b504018ea76f44d
YR_P3	PRJNA830488	GSE201243	SAMN27725328	SRX14954408	SRR18856601	Yurong1	infected	24	leaf	3	mRNA	PAIRED	Illumina NovaSeq 6000	21327810	6398343000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR188/001/SRR18856601/SRR18856601_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR188/001/SRR18856601/SRR18856601_2.fastq.gz	790d94cc4c84e453375f62066c8d8001;379330bda9002ce17997badace9da576
YR_M1	PRJNA830488	GSE201243	SAMN27725333	SRX14954403	SRR18856606	Yurong1	mock	24	leaf	1	mRNA	PAIRED	Illumina NovaSeq 6000	22913560	6874068000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR188/006/SRR18856606/SRR18856606_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR188/006/SRR18856606/SRR18856606_2.fastq.gz	a9b0aba5765510f412acc4ebbb310232;33849788509052d9bff0208603e2d4f3
