pathway	matched_gene_count	observed_score	random_score_95th_percentile	empirical_percentile	matched_random_status
R-OSA-9645850.1|Activation of pre-replication complex	19	0.573121194133078	0.853346128322926	0.853	COMPUTED
R-OSA-9640882.1|Assembly of pre-replication complex	13	0.357315072043755	0.953966644785706	0.562	COMPUTED
R-OSA-9675824.1|DNA replication Initiation	11	0.394784201600511	1.06975984170733	0.565	COMPUTED
R-OSA-6787011.1|Jasmonic acid signaling	15	0.415714715835696	2.10770899422588	0.292	COMPUTED
R-OSA-9675782.1|Maturation	10	0.746994035484342	1.07819138858495	0.829	COMPUTED
R-OSA-8933811.1|Circadian rhythm	12	0.192680469296407	2.35597655204812	0.147	COMPUTED
