pathway	removed_leading_edge_gene	NGenes	deletion_direction	deletion_p	deletion_q
R-OSA-9645850.1|Activation of pre-replication complex	LITCHI016282	18	Up	0.603473613933581	0.603473613933581
R-OSA-9640882.1|Assembly of pre-replication complex	LITCHI026066	12	Up	0.313775962383118	0.453195362888525
R-OSA-9675824.1|DNA replication Initiation	LITCHI016282	11	Up	0.36255629031082	0.453195362888525
R-OSA-6787011.1|Jasmonic acid signaling	LITCHI008177	14	Up	0.0100156141005095	0.0500780705025474
R-OSA-8933811.1|Circadian rhythm	LITCHI011520	11	Down	0.0246559083991681	0.0616397709979202
