pathway	NGenes	camera_direction	camera_p	camera_q
R-OSA-9645850.1|Activation of pre-replication complex	19	Up	0.570812388391454	0.570812388391454
R-OSA-9640882.1|Assembly of pre-replication complex	13	Up	0.259234364354557	0.427574405819359
R-OSA-9675824.1|DNA replication Initiation	12	Up	0.342059524655487	0.427574405819359
R-OSA-6787011.1|Jasmonic acid signaling	15	Up	0.0203605025343148	0.0537107917847483
R-OSA-8933811.1|Circadian rhythm	12	Down	0.0214843167138993	0.0537107917847483
