pathway	NGenes	PropDown	PropUp	roast_direction	roast_p	roast_q	PValue.Mixed	FDR.Mixed
R-OSA-9645850.1|Activation of pre-replication complex	19	0.105263157894737	0.157894736842105	Up	0.5874	0.5874	0.0695	0.0868125
R-OSA-9640882.1|Assembly of pre-replication complex	13	0.0769230769230769	0.230769230769231	Up	0.259	0.431583333333333	0.036	0.0599166666666667
R-OSA-9675824.1|DNA replication Initiation	12	0.0833333333333333	0.166666666666667	Up	0.3888	0.4859375	0.1997	0.1997
R-OSA-6787011.1|Jasmonic acid signaling	15	0.0666666666666667	0.4	Up	0.0267	0.066625	0.0038	0.009375
R-OSA-8933811.1|Circadian rhythm	12	0.416666666666667	0.0833333333333333	Down	0.0233	0.066625	2e-04	0.00075
