pathway	fgsea_p	fgsea_q	log2err	ES	fgsea_NES	size
R-OSA-6787011.1|Jasmonic acid signaling	0.00832849118729421	0.041642455936471	0.220823464091113	0.622578011169254	1.71639799214141	15
R-OSA-8933811.1|Circadian rhythm	0.0594918405288164	0.148729601322041	0.0838535061362348	-0.568314702460975	-1.50052203724655	12
R-OSA-9640882.1|Assembly of pre-replication complex	0.491689215307306	0.819482025512176	0.0247018726696714	0.367032599982621	0.976634807237713	13
R-OSA-9645850.1|Activation of pre-replication complex	0.948999230177059	0.948999230177059	0.014629253941683	0.209821827172819	0.617122653031732	19
R-OSA-9675824.1|DNA replication Initiation	0.855648130207324	0.948999230177059	0.0162250231273005	0.270929569500135	0.703945952470411	12
